"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"bachelorette",8329,10099,121,685512,"96","11","12",165000
"bachelorette party",4558,5940,130,599064,"100","44","18",33100
"bachelorette shirt",4429,5562,126,218921,"85","2","18",2400
"bachelorette shirts",3680,4363,119,219295,"89","5","19",2400
"bachelorette gifts",2668,3022,113,436423,"100","9","18",2900
"bachelorette games",2087,2140,103,62373,"74","3","18",5400
"bachelorette cups",1780,2316,130,28132,"60","3","17",590
"camp bachelorette",1455,1587,109,28520,"65","4","17",720
"bachelorette decor",1318,1491,113,127043,"99","8","18",3600
"bachelorette banner",1293,1735,134,27312,"66","9","19",1300
"bachelorette decorations",1000,1189,119,36487,"78","0","24",3600
"nashville bachelorette",825,874,106,24881,"74","0","22",4400
"bachelorette koozies",793,788,99,3298,"31","2","20",590
"lake bachelorette",716,716,100,15641,"67","4","17",50
"bachelorette favors",713,706,99,134638,"100","10","19",2900
"bachelorette sweatshirt",653,738,113,53873,"96","0","23",260
"bachelorette gift",608,703,116,436432,"100","6","17",2900
"bachelorette itinerary",602,568,94,24551,"81","0","22",1600
"bachelorette bingo",594,635,107,4814,"45","1","18",1900
"bachelorette tshirts",547,426,78,174656,"100","0","20",10
"bachelorette tattoos",522,761,146,4217,"45","2","20",480
"bachelorette bags",513,508,99,50304,"100","3","17",880
"bachelorette koozie",500,494,99,4349,"47","2","19",590
"camping bachelorette",456,449,98,28812,"90","0","20",50
"bachelorette coozies",428,433,101,1253,"23","0","20",590
"bachelorette game",404,403,100,34168,"96","6","17",5400
"halloween bachelorette",398,413,104,39860,"100","0","22",50
"bachelorette tapestry",396,301,76,7204,"63","0","21",90
"bachelorette hats",385,534,139,29535,"94","0","17",1000
"bachelorette sweatshirts",330,368,112,52966,"100","0","24",260
"bachelorette tshirt",299,280,94,172584,"100","0","19",590
"miami bachelorette",297,290,98,9941,"76","3","18",1900
"beach bachelorette",251,259,103,101610,"100","14","18",320
"scottsdale bachelorette",243,259,107,6882,"73","0","23",3600
"bachelorette tumbler",242,279,115,25419,"100","0","20",110
"bachelorette sash",233,230,99,2804,"54","0","17",1300
"bachelorette balloons",231,284,123,8448,"78","0","21",390
"bachelorette sunglasses",218,322,148,2921,"56","0","23",480
"bachelorette bag",216,268,124,49723,"100","1","16",880
"bachelorette tote",216,314,145,25889,"100","1","17",90
"bachelorette scrapbook",199,193,97,23656,"100","0","22",140
"bachelorette hat",193,280,145,29606,"100","0","16",1000
"charleston bachelorette",193,188,97,6415,"76","0","23",1000
"mermaid bachelorette",191,128,67,5415,"73","3","20",140
