"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"blanket",16636,19651,118,846597,"85","15","7",201000
"crochet blanket",15976,10014,63,107641,"41","2","15",27100
"baby blanket",11652,9138,78,357544,"74","27","12",40500
"woven blanket",6407,7149,112,94125,"58","0","13",5400
"throw blanket",5998,6438,107,657216,"100","10","13",74000
"custom blanket",4721,5002,106,193304,"81","3","14",33100
"personalized blanket",3518,3582,102,212336,"89","11","20",14800
"blanket crochet",1893,989,52,107642,"88","0","15",27100
"picnic blanket",1723,1963,114,22183,"55","2","14",49500
"wool blanket",1590,1533,96,16805,"51","0","12",33100
"weighted blanket",1580,1581,100,2697,"12","0","16",135000
"muslin blanket",1555,1858,119,6854,"32","0","14",14800
"christmas blanket",1543,2227,144,164566,"100","1","17",14800
"halloween blanket",1423,1993,140,33661,"69","1","17",9900
"embroidered blanket",1272,1450,114,29834,"69","1","19",1900
"grandma blanket",1264,1382,109,18257,"58","0","15",720
"dog blanket",1202,1320,110,35741,"74","1","11",14800
"tapestry blanket",1178,1152,98,62245,"86","1","16",2900
"turkish blanket",1165,1130,97,15814,"57","0","15",880
"cotton blanket",1108,1087,98,193929,"100","1","14",18100
"bouquet blanket",1093,1167,107,1362,"5","0","15",5400
"native blanket",1073,1070,100,4033,"29","0","14",1000
"chunky blanket",1058,1036,98,16816,"60","11","14",6600
"fur blanket",1032,1176,114,16260,"60","0","11",6600
"customizable blanket",1025,1342,131,9378,"48","0","20",33100
"photo blanket",935,1005,107,38955,"81","0","13",22200
"name blanket",865,1007,116,128338,"100","0","12",1300
"cat blanket",834,826,99,23068,"72","0","11",6600
"linen blanket",812,824,101,7666,"49","0","13",4400
"flower blanket",805,744,92,40166,"85","0","14",40500
"alpaca blanket",793,813,103,2252,"23","0","14",4400
"fleece blanket",783,846,108,149200,"100","0","14",33100
"horse blanket",708,518,73,9631,"57","0","13",14800
"cozy blanket",708,860,121,166301,"100","2","12",12100
"blanket ladder",703,759,108,927,"6","0","14",40500
"wedding blanket",638,627,98,37704,"89","0","15",590
"blanket custom",612,640,105,193157,"100","0","14",33100
"face blanket",603,599,99,7824,"56","0","12",390
"football blanket",602,879,146,9747,"60","0","16",2400
"monogrammed blanket",595,590,99,22766,"79","3","19",1600
"bluey blanket",595,590,99,475,"1","0","13","N/A"
"knit blanket",547,605,111,49933,"98","5","12",9900
"sweatshirt blanket",545,605,111,4811,"47","0","18",3600
"dragon blanket",526,633,120,6841,"56","0","14",880
"fish blanket",513,506,99,4311,"46","0","12",880
"milestone blanket",506,631,125,14763,"73","0","17",1300
"waffle blanket",496,528,106,1520,"24","0","14",4400
"retirement blanket",489,482,99,3001,"39","0","18",210
"anime blanket",469,662,141,5254,"52","0","13",1600
"mushroom blanket",468,455,97,5601,"54","0","16",880
"picture blanket",449,444,99,12621,"72","0","15",8100
"customized blanket",446,440,99,192705,"100","0","18",33100
