"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"california poppy",692,292,42,8668,"55","77","16",49500
"california poppy print",92,1,1,2918,"75","0","22",110
"california poppy stained glass",296,181,61,161,"1","0","30",70
"california poppy door mat",126,0,0,5,"1","0","25","N/A"
"california poppy art canvas",101,100,99,654,"41","0","27","N/A"
"california poppy art print",47,63,134,2700,"88","0","26",20
"suncatchers california poppy set of 6 s",85,0,0,0,"","0","39","N/A"
"california",0,0,0,285476,"","3","10",1000000
"poppy",2546,3109,122,102245,"80","13","5",301000
"california poppy art",9,1,11,4540,"100","4","20",320
"california poppy pin",3,0,0,128,"82","3","20","N/A"
"california poppy tee",1,0,0,449,"100","2","20","N/A"
"california poppy hat",0,0,0,68,"","4","20","N/A"
"red california poppy",0,0,0,1092,"","1","20","N/A"
"california poppy mug",0,0,0,219,"","1","20","N/A"
"california art",103,95,92,137707,"100","1","14",1300
"california gift",26,27,104,90001,"100","6","15",1000
"california shirt",24,27,113,39217,"100","3","16",2900
"california sticker",22,0,0,11143,"100","3","18",880
"california landscape",6,1,17,42529,"100","2","20","N/A"
"california painting",5,1,20,21253,"100","3","19",880
"california keychain",3,0,0,1092,"100","1","19",320
"california souvenir",3,0,0,17625,"100","1","19",1300
"california tee",3,0,0,34477,"100","1","14","N/A"
"california wildlife",2,0,0,2075,"100","1","19","N/A"
"california plant",2,0,0,16031,"100","1","16","N/A"
"vintage california",2,0,0,96991,"100","1","18","N/A"
"california flowers",1,0,0,14776,"100","4","18","N/A"
"california seascape",1,0,0,4266,"100","1","19","N/A"
"california coastline",1,0,0,1714,"100","1","20","N/A"
"california vibe",1,0,0,992,"100","1","15",590
"california native",1,0,0,2923,"100","1","17","N/A"
"california seeds",1,0,0,1935,"100","1","16","N/A"
"california poppies",0,0,0,8519,"","21","18","N/A"
"california flower",0,0,0,14497,"","6","17","N/A"
"california state",0,0,0,19875,"","3","16","N/A"
"california sunlight",0,0,0,174,"","1","19","N/A"
"colorful california",0,0,0,7600,"","1","19","N/A"
"organic california",0,0,0,3843,"","1","18","N/A"
"california tincture",0,0,0,0,"","1","19","N/A"
"california merch",0,0,0,920,"","1","16","N/A"
"california mushroom",0,0,0,308,"","1","19","N/A"
"california fields",0,0,0,1593,"","1","17","N/A"
"california lover",0,0,0,12880,"","1","16","N/A"
"california wedding",0,0,0,10364,"","1","18","N/A"
"california fauna",0,0,0,0,"","1","16","N/A"
"california car",0,0,0,7302,"","1","14","N/A"
"california crewneck",0,0,0,6175,"","1","19","N/A"
