"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"housewarming gift",13998,15756,113,1468837,"100","90","17",74000
"affordable housewarming gift",814,1038,128,2904,"28","0","28","N/A"
"housewarming gift basket",740,802,108,17295,"68","0","24",1600
"personalized housewarming gift",637,632,99,263590,"100","0","30",1900
"housewarming gift idea",103,96,93,130077,"100","0","22",22200
"desk housewarming gift",100,25,25,0,"","0","22","N/A"
"housewarming gift box",93,127,137,24646,"100","0","21",210
"housewarming gift useful",86,0,0,790,"48","0","24","N/A"
"good housewarming gift",48,66,138,10107,"100","0","22","N/A"
"witchy housewarming gift",43,63,147,8358,"100","0","24","N/A"
"turkish housewarming gift",43,0,0,0,"","0","25","N/A"
"wood housewarming gift",39,58,149,141482,"100","0","22","N/A"
"boho housewarming gift",35,39,111,71271,"100","0","22","N/A"
"housewarming gift couple",26,16,62,49836,"100","0","24","N/A"
"housewarming gift for couple",874,870,100,55636,"90","0","28",1000
"housewarming gift for men",451,593,131,62499,"100","0","25","N/A"
"housewarming gift for women",319,279,87,48833,"100","0","27",480
"housewarming gift first home",118,144,122,41803,"100","0","28",110
"housewarming gift candle new home gift",46,68,148,0,"","0","38","N/A"
"housewarming gift for single woman",29,39,134,203,"42","0","34",50
"housewarming",0,0,0,2379852,"","11","12",9900
"housewarming gifts",2700,2588,96,1465993,"100","3","18",74000
"housewarming card",293,286,98,100398,"100","1","17",1300
"housewarming basket",10,1,10,24425,"100","2","19",720
"housewarming party",7,1,14,227146,"100","8","18","N/A"
"housewarming present",3,0,0,76854,"100","4","20","N/A"
"housewarming ideas",2,0,0,128084,"100","2","18","N/A"
"housewarming wine",2,0,0,39197,"100","2","17","N/A"
"housewarming poem",3,0,0,2083,"100","2","17",70
"housewarming box",3,0,0,33215,"100","1","16","N/A"
"housewarming decor",3,0,0,1787002,"100","1","18",2400
"housewarming wrap",0,0,0,20587,"","2","17","N/A"
"custom housewarming",0,0,0,307412,"","2","19","N/A"
"housewarming bag",0,0,0,25211,"","2","16","N/A"
"couples housewarming",0,0,0,58363,"","1","20","N/A"
"unique housewarming",0,0,0,195527,"","1","19",10
"housewarming fun",0,0,0,35179,"","1","16","N/A"
"housewarming cups",0,0,0,56773,"","1","17","N/A"
"gift",66326,83911,127,33152946,"100","1","4",450000
"personalized gift",63547,67269,106,5573446,"97","7","17",110000
"wedding gift",21686,20987,97,2719345,"100","7","12",33100
"anniversary gift",15665,16034,102,1692772,"100","3","16",49500
"gift box",7363,10074,137,704588,"99","1","8",60500
"christmas gift",6102,6792,111,7614738,"100","2","14",90500
"teacher gift",6113,5936,97,1484871,"100","1","12",22200
"host gift",3521,3549,101,55144,"60","2","9",8100
"gift basket",2708,3124,115,215045,"95","13","11",90500
"kitchen gift",2482,2384,96,4274483,"100","2","12",2900
"retirement gift",2405,2450,102,217374,"98","1","15",33100
"gift tags",2316,2144,93,1440112,"100","2","9",8100
"travel gift",2153,1892,88,1197033,"100","1","11",18100
"couples gift",2100,2209,105,748149,"100","5","12",9900
"gift tag",1703,2249,132,1440365,"100","1","8",8100
"realtor gift",1000,1004,100,78252,"95","14","12",2900
"gift wrap",974,1143,117,678518,"100","6","9",14800
"hostess gift",879,840,96,239134,"100","12","12",8100
"gift bag",896,1264,141,1946700,"100","1","8",33100
"family gift",737,820,111,1801856,"100","1","11",3600
"wine gift",652,781,120,289555,"100","3","9",6600
"candle gift",523,653,125,538506,"100","1","11",2400
"farewell gift",494,482,98,25919,"86","1","13",1300
"homeowner gift",297,260,88,27702,"98","3","14",140
"apartment gift",218,253,116,65578,"100","2","14",480
"neighbor gift",200,195,98,35421,"100","1","13",2400
"wood gift",203,194,96,1220889,"100","1","9",2900
"gift wrapping",102,112,110,374898,"100","4","13",14800
"house gift",108,101,94,613242,"100","3","10",2900
"engraved gift",144,205,142,574514,"100","1","13",2900
"minimalist gift",93,23,25,1822525,"100","1","15",720
"closing gift",13,5,38,80491,"100","5","12",590
"moving gift",10,1,10,95580,"100","4","11",1000
"broker gift",2,0,0,7463,"100","4","11","N/A"
"birthday gift",0,0,0,6286682,"","4","13",49500
"client gift",24,33,138,28687,"100","3","11","N/A"
"thoughtful gift",5,1,20,55723,"100","2","15","N/A"
"relator gift",0,0,0,27491,"","1","12","N/A"
"buyers gift",2,0,0,7024,"100","1","11","N/A"
"varalakshmi gift",1,0,0,511,"100","1","16","N/A"
"culinary gift",0,0,0,22400,"","1","13","N/A"
"home gift",0,0,0,12238983,"","1","9",4400
"celebration gift",2,0,0,246693,"100","1","16","N/A"
"homebuyers gift",0,0,0,0,"","1","15","N/A"
"gift ribbon",16,20,125,302481,"100","1","11","N/A"
"guy gift",6,1,17,101445,"100","1","8","N/A"
"seattle gift",0,0,0,13758,"","1","12","N/A"
"dinner gift",1,0,0,122278,"100","1","11","N/A"
"gift idea",3,0,0,2692818,"100","1","9","N/A"
"address gift",1,0,0,46336,"100","1","12","N/A"
"gift for her",26857,26267,98,5409638,"100","5","12",33100
"gift for him",23968,24233,101,2176606,"98","3","12",27100
"mothers day gift",10475,10827,103,1873149,"100","2","16",823000
"gift for mom",8908,10920,123,3484179,"100","2","12",110000
"gift for couple",3974,4412,111,749045,"100","3","15",9900
"new home gift",3048,2948,97,789942,"100","24","13",8100
"house warming gift",3005,3011,100,120829,"80","1","18",74000
"gift for wife",1931,2232,116,694866,"100","1","13",22200
"gift card holder",1803,1886,105,122003,"92","1","16",8100
"thank you gift",1114,1214,109,451014,"100","4","14",9900
"spa gift box",756,772,102,23446,"75","1","12",390
"first home gift",695,672,97,454977,"100","11","15",590
"printable gift tags",674,673,100,249836,"100","1","19",1600
"gift wrapping paper",614,604,98,360754,"100","3","19",33100
"spa gift set",413,410,99,25367,"89","2","12",1900
"new house gift",316,312,99,88409,"100","5","14",1300
"gift for coworker",325,429,132,354873,"100","2","17",12100
"custom gift box",228,270,118,142364,"100","3","15",1000
"hygge gift box",216,314,145,4939,"68","1","14","N/A"
"gift for family",198,183,92,1808579,"100","1","15","N/A"
"couple gift basket",194,193,99,2871,"59","1","18","N/A"
"couples gift box",198,193,97,13422,"92","1","16","N/A"
"welcome home gift",123,178,145,171036,"100","9","17",1300
"birthday gift wrap",128,189,148,154294,"100","3","18","N/A"
"fall gift box",143,190,133,11770,"96","1","13","N/A"
"wine lover gift",124,171,138,77764,"100","1","15","N/A"
"wedding gift wrap",98,56,57,68191,"100","4","17",2400
"custom gift wrap",98,94,96,75331,"100","2","16",18100
"moving away gift",112,102,91,24970,"100","1","16",170
"gift for home",93,53,57,12077809,"100","1","13",4400
"gift for couples",50,45,90,743147,"100","1","16",1000
"luxury gift box",45,58,129,12893,"100","1","15",1300
"gift wrap paper",18,20,111,248154,"100","4","15","N/A"
"realtor closing gift",0,0,0,36611,"","14","20",880
"new homeowner gift",8,1,13,22826,"100","10","18",1300
"real estate gift",0,0,0,41430,"","9","16",210
"gift from realtor",0,0,0,5393,"","8","17","N/A"
"closing day gift",3,0,0,12029,"100","7","16",0
"house closing gift",3,0,0,23536,"100","5","18",590
"moving gift box",0,0,0,1322,"","3","15","N/A"
"relator closing gift",0,0,0,197,"","3","20","N/A"
"new neighbor gift",2,0,0,4852,"100","3","17","N/A"
"realtor gift seller",0,0,0,1224,"","3","19","N/A"
"home owner gift",3,0,0,178437,"100","3","15","N/A"
"gift for clients",9,13,144,27180,"100","3","16","N/A"
"closing gift buyers",1,0,0,2911,"100","3","19","N/A"
"engraved gift box",3,0,0,30467,"100","3","17","N/A"
"realtor gift box",4,0,0,1867,"100","3","16",10
"newlyweds gift box",0,0,0,1348,"","3","18","N/A"
"realtor client gift",4,0,0,10580,"100","3","19",390
"fruit gift wrap",0,0,0,2032,"","3","15","N/A"
"summer gift wrap",0,0,0,19275,"","3","16","N/A"
"gift for neighbor",11,0,0,34109,"100","3","17",480
"wine gift bag",3,0,0,20328,"100","3","13","N/A"
"wedding gift idea",5,1,20,166398,"100","2","17",27100
"house moving gift",0,0,0,11300,"","2","17","N/A"
"gift basket tags",0,0,0,19048,"","2","16","N/A"
"cozy home gift",0,0,0,451712,"","2","14","N/A"
"house gift basket",2,0,0,0,"","2","17",70
"relator gift basket",0,0,0,35,"","2","19","N/A"
"gift  for friend",0,0,0,1121789,"","2","16","N/A"
"realtor gift wrap",0,0,0,0,"","2","17","N/A"
"realtor broker gift",0,0,0,4032,"","2","19","N/A"
"new apartment gift",8,1,13,18277,"100","2","18","N/A"
"orange gift wrap",0,0,0,24499,"","2","16","N/A"
"custom hostess gift",3,0,0,26213,"100","2","19","N/A"
"custom gift baskets",2,0,0,40077,"100","2","19","N/A"
"closing gift idea",0,0,0,4844,"","2","17","N/A"
"congrats gift tag",0,0,0,1778,"","1","17","N/A"
"realtor gift tags",8,5,63,6535,"100","1","17","N/A"
"house gift tag",0,0,0,12057,"","1","14","N/A"
"lether gift box",0,0,0,0,"","1","15","N/A"
"congrats gift wrap",0,0,0,0,"","1","18","N/A"
"cottage core gift",2,0,0,66159,"100","1","17",10
"wine box gift",1,0,0,13421,"100","1","13","N/A"
"homeowner gift wrap",0,0,0,0,"","1","19","N/A"
"cute gift wrap",3,0,0,58771,"100","1","14","N/A"
"gift for two",3,0,0,213202,"100","1","12","N/A"
"couples wedding gift",6,1,17,324556,"100","1","20","N/A"
"parent gift basket",0,0,0,2525,"","1","18","N/A"
"realtor gift  client",0,0,0,0,"","1","20","N/A"
"home closing gift",3,0,0,64548,"100","1","17",50
"gift tag basket",0,0,0,21678,"","1","15","N/A"
"urban home gift",0,0,0,0,"","1","15","N/A"
"moving gift wrap",0,0,0,0,"","1","16","N/A"
"modern gift wrap",3,0,0,16481,"100","1","16","N/A"
"moving day gift",0,0,0,13538,"","1","15","N/A"
"closing gift buyer",2,0,0,2561,"100","1","18","N/A"
"doodle gift wrap",0,0,0,1439,"","1","16","N/A"
"baking gift set",4,0,0,24328,"100","1","15",880
"hostess gift set",1,0,0,34396,"100","1","16","N/A"
"wrap homebuyer gift",0,0,0,0,"","1","19","N/A"
"unique gift wrap",2,0,0,80752,"100","1","16",210
"wine bottle gift",0,0,0,53254,"","1","16","N/A"
"moving house gift",1,0,0,10918,"100","1","17","N/A"
"diy handmade gift",0,0,0,69943,"","1","17","N/A"
"beer lovers gift",1,0,0,11080,"100","1","16","N/A"
"home buyer gift",2,0,0,5644,"100","1","15","N/A"
"home gift set",0,0,0,634117,"","1","13","N/A"
"cozy house gift",0,0,0,11979,"","1","15","N/A"
"lemon gift wrap",0,0,0,1304,"","1","15","N/A"
"friend gift box",6,1,17,25968,"100","1","15","N/A"
"home gift box",3,0,0,237958,"100","1","13",30
"couple house gift",0,0,0,15431,"","1","17","N/A"
"ribbon for gift",0,0,0,262501,"","1","15","N/A"
"realtor gift idea",1,0,0,5467,"100","1","17","N/A"
"closing wine gift",0,0,0,0,"","1","17","N/A"
"bulldog lover gift",0,0,0,39663,"","1","18","N/A"
"wine gift idea",0,0,0,25957,"","1","14","N/A"
"merry christmas gift",1,0,0,607153,"100","1","20","N/A"
"gift tag template",7,1,14,106815,"100","1","17",2400
"gift for client",2,0,0,25187,"100","1","15","N/A"
"gift for wedding",5,1,20,2693673,"100","1","16",1600
"self care gift box",1188,1266,107,17430,"58","1","18",480
"new home gift basket",288,262,91,6682,"68","2","20",590
"thank you gift box",140,137,98,27957,"100","1","18",590
"new home gift box",135,191,141,17193,"100","3","17",40
"new home gift idea",106,101,95,61801,"100","1","18",8100
"new home gift ideas",34,40,118,65430,"100","1","19",8100
"gift box for couple",17,14,82,14792,"100","1","19",40
"gift for new home",9,2,22,788594,"100","4","17","N/A"
"first home gift box",10,9,90,6958,"100","1","19",0
"new home owner gift",6,1,17,26446,"100","3","19","N/A"
"home sweet home gift",3,0,0,93084,"100","2","20","N/A"
"new home gift set",3,0,0,40053,"100","2","17",20
"gift for a couple",3,0,0,687956,"100","2","17","N/A"
"new house gift idea",2,0,0,6379,"100","3","19","N/A"
"new home gift tag",2,0,0,7073,"100","1","17",0
"gift box for family",1,0,0,14454,"100","2","19","N/A"
"new pool gift ideas",1,0,0,0,"","1","19","N/A"
"new house gift wrap",0,0,0,462,"","3","19","N/A"
"thank you gift wrap",0,0,0,3634,"","3","19","N/A"
"new home gift tags",0,0,0,7073,"","2","18","N/A"
"2 piece gift box",0,0,0,1250,"","2","16","N/A"
"wine gift box wood",0,0,0,1613,"","1","18","N/A"
"thank you wine gift",0,0,0,5543,"","1","19","N/A"
"new home gift wine",0,0,0,10986,"","1","18","N/A"
"funny gift wine box",0,0,0,0,"","1","19","N/A"
"new home gift wrap",0,0,0,6208,"","1","18","N/A"
"new house gift tag",0,0,0,1671,"","1","18","N/A"
"new hom gift wrap",0,0,0,0,"","1","17","N/A"
"new home gift card",0,0,0,18178,"","1","18","N/A"
"gift box for home",0,0,0,238160,"","1","17","N/A"
"wine bottle gift bow",0,0,0,0,"","1","20","N/A"
"wine lover gift bag",0,0,0,4202,"","1","19","N/A"
"wine lover gift idea",0,0,0,7128,"","1","20","N/A"
"hygge gift box for 2",0,0,0,72,"","1","20","N/A"
"necklace",54332,66874,123,3225152,"89","1","8",201000
"home decor",41085,41787,102,24385803,"100","6","10",165000
"vintage",31694,37635,119,16836528,"100","1","7",246000
"bracelet",28767,36878,128,1905096,"91","1","8",201000
"personalized",28019,30066,107,6968219,"100","4","12",40500
"print",11401,11973,105,13278365,"100","1","5",201000
"butterfly",8940,12256,137,743970,"96","1","9",673000
"home",8433,7127,85,33446031,"100","1","4",1830000
