"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"iron lung",4165,4688,113,88,"1","85","9",550000
"iron lung hoodie",156,189,121,42,"1","0","16",50
"iron lung movie",128,189,148,19,"1","31","15",550000
"iron lung shirt",88,88,100,38,"1","13","15","N/A"
"iron lung popcorn",86,0,0,29,"1","1","17","N/A"
"iron lung merch",45,63,140,0,"","9","15",6600
"iron lung popcorn bucket",198,124,63,2,"1","0","24",18100
"iron lung phone case",137,203,148,11,"1","0","20",10
"iron lung movie pin",43,64,149,0,"","0","19","N/A"
"iron lung movie keychain",43,63,147,0,"","0","24","N/A"
"iron lung badge reel",39,58,149,0,"","0","20","N/A"
"iron lung ita bag",32,31,97,0,"","0","17","N/A"
"iron",663,784,118,570473,"100","1","4",201000
"lung",26,0,0,18791,"100","1","4",135000
"iron lung poster",18,26,144,68,"29","1","16","N/A"
"iron lung keychain",15,0,0,0,"","4","18",30
"iron lung shaker",14,20,143,0,"","2","16",10
"iron lung bucket",3,0,0,0,"","2","16","N/A"
"iron lung sticker",1,0,0,34,"77","8","17",20
"markiplier iron lung",1,0,0,0,"","8","20","N/A"
"iron lung simon",1,0,0,0,"","5","15",1300
"iron lung keychains",1,0,0,0,"","1","19","N/A"
"iron lung sub",1,0,0,0,"","1","13","N/A"
"iron lung decor",1,0,0,0,"","1","15","N/A"
"iron lung markiplier",1,0,0,0,"","1","20","N/A"
"iron lung pins",1,0,0,0,"","1","14","N/A"
"simon iron lung",0,0,0,0,"","15","15","N/A"
"iron lung game",0,0,0,0,"","10","14","N/A"
"iron lung 2026",0,0,0,12,"","3","14","N/A"
"seeding iron lung",0,0,0,0,"","3","17","N/A"
"iron lung soundtrack",0,0,0,0,"","3","20","N/A"
"iron lung cosplay",0,0,0,0,"","3","17","N/A"
"iron lung fanart",0,0,0,0,"","3","16","N/A"
"convict iron lung",0,0,0,0,"","3","17","N/A"
"iron lung gift",0,0,0,0,"","3","14","N/A"
"pilot iron lung",0,0,0,0,"","2","15","N/A"
"iron lung convict",0,0,0,0,"","2","17","N/A"
"iron lung charm",0,0,0,0,"","2","15","N/A"
"iron lung art",0,0,0,0,"","2","13","N/A"
"iron lung wallet",0,0,0,0,"","2","16","N/A"
"iron lung custom",0,0,0,0,"","2","16","N/A"
"iron lung horror",0,0,0,0,"","2","16","N/A"
"iron lung lore",0,0,0,0,"","2","14","N/A"
"iron lung button",0,0,0,25,"","2","16","N/A"
"iron lung stitch",0,0,0,0,"","2","16","N/A"
"iron lung trending",0,0,0,0,"","1","18","N/A"
"iron lung replica",0,0,0,0,"","1","17","N/A"
"iron lung fan",0,0,0,0,"","1","13","N/A"
"iron lung submarine",0,0,0,0,"","1","19","N/A"
"ava iron lung",0,0,0,0,"","1","13","N/A"
"iron lung acrylic",0,0,0,0,"","1","17","N/A"
"iron lung kandi",0,0,0,0,"","1","15","N/A"
"regal iron lung",0,0,0,0,"","1","15","N/A"
"iron lung markipler",0,0,0,0,"","1","19","N/A"
"markipler iron lung",0,0,0,0,"","1","19","N/A"
"iron lung necklace",0,0,0,0,"","1","18","N/A"
"iron lung seed",0,0,0,0,"","1","14","N/A"
"iron lung print",0,0,0,0,"","1","15","N/A"
"poster iron lung",0,0,0,0,"","1","16","N/A"
"iron lung design",0,0,0,0,"","1","16","N/A"
"iron lung file",0,0,0,0,"","1","14","N/A"
"iron lung tshirt",0,0,0,288,"","1","16","N/A"
"iron lung film",0,0,0,49,"","1","14","N/A"
"iron lung png",0,0,0,31,"","1","13","N/A"
"iron lung stickers",0,0,0,0,"","1","18","N/A"
"iron lung stl",0,0,0,0,"","1","13","N/A"
"iron lung hat",0,0,0,0,"","1","13","N/A"
"iron lung markaplier",0,0,0,0,"","1","20","N/A"
"iron lung blouse",0,0,0,0,"","1","16","N/A"
"iron lung sleepwear",0,0,0,0,"","1","19","N/A"
"iron lung ava",0,0,0,0,"","1","13","N/A"
"iron lung david",0,0,0,0,"","1","15","N/A"
"iron lung t shirt",0,0,0,0,"","2","17","N/A"
"iron lung video game",0,0,0,0,"","2","20","N/A"
"3d printed iron lung",0,0,0,0,"","2","20","N/A"
"iron lung wall art",0,0,0,0,"","1","18","N/A"
"iron lung gamer gift",0,0,0,0,"","1","20","N/A"
"iron lung blouse top",0,0,0,0,"","1","20","N/A"
"iron lung button tee",0,0,0,0,"","1","20","N/A"
"iron lung game tee",0,0,0,0,"","1","18","N/A"
"at 5 iron long tee",0,0,0,0,"","4","18","N/A"
"stickers",74080,95911,129,3334614,"83","4","8",246000
"gift",66326,83911,127,33152946,"100","2","4",450000
"jewelry",59975,70601,118,12852273,"100","2","7",450000
"necklace",54332,66874,123,3225152,"89","2","8",201000
"halloween",51923,66116,127,4118370,"95","2","9",1000000
"keychain",46937,61394,131,1034371,"67","6","8",135000
"phone case",43353,59466,137,544038,"55","1","10",246000
"sticker",34135,42897,126,3334545,"99","8","7",246000
"poster",33140,44749,135,3413543,"100","3","6",165000
"vintage",31694,37635,119,16836528,"100","2","7",246000
"custom",30642,39035,127,8806661,"100","2","6",110000
"bracelet",28767,36878,128,1905096,"91","3","8",201000
"gift for her",26857,26267,98,5409638,"100","1","12",33100
"gift for him",23968,24233,101,2176606,"98","2","12",27100
"3d printed",22618,27384,121,610227,"72","2","10",823000
"pins",21495,29599,138,1099392,"85","1","4",368000
"digital",20420,27357,134,15954347,"100","2","7",90500
"painting",19339,23681,122,2787009,"100","1","8",450000
"cosplay",17576,22991,131,262873,"59","1","7",135000
"fnaf",15485,19802,128,6820,"1","1","4",1220000
"bracelets",15085,17592,117,1900065,"100","1","9",201000
"y2k",14812,17670,119,353266,"69","2","3",201000
"handmade",14043,15885,113,5157929,"100","3","8",14800
"kandi",13217,14766,112,21314,"10","1","5",74000
"enamel pin",11440,15526,136,153262,"56","1","10",27100
"print",11401,11973,105,13278365,"100","3","5",201000
"pendant",9868,12125,123,2569397,"100","1","7",60500
"pin",9558,11798,123,1099643,"100","3","3",368000
"digital art",9576,10864,113,12396252,"100","2","11",27100
"patch",9493,11482,121,595399,"90","1","5",90500
"buttons",9153,10818,118,482115,"86","1","7",135000
"iphone case",8681,9836,113,353918,"81","1","11",90500
"moon",8319,11679,140,704960,"96","1","4",450000
"project hail mary",8211,9860,120,259,"1","1","17",1500000
"steampunk",6973,9282,133,163147,"68","2","9",110000
"charm",6878,9227,134,2699019,"100","1","5",110000
"headphone stand",6736,7853,117,11893,"12","1","15",8100
"stl files",6435,7401,115,179604,"72","1","9",18100
"comfort colors",6341,7231,114,1691430,"100","1","14",60500
"handmade jewelry",6043,6405,106,1751909,"100","1","16",40500
"vinyl",5673,6620,117,1602682,"100","1","5",201000
"horror",5477,6333,116,712488,"100","8","6",90500
"cute stickers",5384,5995,111,562979,"100","1","13",22200
"funny",5204,5062,97,6406715,"100","1","5",550000
"sticker pack",5219,6591,126,139408,"71","1","12",6600
"body pillow",5114,4821,94,5381,"1","1","11",74000
"punk",4991,4370,88,228132,"83","1","4",49500
"embroidered shirt",4885,6111,125,287771,"89","2","17",8100
"clown",4708,4524,96,74852,"60","1","5",246000
"cute",4673,5079,109,6801433,"100","1","4",246000
"anime poster",4478,5523,123,80732,"63","1","12",9900
"movie posters",4418,4595,104,167317,"79","1","13",110000
"beaded necklace",4278,4511,105,929212,"100","1","15",22200
"water bottle",4238,4255,100,527933,"100","1","12",301000
"vinyl stickers",4073,5175,127,975720,"100","1","14",22200
"grunge",4034,5429,135,211229,"86","1","6",90500
"gift for dad",3593,4734,132,1560860,"100","1","12",110000
"gaming",3483,3692,106,375505,"100","1","6",6120000
"handmade necklace",3233,3460,107,506403,"100","1","17",880
"valentine gift",3170,3362,106,1227386,"100","1","14","N/A"
"space",3080,3391,110,591257,"100","2","5",368000
"trending",2962,2686,91,436135,"100","1","8",40500
"sculpture",3020,3135,104,648071,"100","1","9",60500
"friendship bracelets",3009,3122,104,203051,"91","1","20",49500
"acrylic keychain",2752,3154,115,147620,"86","1","16",8100
"youtube",2718,2275,84,100186,"78","3","7",226000000
"button",2648,2994,113,583879,"100","2","6",135000
"vinyl sticker",2401,2122,88,976296,"100","2","13",22200
"kandi bracelet",2338,2512,107,12911,"37","1","14",49500
"90s",2299,2974,129,844939,"100","1","3",33100
"shaker keychain",2273,2568,113,9200,"30","1","15",720
"mens wallet",2257,2985,132,30610,"57","1","11",110000
"gamer",2088,2334,112,2975887,"100","2","5","N/A"
"lgbt",2118,1008,48,106227,"85","1","4",110000
"lapel pin",1910,2349,123,110394,"88","1","9",40500
