"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"vintage",31694,37635,119,16836528,"100","20","7",246000
"vintage jewelry",14233,14744,104,2881485,"100","6","15",27100
"vintage gift",6114,5093,83,3920013,"100","0","12",1000
"vintage watch",4990,4826,97,82173,"61","0","13",33100
"vintage decor",4243,3822,90,4828278,"100","2","13",5400
"vintage halloween",3856,3683,96,473639,"100","0","17",8100
"vintage ring",3395,3365,99,643621,"100","3","12",14800
"vintage rugs",3296,3039,92,180759,"87","0","12",12100
"vintage clothing",3173,2984,94,2345106,"100","0","16",74000
"vintage dress",3163,4258,135,494122,"100","0","13",22200
"vintage rings",2889,2832,98,644614,"100","0","13",14800
"vintage necklace",2778,2845,102,683546,"100","1","16",3600
"vintage art",2474,2387,96,5280723,"100","0","11",5400
"vintage prints",2408,2471,103,2212892,"100","0","14",2900
"vintage rug",2236,2016,90,182435,"96","0","11",12100
"vintage christmas",2052,1956,95,1993255,"100","0","17",12100
"vintage poster",1891,1633,86,762104,"100","0","14",9900
"vintage tshirt",1870,1792,96,1247043,"100","2","14",22200
"vintage posters",1823,1701,93,764324,"100","0","15",9900
"vintage curtains",1753,1745,100,25610,"58","0","16",3600
"vintage earrings",1709,1417,83,507492,"100","2","16",3600
"vintage lamp",1708,324,19,93209,"87","0","12",14800
"vintage glassware",1562,1569,100,73795,"84","0","17",8100
"vintage locket",1525,1328,87,21205,"57","0","14",2400
"vintage brooch",1510,1417,94,455823,"100","1","14",6600
"vintage dresses",1371,1364,99,488015,"100","0","15",22200
"vintage plates",1357,1327,98,470949,"100","0","14",3600
"vintage lighters",1353,1540,114,9876,"43","0","16",9900
"vintage tapestry",1346,1344,100,64772,"84","0","16",1900
"vintage buttons",1315,1243,95,165442,"100","0","15",2400
"vintage sweatshirt",1227,1264,103,444168,"100","0","18",5400
"vintage bracelet",1188,1067,90,315464,"100","0","16",1900
"vintage wallpaper",1174,1172,100,60719,"86","0","17",12100
"vintage artwork",1154,1155,100,282620,"100","0","15",5400
"vintage style",1085,1095,101,1387480,"100","2","13",3600
"vintage painting",1069,1009,94,642269,"100","0","16",1000
"vintage sweater",1058,875,83,353811,"100","0","15",5400
"vintage mirror",1049,1153,110,52515,"85","0","14",9900
"vintage frames",998,937,94,95536,"99","0","14",8100
"vintage coach",993,184,19,18959,"64","0","13",9900
"vintage barware",956,866,91,596184,"100","0","15",720
"vintage pins",950,973,102,552347,"100","1","12",1600
"vintage furniture",912,755,83,134066,"100","0","17",22200
"vintage quilt",910,522,57,313308,"100","0","13",3600
"vintage print",828,800,97,2206513,"100","0","13",2900
"vintage fabric",808,715,88,361655,"100","0","14",3600
"vintage shirts",743,732,99,1647467,"100","0","14",9900
"vintage tablecloth",728,365,50,30414,"81","0","18",1900
"vintage tablecloths",690,721,104,28361,"81","0","19",1900
"vintage items",678,656,97,80661,"100","0","13",1900
"vintage quilts",666,634,95,284824,"100","0","14",3600
"vintage lockets",629,694,110,20933,"76","0","15",2400
"vintage belt",621,493,79,99278,"100","0","12",2400
"vintage gifts",621,625,101,3850397,"100","0","13",1000
"vintage makeup",612,636,104,27590,"83","0","14",1900
"vintage pyrex",611,510,83,32884,"87","0","13",14800
"vintage lingerie",603,585,97,36642,"89","0","16",6600
"vintage lighter",593,328,55,9970,"61","0","15",9900
"vintage suitcase",581,535,92,8842,"59","0","16",4400
"vintage clothes",577,437,76,142588,"100","0","15",74000
"vintage necklaces",553,673,122,673650,"100","1","17",3600
"vintage handbags",545,537,99,101341,"100","0","16",4400
"vintage shirt",533,383,72,1652481,"100","0","13",9900
"vintage desk",523,376,72,71614,"100","0","12",6600
"vintage lamps",518,496,96,93625,"100","0","13",14800
"vintage charms",509,51,10,362382,"100","0","14",9900
