"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"mexico",2131,2570,121,483116,"100","11","6",1220000
"new mexico",421,491,117,44846,"100","1","10",301000
"mexico map",285,0,0,7715,"72","1","10","N/A"
"mexico shirt",238,188,79,75244,"100","2","12",14800
"jersey mexico",238,342,144,2233,"49","0","13","N/A"
"viva mexico",178,264,148,5035,"73","1","11","N/A"
"mexico svg",137,191,139,17074,"100","2","10",260
"mexico miniature",126,0,0,0,"","0","16","N/A"
"labubu mexico",110,164,149,413,"29","0","13","N/A"
"mexico art",104,95,91,159570,"100","0","10",14800
"mexico shells",93,0,0,0,"","0","13",20
"mexico pin",73,105,144,14677,"100","0","10",480
"mexico jerseys",62,85,137,2153,"77","0","14",74000
"mexico shirts",53,68,128,65604,"100","0","13","N/A"
"mexico gifts",46,64,139,144926,"100","2","12",260
"mexico seeds",46,67,146,0,"","0","12","N/A"
"mexico christmas",44,63,143,39236,"100","0","16","N/A"
"flag mexico",43,63,147,15672,"100","0","11",673000
"lighting mexico",43,64,149,0,"","0","15","N/A"
"mexico club",43,63,147,0,"","0","11",3600
"mexico png",33,40,121,33517,"100","3","10",1000
"pcgs mexico",33,19,58,0,"","0","11","N/A"
"xcaret mexico",31,0,0,18,"1","0","13","N/A"
"mexico bean",31,46,148,0,"","0","11","N/A"
"mexico necklace",31,27,87,19314,"100","0","15",1600
"mexico city",29,33,114,7020,"100","0","11",368000
"mexico patch",29,12,41,4121,"100","0","12","N/A"
"mexico embroidered",28,39,139,18142,"100","0","18","N/A"
"mexico football",26,39,150,1273,"84","2","15","N/A"
"mexico embroidery",23,33,143,12294,"100","0","17",1600
"merida mexico",23,33,143,212,"48","0","13","N/A"
"mexico flag",22,27,123,19112,"100","1","11",673000
"mexico graduation sash guanajuato mexico",98,49,50,0,"","0","40",0
"mexico wall art",786,781,99,82782,"100","0","15",1600
"gulf of mexico",505,570,113,11385,"68","2","14",165000
"new mexico gifts",211,209,99,13322,"90","0","16",390
"estado de mexico",210,188,90,853,"30","0","16","N/A"
"viva mexico shirt",210,315,150,1927,"48","0","17","N/A"
"new mexico tails",208,301,145,0,"","0","16","N/A"
"mexico soccer jersey",208,123,59,973,"34","0","20",22200
"mexico baseball jersey",176,125,71,139,"1","0","22","N/A"
"mexico phone case",171,253,148,1990,"53","0","17","N/A"
"cuernavaca mexico nativity",168,251,149,0,"","0","26","N/A"
"mexico city prints",127,189,149,3278,"71","0","18",40
"new mexico stickers",114,170,149,1877,"61","0","19","N/A"
"mexico framed photos",109,0,0,0,"","0","20","N/A"
"golf de mexico",103,0,0,0,"","0","14","N/A"
"mexico trucker hats",102,0,0,0,"","0","19","N/A"
"puebla mexico mug",102,0,0,305,"24","0","17","N/A"
"vintage mexico print",101,151,150,9405,"98","0","20","N/A"
"mexico 20 centavos",101,0,0,0,"","0","18","N/A"
"silver bookmark mexico",86,0,0,0,"","0","22","N/A"
"baseball jersey mexico",78,64,82,0,"","0","22","N/A"
"mexico map poster",44,63,143,2553,"88","0","17","N/A"
"patches velcro mexico",44,66,150,0,"","0","21","N/A"
"new mexico strong",43,63,147,59,"7","0","17","N/A"
"mexico t shirt",43,64,149,59403,"100","0","14","N/A"
"espokky mexico png",43,63,147,0,"","0","18","N/A"
"mexico united states",43,0,0,0,"","0","20","N/A"
"mexico poster digital",43,63,147,0,"","0","21","N/A"
"kubi mexico poster",43,63,147,0,"","0","18","N/A"
"mexico bumper sticker",43,63,147,2833,"91","0","21","N/A"
"card holder mexico",43,63,147,0,"","0","18","N/A"
"phone case mexico",43,64,149,0,"","0","17",20
"3d print mexico",43,0,0,0,"","0","15",20
"mexico straw hat",43,63,147,0,"","0","16","N/A"
"azteca mexico logo",43,63,147,0,"","0","18","N/A"
"mexico baseball jerseys",43,64,149,0,"","0","23","N/A"
"mexico shot glasses",40,52,130,1437,"78","0","19",1300
"graduate stole mexico",31,45,145,0,"","0","21",0
"narcos mexico decor",31,45,145,0,"","0","19",0
"dogtooth purple mexico",27,39,144,0,"","0","22","N/A"
"mexico 2026 shirt",26,39,150,5754,"100","0","17","N/A"
"mexico unit study",26,39,150,0,"","0","17","N/A"
"mexico baby tee",23,27,117,1753,"94","0","15",0
"mexico quartz enhydro",22,0,0,0,"","0","21","N/A"
"neon sign mexico",22,32,145,0,"","0","16",90
"gulf of mexico shirt",693,774,112,6979,"50","0","20",2400
"mexico soccer svg bundle",209,314,150,340,"11","0","24","N/A"
"mexico city market print",126,0,0,0,"","0","24","N/A"
"mexico independence day shirt",126,189,150,725,"38","0","29","N/A"
"mexico world cup 2026",126,188,149,1267,"50","0","21","N/A"
"gulf of mexico tshirt",113,108,96,6020,"86","0","21",3600
"mexico heritage month shirt",97,145,149,0,"","0","27","N/A"
"golf de mexico shirt",93,0,0,0,"","0","20","N/A"
"leather travel slippers mexico",93,0,0,0,"","0","30","N/A"
"golfo de mexico shirt",84,0,0,466,"37","0","21","N/A"
"mexico silver chunky ring",67,98,146,0,"","0","25",0
"made in mexico rebozo",45,45,100,0,"","0","21","N/A"
"aztec mexico design dtf",44,65,148,0,"","0","23","N/A"
"custom mexico flag jersey",43,63,147,0,"","0","25","N/A"
"mexico independence day tshirts",43,0,0,0,"","0","31","N/A"
"mexico christmas phone case",43,64,149,0,"","0","27","N/A"
"usa canada mexico soccer",43,64,149,4943,"100","0","24","N/A"
"stl 3d print mexico",43,0,0,0,"","0","19","N/A"
"jersey mexico base ball",43,64,149,0,"","0","23","N/A"
"old style mexico posters",43,63,147,0,"","0","24","N/A"
"mexico world cup patch",43,63,147,0,"","0","22","N/A"
"mexico crop baseball jersey",39,58,149,0,"","0","27","N/A"
"dogtooth fluorite purple mexico",39,58,149,0,"","0","31","N/A"
"gulf of mexico shells",35,52,149,163,"33","0","21",110
"chiapas cotton handmade mexico",31,46,148,0,"","0","30",0
"calendario 2026 espanol mexico",27,39,144,0,"","0","30",0
"la paz mexico print",26,39,150,50,"14","0","19",0
"maestro mexico art print",23,33,143,0,"","0","24","N/A"
"mexico new year shirt",22,32,145,0,"","0","21","N/A"
"seed and sage jewelry mexico",131,1,1,0,"","0","28",140
"gulf of mexico t shirt",108,101,94,2282,"66","0","22","N/A"
"seleccion de futbol de mexico",97,0,0,0,"","0","29","N/A"
"mexico map fine art ceramics",86,0,0,0,"","0","28",0
"cancun mexico beach design dtf",43,65,151,0,"","0","30",0
"gulf of mexico 1672 shirt",43,64,149,0,"","0","25",0
"saint jude thaddeus mexico png",43,63,147,0,"","0","30","N/A"
"id lanyard badge holder mexico",43,0,0,0,"","0","30","N/A"
"hand made leather bags mexico",35,0,0,0,"","0","29","N/A"
"mexico blown glass drinking glasses",34,0,0,0,"","0","35","N/A"
"mexico and el salvador flash",26,0,0,0,"","0","28",0
"i love mexico png design",26,0,0,0,"","0","24","N/A"
"embossed save the date tulum mexico",157,234,149,0,"","0","35",0
"black and white mexico framed photos",126,188,149,0,"","0","36","N/A"
"texas and new mexico mountain art",110,164,149,0,"","0","33","N/A"
"marine life art prints whimsical mexico",43,64,149,0,"","0","39","N/A"
"its still the gulf of mexico",43,63,147,0,"","0","28","N/A"
"mexico flag womens low top sneakers",43,63,147,0,"","0","35","N/A"
"bandera puerto rico y mexico juntas",43,64,149,0,"","0","35","N/A"
"viva mexico mexican girl kid png",39,58,149,0,"","0","32","N/A"
"it s still gulf of mexico",35,52,149,0,"","0","25","N/A"
"soccer world cup 2026 usa canada mexico",43,63,147,2948,"92","0","39","N/A"
"mexico jersey",9,0,0,2197,"100","2","13",74000
"mexico clipart",3,0,0,10946,"100","1","14","N/A"
"mexico decal",2,0,0,11302,"100","2","12","N/A"
"mexico pride",2,0,0,13380,"100","1","12","N/A"
"vintage mexico",2,0,0,119672,"100","1","14","N/A"
"mexico souvenir",1,0,0,7636,"100","3","15","N/A"
"cancun mexico",1,0,0,5159,"100","1","13","N/A"
"mexico design",1,0,0,41827,"100","1","13","N/A"
"mexico scrunchies",0,0,0,110,"","2","17","N/A"
"fifa mexico",0,0,0,0,"","2","11","N/A"
"mexico governor",0,0,0,0,"","2","15","N/A"
"mexico sombrero",0,0,0,9173,"","1","15","N/A"
"mexico colombia",0,0,0,0,"","1","15","N/A"
"mexico baby",0,0,0,16855,"","1","11","N/A"
"mexico cancun",0,0,0,5680,"","1","13","N/A"
"mexico 20206",0,0,0,0,"","1","12","N/A"
"mexico crossstitch",0,0,0,0,"","1","18","N/A"
"futbol mexico",0,0,0,1446,"","1","13","N/A"
"mexico 2026",0,0,0,5815,"","1","11","N/A"
"mexico gold",0,0,0,19467,"","1","11","N/A"
"independencia mexico",0,0,0,389,"","1","20","N/A"
"mexico fan",0,0,0,2848,"","1","10","N/A"
"mexico soccer",0,0,0,2788,"","1","13","N/A"
"cozumel mexico",0,0,0,932,"","1","14","N/A"
"new mexico map",3,0,0,2100,"100","1","14","N/A"
"mexico flag png",2,0,0,4562,"100","2","15","N/A"
"viva mexico png",2,0,0,1097,"100","1","15","N/A"
"new mexico souvenir",1,0,0,2322,"100","1","19","N/A"
"new mexico wedding",1,0,0,1487,"100","1","18","N/A"
"mexico wedding gift",1,0,0,13553,"100","1","19","N/A"
"mexico flag hair",0,0,0,168,"","2","16","N/A"
"world cup mexico",0,0,0,546,"","2","16",14800
"mexico fan gift",0,0,0,5779,"","2","15","N/A"
"new mexico recall",0,0,0,0,"","2","17","N/A"
"trump new mexico",0,0,0,0,"","2","16","N/A"
"new mexico red",0,0,0,0,"","2","14","N/A"
"mexico soccer png",0,0,0,169,"","2","17","N/A"
"mexico colors hat",0,0,0,0,"","1","17","N/A"
"san luis mexico",0,0,0,0,"","1","15","N/A"
"mexico boxing gloves",0,0,0,67,"","1","20","N/A"
"mexico decor accents",0,0,0,17142,"","1","20","N/A"
"new mexico art",0,0,0,19648,"","1","14",880
"new mexico design",0,0,0,2696,"","1","17","N/A"
"us mexico flag",0,0,0,2227,"","1","14","N/A"
"mexico decor figure",0,0,0,1358,"","1","19","N/A"
"mexico local art",0,0,0,0,"","1","16","N/A"
"mexico gift ideas",0,0,0,9866,"","1","17","N/A"
"vintage 925 mexico",0,0,0,22676,"","1","18","N/A"
"mexico filigree ring",0,0,0,0,"","1","20","N/A"
"mexico flag svg",0,0,0,2330,"","1","15","N/A"
"mexico football png",0,0,0,0,"","1","19","N/A"
"mexico soccer logo",0,0,0,161,"","1","18","N/A"
"mexico girls trip",0,0,0,5120,"","1","17","N/A"
"mexico 2026 font",0,0,0,0,"","1","16","N/A"
"usa mexico canada",0,0,0,371,"","1","17","N/A"
"mexico soccer art",0,0,0,0,"","1","17","N/A"
"mexico team apparel",0,0,0,0,"","1","19","N/A"
"digital mexico png",0,0,0,0,"","1","18","N/A"
"mexico digital png",0,0,0,0,"","1","18","N/A"
"mexico soccer team",0,0,0,771,"","1","18","N/A"
"el salvador mexico",0,0,0,548,"","1","18","N/A"
"mexico world cup",0,0,0,634,"","1","16","N/A"
"mexico world cup png",2,0,0,0,"","1","20",0
"new mexico wood map",0,0,0,0,"","1","19","N/A"
"mexico flag svg png",0,0,0,0,"","1","19","N/A"
"stickers",74080,95911,129,3334614,"83","1","8",246000
"gift",66326,83911,127,33152946,"100","1","4",450000
"earrings",64619,73635,114,2872064,"82","2","8",201000
"personalized gift",63547,67269,106,5573446,"97","1","17",110000
"wall art",63433,74048,117,15248319,"100","1","8",90500
"keychain",46937,61394,131,1034371,"67","1","8",135000
"vintage",31694,37635,119,16836528,"100","1","7",246000
"bracelet",28767,36878,128,1905096,"91","4","8",201000
"personalized",28019,30066,107,6968219,"100","3","12",40500
"gifts for her",20649,22438,109,5405483,"100","1","13",33100
"embroidery",18223,21636,119,2125420,"100","1","10",165000
"fabric",17995,18402,102,2605846,"100","1","6",165000
"gifts",17680,17964,102,33137693,"100","1","5",450000
"mask",17055,23855,140,273427,"60","1","4",165000
"svg",16491,19716,120,3300999,"100","1","3",40500
"vintage jewelry",14233,14744,104,2881485,"100","1","15",27100
"handmade",14043,15885,113,5157929,"100","2","8",14800
"housewarming gift",13998,15756,113,1468837,"100","1","17",74000
"graduation",12168,14310,118,1019260,"96","1","10",246000
"blue",11772,16973,144,9202427,"100","4","4",673000
"crystals",11718,13408,114,1924810,"100","1","8",201000
"print",11401,11973,105,13278365,"100","3","5",201000
"custom keychain",10228,11999,117,160537,"60","1","15",22200
"black",9725,14308,147,12353628,"100","1","5",1220000
"coaster",9723,11422,117,406241,"81","1","7",74000
"scarf",9619,12517,130,414610,"82","1","5",110000
"mens bracelet",9061,10968,121,301136,"76","1","13",60500
"hats",8848,9672,109,2464545,"100","1","4",368000
"hair accessories",8378,8544,102,632203,"94","2","16",40500
"skull",8209,10644,130,712521,"97","1","5",301000
"white",8089,11996,148,13904130,"100","1","5",1220000
"pottery",7779,8616,111,601035,"94","1","7",135000
"red",7656,11058,144,6773065,"100","3","3",2240000
"belt",7396,9339,126,231744,"75","2","4",165000
"embroidered",7306,8706,119,1277994,"100","1","11",165000
"graduation gift",7148,7257,102,780587,"100","1","15",90500
"cross stitch pattern",6757,8450,125,630186,"98","1","20",33100
"cross stitch",6506,7117,109,781509,"100","1","12",60500
"canvas",6224,7657,123,5275341,"100","1","6",24900000
"baby announcement",6241,7444,119,649496,"100","1","17",14800
"handmade jewelry",6043,6405,106,1751909,"100","1","16",40500
"baby shower gift",5915,5945,101,1391561,"100","1","16",0
"classroom decor",5502,5739,104,266619,"84","1","15",9900
"football shirt",5163,6919,134,351526,"92","1","14",6600
"anti trump shirt",5061,6623,131,108965,"67","1","16",0
"rainbow",4798,6185,129,2049055,"100","1","7",1220000
"pendant necklace",4798,5362,112,1957041,"100","1","16",27100
"wedding decor",4727,4794,101,1312302,"100","1","13",22200
"friendship bracelet",4625,4893,106,205442,"82","2","19",49500
"home gifts",4533,5968,132,12233044,"100","1","10",4400
"trophy",4536,4664,103,62493,"57","1","6",110000
"elephant",4535,6003,132,308672,"92","1","8",450000
"catholic",4513,4840,107,336347,"94","1","8",135000
"car decal",4288,4463,104,414993,"99","2","9",27100
"baby boy",4260,3499,82,767644,"100","1","8",0
"garland",4268,5957,140,210695,"85","1","7",165000
"wedding favor",4161,4479,108,380045,"98","1","13",18100
"resin",4111,4300,105,800548,"100","1","5",74000
"2026",3945,5091,129,204425,"86","2","4","N/A"
"best seller",3863,3412,88,143272,"78","1","11",8100
"sterling silver",3853,4371,113,1940142,"100","3","15",49500
"floral",3844,5057,132,5522351,"100","1","6",33100
"funny stickers",3778,3855,102,341526,"98","1","14",49500
"print on demand",3709,4889,132,127406,"77","1","15",27100
"puerto rico",3654,4045,111,41019,"53","2","11",1220000
"usa",3504,4529,129,1849778,"100","1","3",550000
"turtle",3482,3840,110,205975,"89","1","6",450000
"font",3486,3532,101,263762,"94","1","4",1220000
"decals",3333,3624,109,1646314,"100","2","6",33100
"class of 2026",3372,4547,135,31943,"49","1","13",22200
"valentine gift",3170,3362,106,1227386,"100","1","14","N/A"
"statement necklace",2994,3074,103,226981,"94","1","18",12100
"masks",2921,3808,130,275563,"99","1","5",165000
"rose quartz",2789,3165,113,113714,"81","1","11",60500
"crystal jewelry",2690,2711,101,995177,"100","1","15",6600
"decal",2653,2813,106,1642878,"100","1","5",33100
"custom pet shirt",2601,2934,113,54306,"66","1","16",2400
"onyx",2535,3175,125,145815,"88","1","4",246000
"diy",2463,2633,107,2285747,"100","1","3",60500
"boho jewelry",2315,2773,120,1274752,"100","1","12",4400
"cabochon",2212,2059,93,1665369,"100","1","8",18100
"birds",2239,2587,116,1041597,"100","1","5",550000
"craft",2120,2410,114,16637105,"100","1","5",165000
"sash",1988,2509,126,49170,"70","1","4",33100
"birthstone bracelet",2015,2070,103,54357,"72","1","19",18100
"fuck trump",1908,2218,116,64414,"76","1","10",0
"family",1887,2634,140,2963736,"100","1","6",550000
"rosary bracelet",1872,1943,104,14228,"44","1","15",8100
"custom baby gift",1852,1866,101,631694,"100","1","16",0
"boho decor",1897,2263,119,1108693,"100","1","10",8100
"mexican",1707,1911,112,483378,"100","12","7",550000
"military",1723,2171,126,386126,"100","1","8",165000
"football jersey",1692,1996,118,52005,"74","1","15",40500
"sublimation png",1628,1221,75,2427836,"100","2","15",70
"memorial stone",1649,1804,109,25031,"59","1","14",1000
"square",1623,2255,139,1199591,"100","1","6",823000
"train",1584,1623,102,151291,"99","1","5",368000
"trending png",1496,1577,105,111985,"94","1","12",70
"trucker hats",1476,1678,114,455867,"100","1","12",90500
"caps",1431,1558,109,1092543,"100","1","4",301000
"popular png",1434,1168,81,105568,"93","1","11",70
"newborn outfit",1394,1666,120,132265,"99","1","14",6600
"mexican pottery",1385,930,67,20711,"59","1","15",12100
"softball png",1448,1309,90,43661,"74","1","12",1900
"eagle",1370,1628,119,206428,"100","2","5",6120000
"stole",1318,1858,141,30199,"68","1","5",60500
"estate jewelry",1361,1270,93,146764,"100","1","14",12100
"boxing",1282,1168,91,37191,"73","6","6",550000
"mexican folk art",1302,1440,111,32076,"70","2","16",6600
"game",1253,1330,106,2975910,"100","1","4",6120000
"men necklace",1302,1516,116,543179,"100","1","12",8100
"virgen de guadalupe",1279,968,76,10823,"46","1","19",90500
