"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"pokemon",55842,79178,142,143307,"20","32","7",1830000
"pokemon cards",6499,6843,105,36015,"37","4","13",823000
"pokemon binder",3456,4377,127,2918,"1","0","14",33100
"pokemon card",3224,3523,109,35999,"52","5","12",823000
"pokemon keychain",2916,3275,112,7052,"19","1","16",5400
"pokemon stickers",2759,3583,130,16842,"39","0","16",6600
"pokemon shirt",1944,2574,132,4493,"18","2","13",8100
"pokemon sticker",1877,2479,132,16841,"48","0","15",6600
"pokemon keycaps",1706,2353,138,2607,"9","0","15",1300
"pokemon art",1598,1722,108,55374,"77","2","11",8100
"pokemon hat",1445,1789,124,3172,"17","0","11",5400
"pokemon plush",1354,1744,129,4536,"26","1","13",33100
"pokemon pin",1263,938,74,4235,"26","0","11",880
"pokemon gift",1145,1369,120,44503,"79","11","12",6600
"pokemon pins",1025,942,92,4799,"34","0","12",2400
"pokemon tcg",885,1036,117,12479,"57","2","11",135000
"pokemon poster",848,1105,130,5881,"42","0","14","N/A"
"pokemon decor",808,1048,130,42745,"86","2","13",2400
"pokemon crochet",693,934,135,7829,"53","8","15",1600
"pokemon ring",693,892,129,546,"1","0","12",2900
"pokemon proxy",685,530,77,1881,"22","1","13",1900
"pokemon keycap",663,971,146,2652,"30","0","14",170
"pokemon go",648,865,133,4819,"44","1","10",201000
"pokemon mousepad",638,936,147,1111,"12","0","16","N/A"
"pokemon patch",638,848,133,1176,"13","0","13",2900
"pokemon emerald",632,679,107,294,"1","0","15",90500
"pokemon playmat",603,778,129,945,"10","0","15",5400
"pokemon bag",591,500,85,7862,"56","1","11","N/A"
"crochet pokemon",585,723,124,7968,"57","3","15","N/A"
"pokemon stl",569,831,146,1417,"20","1","11",480
"pokemon resin",542,769,142,4581,"46","0","13",140
"pokemon posters",532,484,91,6034,"53","0","15",6600
"pokemon svg",532,632,119,3907,"43","3","11",1300
"pokemon planter",485,713,147,586,"4","0","15",590
"pokemon za",473,704,149,1742,"28","0","10",135000
"pokemon mug",471,359,76,1087,"18","0","11",1600
"pokemon games",471,187,40,34043,"93","0","13",110000
"pokemon rug",438,525,120,375,"1","0","11",3600
