Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Kawaii Decora Decoden Themed/Character/Cartoon/Anime/KPOP Handmade Custom Phone Case Order (3D Whipped/Resin/Junk Case) for Android/iPhone,https://www.etsy.com/listing/1282816707/kawaii-decora-decoden,cuteststop,https://www.etsy.com/shop/cuteststop,50.00,47,2350,0,1216,665,45 Mo.,5521,15,175842,Electronics & Accessories,46,100,0.69,1670,"handmade phone cases,decoden,custom personalized,fairykei gamer cute,kawaii aesthetic,resin phone cover,kpop fanfiction cool,video game comic,tiktok unique gift,samsung android,iphone motorola,gamer kpop anime,resin glittery",handmade phone cases,decoden,custom personalized,fairykei gamer cute,kawaii aesthetic,resin phone cover,kpop fanfiction cool,video game comic,tiktok unique gift,samsung android,iphone motorola,gamer kpop anime,resin glittery
"Duck Phone Case Candlelight dinner Animal Cover fit for iPhone 16 Pro Max 15 14 13 12 11 XS Plus Samsung S25 S24 A55 A54,Tough Phone case",https://www.etsy.com/listing/4331252453/duck-phone-case-candlelight-dinner,KazeCovers,https://www.etsy.com/shop/KazeCovers,24.00,70,1680,-100,229,33,8 Mo.,1581,4,25035,Electronics & Accessories,11,100,0.91,763,"phone case 13 iphone,summer phone case,magsafe phone case,phone case,animal phone cases,samsung case,duck phone case,silly goose case,funny animal  case,goose case magsafe,samsung  case duck,rubber duck  case",phone case 13 iphone,summer phone case,magsafe phone case,phone case,animal phone cases,samsung case,duck phone case,silly goose case,funny animal  case,goose case magsafe,samsung  case duck,rubber duck  case,--
"Embroidered Cat Phone Case for iPhone 16 15 14 Pro Max, Cute Floral Kitten Leather Texture Cover, Split Design Protective Shell",https://www.etsy.com/listing/4451731566/embroidered-cat-phone-case-for-iphone-16,HimadriCDD,https://www.etsy.com/shop/HimadriCDD,58.92,24,1414,0,17,3,3 Mo.,129,1,2009,Electronics & Accessories,8,100,0.85,382,"cat phone case,embroidered case,cute iphone cover,floral phone case,iphone 15 pro max,iphone 14 case,kawaii accessories,cottagecore style,leather texture,kitten lover gift,protective shell,iphone 16 case,animal phone case",cat phone case,embroidered case,cute iphone cover,floral phone case,iphone 15 pro max,iphone 14 case,kawaii accessories,cottagecore style,leather texture,kitten lover gift,protective shell,iphone 16 case,animal phone case
"Blue Striped Denim Duck Phone Protective case, Cute Duckling Phone Case, iPhone 17 16 15 14 13 12 11 Pro Max, Samsung S25 S24 S23 S22",https://www.etsy.com/listing/4443530496/blue-striped-denim-duck-phone-protective,KawaiiPhoneCover,https://www.etsy.com/shop/KawaiiPhoneCover,19.00,69,1311,100,120,12,4 Mo.,848,3,15205,Electronics & Accessories,8,100,0.79,1230,"iphone 13 case fun,iphone 11 case,iphone case rubber,protective case,phone cases,iphone 16 cover,goose iphone case,duck phone case,duck iphone case,samsung galaxy case,samsung s24 case,animal phone cases,bestseller case",iphone 13 case fun,iphone 11 case,iphone case rubber,protective case,phone cases,iphone 16 cover,goose iphone case,duck phone case,duck iphone case,samsung galaxy case,samsung s24 case,animal phone cases,bestseller case
Snoopy Peanuts Iridescent Flip Phone Case | Compatible with Samsung Galaxy Z Flip 7PE.7.6.5.4.3(With/Without Lanyard),https://www.etsy.com/listing/4449686667/snoopy-peanuts-iridescent-flip-phone,MatsStuffGifts,https://www.etsy.com/shop/MatsStuffGifts,52.98,24,1272,0,36,3,4 Mo.,91,1,1961,Electronics & Accessories,5,100,1.84,98,"z flip 7 case,z flip 6 case,z flip 5 case,kawaii phone case,cute phone case,beaded chain case,girly phone case,anime phone case,phone charm case,gift for her,snoopy phone case,samsung z flip case,peanuts phone case",z flip 7 case,z flip 6 case,z flip 5 case,kawaii phone case,cute phone case,beaded chain case,girly phone case,anime phone case,phone charm case,gift for her,snoopy phone case,samsung z flip case,peanuts phone case
"Studio Kawaii JapaneseAnime Manga  Unique Wood Phone Case for iPhone 17 16 15 14  Pro Max,  Wood Cover, Samsung S25 S24 Ultra",https://www.etsy.com/listing/4448384540/studio-kawaii-japaneseanime-manga-unique,Casenddyy,https://www.etsy.com/shop/Casenddyy,35.99,33,1188,-100,110,18,5 Mo.,366,4,5505,Electronics & Accessories,5,100,2.0,968,"wood phone case,s25 ultra,iphone 17 pro max,anime phone case,iphone 16 case,videogame case,manga phone case,anime merch,ghibli phone case,totoro,spirited phone case,kawaii phone case,studio phone case",wood phone case,s25 ultra,iphone 17 pro max,anime phone case,iphone 16 case,videogame case,manga phone case,anime merch,ghibli phone case,totoro,spirited phone case,kawaii phone case,studio phone case
"Anime Phone Case Kakashi Manga Cover for iPhone 17Pro, 17, 16, 15, 14, 13, 12, Samsung S25, S24 S23 A16 A56 Pixel 10 9Pro 8",https://www.etsy.com/listing/4461798893/anime-phone-case-kakashi-manga-cover-for,MangoCovers,https://www.etsy.com/shop/MangoCovers,35.34,27,954,0,26,1,2 Mo.,9,1,130,Electronics & Accessories,2,0,20.0,53,"iphone 17 phone case,iphone 15 phone case,pixel 10 phone case,pixel 10a phone case,pixel 9 phone case,samsung s26 case,samsung a37 case,samsung a57 case,iphone 16 phone case,iphone 14 phone case,manga phone case,anime phone case,kakashi phone case",iphone 17 phone case,iphone 15 phone case,pixel 10 phone case,pixel 10a phone case,pixel 9 phone case,samsung s26 case,samsung a37 case,samsung a57 case,iphone 16 phone case,iphone 14 phone case,manga phone case,anime phone case,kakashi phone case
"Anime Phone Cases, Flower Phone Case, Rabbit Phone Case, Kawaii phone case, Phone Case For iPhone 17 16 15 14 13 12 11 Samsung S26 S25 S24",https://www.etsy.com/listing/4308998328/anime-phone-cases-flower-phone-case,ShiningCraftGoods,https://www.etsy.com/shop/ShiningCraftGoods,24.35,39,950,-100,258,48,12 Mo.,901,4,18222,Electronics & Accessories,21,100,1.42,4262,"samsung phone case,iphone 14 pro max,iphone 15 promax,anime phone cases,cartoon phone case,flower phone case,a gift for her,a gift for him,iphone 16 pro max,galaxy s25 ultra,cute phone cases,iphone 17 case,galaxy s26",samsung phone case,iphone 14 pro max,iphone 15 promax,anime phone cases,cartoon phone case,flower phone case,a gift for her,a gift for him,iphone 16 pro max,galaxy s25 ultra,cute phone cases,iphone 17 case,galaxy s26
Simple stripe Cat and fish Phone Case Cat Funny Creativity iPhone Case for iPhone 17 16 15 14 13 12 Air Pro Max  Samsung S25 S24 S22 Ultra,https://www.etsy.com/listing/4399797164/simple-stripe-cat-and-fish-phone-case,Arisvo,https://www.etsy.com/shop/Arisvo,23.00,41,943,-100,87,11,6 Mo.,747,2,10779,Electronics & Accessories,8,100,0.81,740,"trendy phone case,funky iphone case,case cute girls,funny phone case,cute phone case,cat iphone case,iphone case cat,phone cases cute,fun phone cases,cat phone case drawn,phone case yellow,aesthetic phone case,animal phone cases",trendy phone case,funky iphone case,case cute girls,funny phone case,cute phone case,cat iphone case,iphone case cat,phone cases cute,fun phone cases,cat phone case drawn,phone case yellow,aesthetic phone case,animal phone cases
"Clear Goldfish Phone Case for iPhone 16 15 14 Pro Max, Cute Aesthetic Koi Fish Cover with Glitter Camera Border",https://www.etsy.com/listing/4451726143/clear-goldfish-phone-case-for-iphone-16,HimadriCDD,https://www.etsy.com/shop/HimadriCDD,57.63,16,922,0,11,2,3 Mo.,98,1,1474,Electronics & Accessories,8,100,0.75,382,"goldfish phone case,koi fish iphone case,cute clear case,aesthetic phone,iphone 16 pro max,iphone 15 case,animal phone cover,soft silicone case,glitter camera case,unique iphone case,japanese aesthetic,transparent cover,fish pattern case",goldfish phone case,koi fish iphone case,cute clear case,aesthetic phone,iphone 16 pro max,iphone 15 case,animal phone cover,soft silicone case,glitter camera case,unique iphone case,japanese aesthetic,transparent cover,fish pattern case
