Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Embroidered Knit Baby Blanket, Personalized Baby Blanket, Custom Baby Name Blanket, Gift for Baby, 100% Cotton blanket, Keepsake for Baby",https://www.etsy.com/listing/4333347719/embroidered-knit-baby-blanket,CuddleBugCrafters,https://www.etsy.com/shop/CuddleBugCrafters,20.99,1105,55111,-62,5748,630,11 Mo.,6353,57,197517,Home & Living,32,100,2.91,29358,"custom knit blanket,embroidered blankets,newborn blanket,personalized blanket,blanket with name,newborn gift,baby shower gift,baby blanket,custom baby blanket,gender neutral baby,custom name blanket,hospital baby gift,baby girl gift",custom knit blanket,embroidered blankets,newborn blanket,personalized blanket,blanket with name,newborn gift,baby shower gift,baby blanket,custom baby blanket,gender neutral baby,custom name blanket,hospital baby gift,baby girl gift
"Personalized Custom Blanket, Baby Girl Blanket, Name Blanket, Girl Blanket Gift, Baby Blanket, Kids Blanket, Personalized Gift, Custom Gift",https://www.etsy.com/listing/1539519398/personalized-custom-blanket-baby-girl,TheLLCo,https://www.etsy.com/shop/TheLLCo,26.97,927,25001,-23,75640,13764,33 Mo.,24956,417,2006242,Home & Living,70,100,3.77,275704,"under 30,baby blanket,custom blanket,name blanket,girl gift,baby shower gift,baby gift,personalized blanket,rainbow pink name,toddler gift,baby girl blanket,pink blanket,purple blanket",under 30,baby blanket,custom blanket,name blanket,girl gift,baby shower gift,baby gift,personalized blanket,rainbow pink name,toddler gift,baby girl blanket,pink blanket,purple blanket
"Personalized Baby Blanket with Name – Muslin Swaddle, Embroidered Baby Blanket, Custom Baby Blanket, Baby Shower Gift, Baby Name Gift",https://www.etsy.com/listing/1754211648/personalized-baby-blanket-with-name,Mouliss,https://www.etsy.com/shop/Mouliss,53.20,385,20482,89,5174,791,22 Mo.,13750,36,377604,Home & Living,72,100,1.37,15197,"baby name blanket,baby shower gift,custom baby blanket,personalized swaddle,baby name gift,baby keepsake gift,baby name embroidery,baby shower keepsake,blanket with name,monogram blanket,baby announcement,newborn gift,personalized baby",baby name blanket,baby shower gift,custom baby blanket,personalized swaddle,baby name gift,baby keepsake gift,baby name embroidery,baby shower keepsake,blanket with name,monogram blanket,baby announcement,newborn gift,personalized baby
"Custom Baby Blanket with Name, Personalized Name Blanket, Newborn Hospital Blanket, Custom Baby Gift, Baby Name Swaddle",https://www.etsy.com/listing/4402590292/custom-baby-blanket-with-name,LoveSuna,https://www.etsy.com/shop/LoveSuna,15.00,1354,20310,-33,6966,1197,6 Mo.,5127,200,243909,Home & Living,73,100,2.86,349859,"baby swaddle,name swaddle,newborn swaddle,custom baby blanket,baby shower gift,baby boy swaddle,baby girl swaddle,newborn announcement,baby blanket,personalized blanket,nursery blanket,custom name blanket,gift for baby",baby swaddle,name swaddle,newborn swaddle,custom baby blanket,baby shower gift,baby boy swaddle,baby girl swaddle,newborn announcement,baby blanket,personalized blanket,nursery blanket,custom name blanket,gift for baby
"Embroidered Baby Blanket, Soft Cotton Knit Baby Blanket, Custom Baby Name Blanket, Baby Shower Gift, Newborn Blanket, Keepsake Gift for Baby",https://www.etsy.com/listing/1554919480/embroidered-baby-blanket-soft-cotton,BabyShop77,https://www.etsy.com/shop/BabyShop77,22.50,763,17168,9,63134,12216,32 Mo.,56810,382,2204215,Home & Living,56,100,2.86,153158,"baby blanket,baby gift,blanket with name,embroidered blankets,custom baby name,custom blanket,custom blanket baby,newborn gift,baby shower gift,custom name blanket,personalized blanket,baby girl blanket,baby boy blanket",baby blanket,baby gift,blanket with name,embroidered blankets,custom baby name,custom blanket,custom blanket baby,newborn gift,baby shower gift,custom name blanket,personalized blanket,baby girl blanket,baby boy blanket
Personalized Organic Cotton Knit Baby Blanket: Embroidered Name Keepsake,https://www.etsy.com/listing/4310333908/personalized-organic-cotton-knit-baby,LeWeddingArt,https://www.etsy.com/shop/LeWeddingArt,21.87,702,15353,-25,6187,921,12 Mo.,5673,77,256817,Home & Living,35,100,2.41,26456,"custom baby blanket,knit baby blanket,embroidery gift,baby shower gift,stroller blanket,monogrammed gift,baby blanket,cotton baby blanket,receiving blanket,embroidered blanket,nursery blanket,first birthday gift",custom baby blanket,knit baby blanket,embroidery gift,baby shower gift,stroller blanket,monogrammed gift,baby blanket,cotton baby blanket,receiving blanket,embroidered blanket,nursery blanket,first birthday gift,--
Plush minky name blankets and accessories,https://www.etsy.com/listing/1322816113/plush-minky-name-blankets-and-sets-for,SugarHouseSwaddles,https://www.etsy.com/shop/SugarHouseSwaddles,33.00,434,14322,7,18583,3974,43 Mo.,6061,92,580527,Home & Living,105,100,3.2,480786,"personalized minky,custom baby blanket,baby shower gift,newborn announcement,baby name,personalize,monogram,blanket hat set,baby gift set,bow,hat,set,personalized gift",personalized minky,custom baby blanket,baby shower gift,newborn announcement,baby name,personalize,monogram,blanket hat set,baby gift set,bow,hat,set,personalized gift
"Personalized Teddy Bear Woven Blanket, Vintage Sports Bear Nursery Decor, Custom Name Baby Blanket, Classic Nursery Gift",https://www.etsy.com/listing/4455291051/personalized-teddy-bear-woven-blanket,thetoteteeshop,https://www.etsy.com/shop/thetoteteeshop,50.98,153,12618,50,282,28,3 Mo.,1229,9,18651,Home & Living,27,100,1.51,805,"teddy bear blanket,sports teddy bear,woven baby blanket,personalized blanket,baby name blanket,sports nursery,boy nursery decor,vintage teddy bear,custom baby gift,heirloom blanket,patchwork blanket,nursery keepsake,baby shower gift",teddy bear blanket,sports teddy bear,woven baby blanket,personalized blanket,baby name blanket,sports nursery,boy nursery decor,vintage teddy bear,custom baby gift,heirloom blanket,patchwork blanket,nursery keepsake,baby shower gift
"Personalized Handmade Basket, Baby Shower Gift Basket, Baby Gift, Baby Shower Gift, Rope Cotton Gift Basket, Storage Basket, Toy Organizer",https://www.etsy.com/listing/4354748776/personalized-handmade-basket-baby-shower,KindWohl,https://www.etsy.com/shop/KindWohl,42.80,281,12027,100,2879,381,9 Mo.,2090,42,77676,Home & Living,9,0,3.71,3839,"baby girl basket,baby basket,baby shower basket,knit cotton basket,baby monogram basket,baby girl gift,baby boy gift,storage basket,personalizedbabygift,blanket basket,personalized basket,baby gift,newborn gift",baby girl basket,baby basket,baby shower basket,knit cotton basket,baby monogram basket,baby girl gift,baby boy gift,storage basket,personalizedbabygift,blanket basket,personalized basket,baby gift,newborn gift
"Pink Baby Girl Coming Home Outfit, Organic Cotton Knit Baby Clothes, Newborn Hospital Outfit, Custom Wooden Name Sign Gift",https://www.etsy.com/listing/4380918008/pink-baby-girl-coming-home-outfit,MomentsJ,https://www.etsy.com/shop/MomentsJ,219.99,52,11439,-80,349,45,7 Mo.,2275,6,62594,Paper & Party Supplies,8,100,0.56,450,"coming home outfit,home coming baby,going home outfit,personalized newborn,baby gift box,baby shower gift,newborn girl outfit,knit baby clothes,baby name sign disk,knit baby blanket,pink newborn outfit,pink baby blanket,baby girl outfit",coming home outfit,home coming baby,going home outfit,personalized newborn,baby gift box,baby shower gift,newborn girl outfit,knit baby clothes,baby name sign disk,knit baby blanket,pink newborn outfit,pink baby blanket,baby girl outfit
