Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Mini Poncho | THE TRAVELLER | Southwestern Toddler Poncho | Cozy Handmade | Hooded Cape,https://www.etsy.com/listing/1117304515/mini-poncho-the-traveller-southwestern,modestmaverickshop,https://www.etsy.com/shop/modestmaverickshop,65.51,8,524,0,264,33,54 Mo.,811,1,11661,Clothing,93,60,2.26,21411,"baby blanket,baby,stroller blanket,swaddle blanket,aztec baby blanket,geometric,boho,car seat cover,modest maverick,navajo,aztec,poncho,southwest",baby blanket,baby,stroller blanket,swaddle blanket,aztec baby blanket,geometric,boho,car seat cover,modest maverick,navajo,aztec,poncho,southwest
"Mexican Baja Serape Blanket Handmade Car Seat Covers Full Set for Vehicles, Front and Back Seat Covers, Gift for Her/Him",https://www.etsy.com/listing/1476204011/mexican-baja-serape-blanket-handmade-car,EagletAuto,https://www.etsy.com/shop/EagletAuto,99.99,5,500,0,80,18,36 Mo.,491,1,15864,Electronics & Accessories,67,99,0.5,2642,"serape seat covers,hippie seat covers,baja car seat covers,seat cover toyota,car seat protector,road trip seat cover,surf seat cover,mexican seat cover,baja car decor,unique car gifts,boho seat covers,gifts,ethnic seat cover",serape seat covers,hippie seat covers,baja car seat covers,seat cover toyota,car seat protector,road trip seat cover,surf seat cover,mexican seat cover,baja car decor,unique car gifts,boho seat covers,gifts,ethnic seat cover
"Peruvian 6-PC Woven Blanket Handmade Full Set Car Seat Covers for Vehicles, Car Front and Back Seat Covers, Gifts for Her/Him",https://www.etsy.com/listing/1468458461/peruvian-6-pc-woven-blanket-handmade,EagletAuto,https://www.etsy.com/shop/EagletAuto,99.99,5,500,0,236,53,37 Mo.,1618,1,55094,Electronics & Accessories,67,100,0.43,2642,"car seat cover set,tribal seat covers,colorful car decor,hippie car accessory,unique car gifts,boho chic interior,bohemian car decor,aztec seat covers,seat covers toyota,jeep seat covers,travel car decor,andean seat covers,gift for her",car seat cover set,tribal seat covers,colorful car decor,hippie car accessory,unique car gifts,boho chic interior,bohemian car decor,aztec seat covers,seat covers toyota,jeep seat covers,travel car decor,andean seat covers,gift for her
"Floral Car Seat Covers, Black and White Hibiscus flower, faith cross, car lover gift, Christian car seat covers.",https://www.etsy.com/listing/1224557907/faith-floral-car-seat-covers-black-and,RKTopic,https://www.etsy.com/shop/RKTopic,70.00,7,490,100,13,3,49 Mo.,48,0,958,Electronics & Accessories,87,0,1.36,591,"hibiscus seat cover,floral car decor,tropical auto set,hawaii car vibe,california style,florida car decor,spiritual car gift,faith car accessor,black white floral,boho car interior,aesthetic seat cap,durable polyester,new car gift idea",hibiscus seat cover,floral car decor,tropical auto set,hawaii car vibe,california style,florida car decor,spiritual car gift,faith car accessor,black white floral,boho car interior,aesthetic seat cap,durable polyester,new car gift idea
"Pet Seat Cover, Back Car Seat Cover, Seat Covers For Car, Car Seat Covers For Vehicle, Car Accessories Boho, Cute Car Accessories Interior",https://www.etsy.com/listing/1193964607/pet-seat-cover-back-car-seat-cover-seat,RaianasVibes,https://www.etsy.com/shop/RaianasVibes,93.30,5,467,0,14,3,50 Mo.,154,0,2854,Electronics & Accessories,69,25,0.49,9040,"pet seat cover,back car seat cover,seat covers for car,car accessories boho,car seat covers,for vehicle,cute car accessories,interior,pet car seat covers,pet seat protector,car seat cover,retro car seat cover,retro car decor",pet seat cover,back car seat cover,seat covers for car,car accessories boho,car seat covers,for vehicle,cute car accessories,interior,pet car seat covers,pet seat protector,car seat cover,retro car seat cover,retro car decor
Van Gogh Starry Night Inspired Car Seat Covers Full Set Artistic Front And Back Seat Covers For Vehicle Steering Wheel Cover Car Decor Gift,https://www.etsy.com/listing/1521165661/van-gogh-starry-night-inspired-car-seat,ZenandShape,https://www.etsy.com/shop/ZenandShape,36.99,12,444,0,22,4,34 Mo.,144,0,1905,Electronics & Accessories,65,25,1.15,5539,"van gogh seat cover,art car seat cover,artistic car seat,seat covers full set,front car seat cover,back car seat covers,steering wheel cover,seat cover boho,car accessories gift,vincent van gogh car,van gogh lover gift,starry night covers,seat covers vehicle",van gogh seat cover,art car seat cover,artistic car seat,seat covers full set,front car seat cover,back car seat covers,steering wheel cover,seat cover boho,car accessories gift,vincent van gogh car,van gogh lover gift,starry night covers,seat covers vehicle
The Best Cloth Car Seat Covers,https://www.etsy.com/listing/825502388/the-best-cloth-car-seat-covers,SeatSpin,https://www.etsy.com/shop/SeatSpin,49.95,8,400,0,108,28,70 Mo.,216,0,14427,Electronics & Accessories,70,57,0.75,253,"car seat covers,black car seat cover,seat cover for dogs,floral seat cover,car seat protector,cute car seat cover,boho car accessory,camo car seat cover,red car seat cover,purple seat cover,blue car seat cover,leather seat cover,leopard seat cover",car seat covers,black car seat cover,seat cover for dogs,floral seat cover,car seat protector,cute car seat cover,boho car accessory,camo car seat cover,red car seat cover,purple seat cover,blue car seat cover,leather seat cover,leopard seat cover
"Witchy Moon Fern Boho Car Seat Cover For Women, Cottagecore Witchy Green Floral Front Bucket Seat Cover For Car Vehicle, Nature seat cover",https://www.etsy.com/listing/1330878349/witchy-moon-fern-boho-car-seat-cover-for,ArtGuion,https://www.etsy.com/shop/ArtGuion,49.30,8,394,0,468,120,43 Mo.,4971,3,84590,Electronics & Accessories,65,100,0.55,17742,"mushroom seat cover,boho car seat cover,cute car seat cover,new driver gift,witchy seat cover,mystical eyes,cottagecore decor,cottagecore nature,cottagecore cover,front seat cover,car interior decor,floral seat cover,women car decor",mushroom seat cover,boho car seat cover,cute car seat cover,new driver gift,witchy seat cover,mystical eyes,cottagecore decor,cottagecore nature,cottagecore cover,front seat cover,car interior decor,floral seat cover,women car decor
"Boho Mandala Car Seat Covers: Hippie Floral Auto Decor, Set of Two",https://www.etsy.com/listing/1897441275/boho-mandala-car-seat-covers-hippie,LuckiBambi,https://www.etsy.com/shop/LuckiBambi,74.99,5,375,0,4,1,13 Mo.,30,0,1039,Electronics & Accessories,23,33,0.38,1012,"bohemian car covers,mandala seat covers,unique car gifts,car interior design,vibrant car covers,gift for travelers,car accessories gift,festival car decor,groovy hippie auto,cute car seat covers,retro road trip,boho seat covers,mother's day gift",bohemian car covers,mandala seat covers,unique car gifts,car interior design,vibrant car covers,gift for travelers,car accessories gift,festival car decor,groovy hippie auto,cute car seat covers,retro road trip,boho seat covers,mother's day gift
Forest Fairies Car Seat Covers - Black & White Gothic Design,https://www.etsy.com/listing/1522687405/forest-fairies-car-seat-covers-black,FreeRangeTribeCo,https://www.etsy.com/shop/FreeRangeTribeCo,89.00,4,356,0,3,1,34 Mo.,212,0,2385,Electronics & Accessories,71,30,0.13,1276,"boho car accessories,witchy car,witchy car seat,goth car seat,car seat cover set,girl car accessories,car seat cover,boho car seat cover,dark cottagecore,moth seat cover,witch accessories,dark academia,gothic car",boho car accessories,witchy car,witchy car seat,goth car seat,car seat cover set,girl car accessories,car seat cover,boho car seat cover,dark cottagecore,moth seat cover,witch accessories,dark academia,gothic car
