Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Gothic Luminous Black Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399198592/gothic-luminous-black-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,37,1973,100,228,54,6 Mo.,1222,9,22297,Electronics & Accessories,11,100,1.02,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Laser Star Clear Phone Case, Cute 3D Star Anti-Drop Protective Phone Cover, iPhone Accessory For iPhone 17 Pro Max/16/15/14/13 12 7 8 6 mini",https://www.etsy.com/listing/4420696423/laser-star-clear-phone-case-cute-3d-star,LivinglifeshopDesign,https://www.etsy.com/shop/LivinglifeshopDesign,19.71,83,1636,0,120,17,5 Mo.,1495,3,18033,Electronics & Accessories,8,100,0.67,426,"case iphone 16,iphone 17 case,iphone 14 case,resin phone case,clear phone case,iphone 12 mini case,iphone 13 case,iphone 15 case,iphone 14 pro case,iphone 16 pro case,clear iphone case,laserstar phone case,christmas gifts",case iphone 16,iphone 17 case,iphone 14 case,resin phone case,clear phone case,iphone 12 mini case,iphone 13 case,iphone 15 case,iphone 14 pro case,iphone 16 pro case,clear iphone case,laserstar phone case,christmas gifts
Handmade Blood Circulation Mobile Phone Case Scary Aesthetic Blood Flow Halloween Mobile Phone Case Scary Mobile Phone Case For Friends,https://www.etsy.com/listing/4389253097/handmade-blood-circulation-mobile-phone,LiFieldGallery,https://www.etsy.com/shop/LiFieldGallery,101.98,16,1632,100,37,9,5 Mo.,246,2,2895,Electronics & Accessories,10,100,1.28,213,"fashion phone case,cross,rose,apple phone case,3d phone case,christmas gifts,gifts for him,halloween gifts,modern phone cases,decorative gifts,birthday gifts,scare spoof,blood phone case",fashion phone case,cross,rose,apple phone case,3d phone case,christmas gifts,gifts for him,halloween gifts,modern phone cases,decorative gifts,birthday gifts,scare spoof,blood phone case
"Handmade Natural Wood Phone Case Walnut, Ebony, Rosewood, Sandalwood, iPhone 17 Series",https://www.etsy.com/listing/4370088350/handmade-natural-wood-phone-case-walnut,StrapCaseCo,https://www.etsy.com/shop/StrapCaseCo,89.26,16,1428,-100,19,6,6 Mo.,127,1,6150,Electronics & Accessories,7,100,0.31,112,"iphone17 case,walnut phone case,ebony phone cover,rosewood iphone case,red sandalwood case,handmade wood case,rustic gift for him,wooden iphone cover,eco friendly phone,natural wood case,minimal wood case,christmas gift idea,gift for boyfriend",iphone17 case,walnut phone case,ebony phone cover,rosewood iphone case,red sandalwood case,handmade wood case,rustic gift for him,wooden iphone cover,eco friendly phone,natural wood case,minimal wood case,christmas gift idea,gift for boyfriend
"Gothic Luminous Purple Heart Cross Phone Case with Hinge Protection, Custom Galaxy Z Flip Motorola Razr Ultra",https://www.etsy.com/listing/4436476367/gothic-luminous-purple-heart-cross-phone,GothicGrip,https://www.etsy.com/shop/GothicGrip,63.98,21,1344,0,92,22,4 Mo.,785,6,18187,Electronics & Accessories,11,100,0.51,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Gothic Luminous Barbie Pink Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4422881252/gothic-luminous-barbie-pink-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,21,1120,-67,152,36,5 Mo.,921,7,17317,Electronics & Accessories,11,100,0.88,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Gothic Luminous Red Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399204707/gothic-luminous-red-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,17,906,100,173,41,6 Mo.,835,7,14912,Electronics & Accessories,11,100,1.16,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case
"Kindle Dragon Buddy, Sticky Dragon for e-reader or kindle, kindle hipper peeker charm, romantasy reader, bookish gifts, phone peeker charm",https://www.etsy.com/listing/4381688444/kindle-dragon-buddy-sticky-dragon-for-e,KelleandCo,https://www.etsy.com/shop/KelleandCo,22.00,40,880,-100,392,88,7 Mo.,2485,13,26164,Electronics & Accessories,84,100,1.5,12746,"phone hipper,kindle buddy,kindle charm,kindle case,kindle accessories,bookish gifts,christmas gifts,book lover,kindle reading buddy,dragon hipper,peeker charm,phone peeker,kindle hipper",phone hipper,kindle buddy,kindle charm,kindle case,kindle accessories,bookish gifts,christmas gifts,book lover,kindle reading buddy,dragon hipper,peeker charm,phone peeker,kindle hipper
"Soft Leather Phone Case For iPhone 17 Pro 16 15 14 13 12, Personalized Phone Cases with Initial Embossed Monogram Letters, Best friend gift",https://www.etsy.com/listing/1803170155/soft-leather-phone-case-for-iphone-17,shopicicco,https://www.etsy.com/shop/shopicicco,72.90,11,802,-50,91,11,19 Mo.,73,1,3690,Electronics & Accessories,60,54,2.47,7271,"custom iphone case,leather iphone case,iphone case,personalized,leather phone case,iphone 15 pro max,iphone 15 case,iphone 16 pro max,iphone 16 case,christmas gift,iphone cover,monogram phone case,iphone 17 pro",custom iphone case,leather iphone case,iphone case,personalized,leather phone case,iphone 15 pro max,iphone 15 case,iphone 16 pro max,iphone 16 case,christmas gift,iphone cover,monogram phone case,iphone 17 pro
"Gothic Spiky Rivet Phone Case, Punk Y2K Style, Custom Galaxy Z Flip",https://www.etsy.com/listing/4386077207/gothic-rivet-studded-phone-case-punk-y2k,GothicGrip,https://www.etsy.com/shop/GothicGrip,49.77,16,796,0,92,22,7 Mo.,483,3,8224,Electronics & Accessories,11,100,1.12,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,decoden phone case,christmas phone case,junk phone case,custom phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,decoden phone case,christmas phone case,junk phone case,custom phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case
