Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Kawaii Decora Decoden Themed/Character/Cartoon/Anime/KPOP Handmade Custom Phone Case Order (3D Whipped/Resin/Junk Case) for Android/iPhone,https://www.etsy.com/listing/1282816707/kawaii-decora-decoden,cuteststop,https://www.etsy.com/shop/cuteststop,50.00,47,2350,0,1216,665,45 Mo.,5521,15,175842,Electronics & Accessories,46,100,0.69,1670,"handmade phone cases,decoden,custom personalized,fairykei gamer cute,kawaii aesthetic,resin phone cover,kpop fanfiction cool,video game comic,tiktok unique gift,samsung android,iphone motorola,gamer kpop anime,resin glittery",handmade phone cases,decoden,custom personalized,fairykei gamer cute,kawaii aesthetic,resin phone cover,kpop fanfiction cool,video game comic,tiktok unique gift,samsung android,iphone motorola,gamer kpop anime,resin glittery
Handmade Bedazzled Y2K Custom Junk Phone Case: Hello Kitty Decoden Bling,https://www.etsy.com/listing/4393004091/personalised-custom-junk-case-bedazzled,SHOPANGELBYTEZ,https://www.etsy.com/shop/SHOPANGELBYTEZ,71.78,32,2297,0,147,48,7 Mo.,1032,7,25980,Electronics & Accessories,27,100,0.57,659,"junk case,phone case,charms,y2k,junk accessories,bling,iphone accessories,kawaii phone case,hello kitty phone,cute phone case,pink hello kitty,hello kitty case,charm phone case",junk case,phone case,charms,y2k,junk accessories,bling,iphone accessories,kawaii phone case,hello kitty phone,cute phone case,pink hello kitty,hello kitty case,charm phone case
"Gothic Luminous Black Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399198592/gothic-luminous-black-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,37,1973,100,228,54,6 Mo.,1222,9,22297,Electronics & Accessories,11,100,1.02,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
Custom Decoden Phone Case - Customized Handmade Decoden Case for iPhone & Samsung - Personalized Whipped Cream Phone Case,https://www.etsy.com/listing/1551453534/custom-decoden-phone-case-customized,PuffyMagic,https://www.etsy.com/shop/PuffyMagic,44.99,39,1755,100,1091,516,32 Mo.,5030,16,151106,Electronics & Accessories,44,100,0.72,1660,"cute iphone case,decoden phone case,iphone 14 case,iphone 13 case,custom phone case,iphone 15 case,samsung case,custom decoden case,cream glue case,gift for her,decoden iphone case,personalized decoden,customized iphone",cute iphone case,decoden phone case,iphone 14 case,iphone 13 case,custom phone case,iphone 15 case,samsung case,custom decoden case,cream glue case,gift for her,decoden iphone case,personalized decoden,customized iphone
Custom Decoden Phone Case (BenitosDesigns),https://www.etsy.com/listing/4448459992/work-in-progress-dont-buy-yet-decoden,BenitosDesigns2,https://www.etsy.com/shop/BenitosDesigns2,36.00,48,1728,0,93,40,4 Mo.,341,10,9260,Electronics & Accessories,4,100,1.0,119,"decoden,phonecase,custom,deco,fake cream,frosting,cute,decora,fake whip,whip,case",decoden,phonecase,custom,deco,fake cream,frosting,cute,decora,fake whip,whip,case,--,--
Celestial | Custom Handmade Mosaic Shell Phone Case for iPhone and Android,https://www.etsy.com/listing/1854120891/celestial-custom-handmade-mosaic-shell,StudioElevyn,https://www.etsy.com/shop/StudioElevyn,75.00,19,1425,-100,171,46,16 Mo.,1423,3,37154,Electronics & Accessories,19,100,0.46,725,"decoden,iphone case,android case,charm,seashells,crystals,beige,gold,moon,phone case,unique gifts,studio elevyn,memor inspired",decoden,iphone case,android case,charm,seashells,crystals,beige,gold,moon,phone case,unique gifts,studio elevyn,memor inspired
"Gothic Luminous Purple Heart Cross Phone Case with Hinge Protection, Custom Galaxy Z Flip Motorola Razr Ultra",https://www.etsy.com/listing/4436476367/gothic-luminous-purple-heart-cross-phone,GothicGrip,https://www.etsy.com/shop/GothicGrip,63.98,21,1344,0,92,22,4 Mo.,785,6,18187,Electronics & Accessories,11,100,0.51,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Gothic Luminous Barbie Pink Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4422881252/gothic-luminous-barbie-pink-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,21,1120,-67,152,36,5 Mo.,921,7,17317,Electronics & Accessories,11,100,0.88,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Horror Glowing Cat Eyeballs Hinge Protector Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4392280162/horror-glowing-eyeballs-phone-case-human,LuminousOculus,https://www.etsy.com/shop/LuminousOculus,57.12,16,914,-100,83,24,7 Mo.,529,3,9521,Electronics & Accessories,10,100,0.87,316,"horror phone case,freaking phone case,creepy phone case,decoden phone case,halloween gifts,glowing phone case,gothic phone case,christian phone case,junk phone case,moto razr plus,moto razr ultra,moto flip case,galaxy z flip case",horror phone case,freaking phone case,creepy phone case,decoden phone case,halloween gifts,glowing phone case,gothic phone case,christian phone case,junk phone case,moto razr plus,moto razr ultra,moto flip case,galaxy z flip case
"Gothic Luminous Red Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399204707/gothic-luminous-red-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,17,906,100,173,41,6 Mo.,835,7,14912,Electronics & Accessories,11,100,1.16,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case
