Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Gothic Phone Case, 3D Demon Eye with Pentagram Design, Dark Punk Art Cover for iPhone & Samsung, Dark goth gifts",https://www.etsy.com/listing/1767141551/gothic-phone-case-3d-demon-eye-with,DarkPupilCraft,https://www.etsy.com/shop/DarkPupilCraft,59.99,41,2460,-50,184,43,22 Mo.,1290,2,27439,Electronics & Accessories,23,100,0.67,3987,"gothic phone case,samsung s24 case,s25 ultra case,skull phone case,y2k phone case,dark gothic case,iphone gothic case,punk phone case,heavy metal case,dark romance case,iphone case niche,dark punk case,gothic gifts",gothic phone case,samsung s24 case,s25 ultra case,skull phone case,y2k phone case,dark gothic case,iphone gothic case,punk phone case,heavy metal case,dark romance case,iphone case niche,dark punk case,gothic gifts
"Glowing Cat Eye Phone Case, Handmade 3D Gothic Horror Case for iPhone Samsung Pixel, Glow in Dark Case",https://www.etsy.com/listing/1865488332/glowing-cat-eye-phone-case-handmade-3d,DarkPupilCraft,https://www.etsy.com/shop/DarkPupilCraft,41.00,54,2214,0,214,50,15 Mo.,1778,3,26646,Electronics & Accessories,23,100,0.8,3987,"eyeball phone case,iphone 15 goth,iphone 13 horror,iphone gothic case,s24 case goth,glowing eye case,s25 ultra case,glowing phone case,punk iphone case,3d iphone case,gothic iphone case,horror iphone case,creepy cute case",eyeball phone case,iphone 15 goth,iphone 13 horror,iphone gothic case,s24 case goth,glowing eye case,s25 ultra case,glowing phone case,punk iphone case,3d iphone case,gothic iphone case,horror iphone case,creepy cute case
"Gothic Cross iPhone Case For iPhone 11 12 13 14 15 16 17 Pro,Promax,Leather Embossed iPhone 17 Air Case,Valentine’s Day Gift,Couple Cases",https://www.etsy.com/listing/4437333913/gothic-cross-iphone-case-for-iphone-11,RUNECASE,https://www.etsy.com/shop/RUNECASE,42.66,40,1706,33,25,3,4 Mo.,220,1,4672,Electronics & Accessories,5,100,0.54,93,"gothic phone case,couple phone cases,valentine gift case,dark aesthetic case,cross phone case,black leather case,goth couple gift,medieval phone case,luxury phone case,embossed phone case,witchcore case,his and hers case,alternative case",gothic phone case,couple phone cases,valentine gift case,dark aesthetic case,cross phone case,black leather case,goth couple gift,medieval phone case,luxury phone case,embossed phone case,witchcore case,his and hers case,alternative case
Gothic Horror Phone Case • Scary Slasher Style • Spooky Dark Aesthetic • Unique Handmade Cover. Iphone. Samsung. Google. Motorola.,https://www.etsy.com/listing/1794128590/gothic-horror-phone-case-scary-slasher,EclecticArtByDebbie,https://www.etsy.com/shop/EclecticArtByDebbie,46.87,33,1547,0,512,195,19 Mo.,1664,10,37351,Electronics & Accessories,80,100,1.37,1831,"spooky phone case,goth aesthetic,witchy dark,creepy cute,horror themed,snakes and spiders,horror fan gift,gothic horror,slasher style,skull art,skeleton design,creepy vibes,scary gift",spooky phone case,goth aesthetic,witchy dark,creepy cute,horror themed,snakes and spiders,horror fan gift,gothic horror,slasher style,skull art,skeleton design,creepy vibes,scary gift
"Vintage Skeletons in Bloom Phone Case, Galaxy S26 S25 S24 S23 S22 S21 S21 Ultra Plus, Wildflower Floral Embroidered Phone Covers",https://www.etsy.com/listing/4296174516/vintage-skeletons-in-bloom-phone-case,PrintedOliveCo,https://www.etsy.com/shop/PrintedOliveCo,22.00,67,1474,-50,249,44,13 Mo.,447,3,11132,Electronics & Accessories,15,100,2.24,7744,"phone case,day of the dead,cute skeletons,cottagecore,halloween,skull,phone cover,academia,goth,embroidery,3d,ebroidered,spooky",phone case,day of the dead,cute skeletons,cottagecore,halloween,skull,phone cover,academia,goth,embroidery,3d,ebroidered,spooky
"Horror Glowing Eyeball Phone Case, Glow in Dark Design, 3D Horror Art for iPhone & Samsung, Alternative gifts",https://www.etsy.com/listing/1886999633/horror-glowing-eyeball-phone-case-glow,DarkPupilCraft,https://www.etsy.com/shop/DarkPupilCraft,45.00,12,540,0,94,22,14 Mo.,582,2,11194,Electronics & Accessories,23,100,0.84,3987,"s24 ultra case,eyeball phone case,devil eye phone case,freaking iphone case,phone case eyes,s25 ultra case,3d cell phone case,designer iphone case,pink goth phone case,glowing phone case,iphone junk cases,cthulhu iphone case,gothic iphone case",s24 ultra case,eyeball phone case,devil eye phone case,freaking iphone case,phone case eyes,s25 ultra case,3d cell phone case,designer iphone case,pink goth phone case,glowing phone case,iphone junk cases,cthulhu iphone case,gothic iphone case
"Black Butterfly Patterned iPhone Case For iPhone 17 Pro Max, iPhone 16, iPhone 15, iPhone 14 13 12 11 Gothic Dark Protective Phone Cover",https://www.etsy.com/listing/4465093163/black-butterfly-patterned-iphone-case,coverclubco,https://www.etsy.com/shop/coverclubco,24.11,22,530,-100,26,2,2 Mo.,105,1,1299,Electronics & Accessories,7,100,2.0,251,"iphone 17 case,iphone 15 case,phone cover magsafe,iphone 14 case,pro max plus mini uk,iphone 12 case,iphone 11 case goth,shockproof dark art,butterfly pattern,iphone case,iphone 13 case black,iphone 16 case,goth style aesthetic",iphone 17 case,iphone 15 case,phone cover magsafe,iphone 14 case,pro max plus mini uk,iphone 12 case,iphone 11 case goth,shockproof dark art,butterfly pattern,iphone case,iphone 13 case black,iphone 16 case,goth style aesthetic
Kewpie Baby Bat Phone Grip: Spooky Halloween Style,https://www.etsy.com/listing/4324906508/kewpie-baby-bat-phone-grip-spooky,FandomDripShop,https://www.etsy.com/shop/FandomDripShop,22.99,23,529,-100,412,112,11 Mo.,4154,10,31292,Electronics & Accessories,37,100,1.32,7419,"halloween,spooky,kindle grip,phone grip,phone stands,horror babies,halloween kindle,halloween phone case,bats,bat gifts,spooky bat,halloween bat,goth gifts",halloween,spooky,kindle grip,phone grip,phone stands,horror babies,halloween kindle,halloween phone case,bats,bat gifts,spooky bat,halloween bat,goth gifts
"Horror Phone Case with Blood Veins & Glowing Eyeballs, Biomechanical Art for iPhone Samsung, Alternative Goth Gift, Glow in the dark",https://www.etsy.com/listing/4312968962/horror-phone-case-with-blood-veins,DarkPupilCraft,https://www.etsy.com/shop/DarkPupilCraft,129.99,4,520,0,12,3,12 Mo.,95,0,1124,Electronics & Accessories,23,36,1.07,3987,"s25 ultra case,s24 ultra case,striking phone case,biomechanical gift,biomechanical case,eyeball phone case,creepy iphone case,freaking iphone case,iphone horror case,devil eye phone case,horror phone case,3d eye phone case,3d resin phone case",s25 ultra case,s24 ultra case,striking phone case,biomechanical gift,biomechanical case,eyeball phone case,creepy iphone case,freaking iphone case,iphone horror case,devil eye phone case,horror phone case,3d eye phone case,3d resin phone case
"Goth Phone Case Death Skull Gothic Emo Cover for Google Pixel 10, 10Pro, 9Pro, 8A, 7A, 6, Samsung S25, S24, S23, A25, A16, A55, iPhone 17Air",https://www.etsy.com/listing/1681006841/goth-phone-case-death-skull-gothic-emo,CentralCover,https://www.etsy.com/shop/CentralCover,26.30,18,473,0,375,68,27 Mo.,822,3,22179,Electronics & Accessories,35,100,1.69,6137,"pixel 6 phone case,pixel 7 pro case,pixel 8 pro case,goth phone case,death skull case,gothic emo cover,pixel 8 case,pixel 9 pro case,iphone 16 pro case,pixel 8a case,pixel 10 case,pixel 10 pro xl case,iphone 17 pro case",pixel 6 phone case,pixel 7 pro case,pixel 8 pro case,goth phone case,death skull case,gothic emo cover,pixel 8 case,pixel 9 pro case,iphone 16 pro case,pixel 8a case,pixel 10 case,pixel 10 pro xl case,iphone 17 pro case
