Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Comfort Colors®Gulf of Mexico Stay Salty and Resist Shirt, Gulf Coast Tshirt, Mexico Beach Shirt, American Gulf of Mexico Tee",https://www.etsy.com/listing/1884613683/comfort-colorsgulf-of-mexico-stay-salty,plentybyEVA,https://www.etsy.com/shop/plentybyEVA,39.98,25,1000,0,910,175,14 Mo.,268,13,18466,Clothing,21,100,4.93,1940,"gulf of mexico shirt,comfort colors shirt,stay salty t-shirt,resist tshirt,stay resist shirt,gulf coast tshirt,mexico beach shirt,american gulf mexico,gulf of mexico tee,golfo de méxico 1550,turtle mexico tshirt,turtle mexico tee,gulf of mexico",gulf of mexico shirt,comfort colors shirt,stay salty t-shirt,resist tshirt,stay resist shirt,gulf coast tshirt,mexico beach shirt,american gulf mexico,gulf of mexico tee,golfo de méxico 1550,turtle mexico tshirt,turtle mexico tee,gulf of mexico
"Gulf of Mexico Stay Salty Resistance Shirt, Resist Shirt, Anti Trump Shirt, Democrat Shirt, Democrat Gift Shirt",https://www.etsy.com/listing/1873911028/gulf-of-mexico-stay-salty-resistance,TrendyGiftShopUS,https://www.etsy.com/shop/TrendyGiftShopUS,17.98,39,701,200,6427,1438,14 Mo.,5685,103,218264,Clothing,50,100,2.94,82441,"anti trump,democrat tee,resist shirt,democrat gift,political,fdt shirt,resistance tshirt,stay salty,conversation starter,social justice,democrat resist,anti trump shirt,gulf of mexico",anti trump,democrat tee,resist shirt,democrat gift,political,fdt shirt,resistance tshirt,stay salty,conversation starter,social justice,democrat resist,anti trump shirt,gulf of mexico
"Gulf of Mexico Stay Salty Resistance Vneck Shirt, Resist Vneck Shirt, Anti Trump Vneck  Shirt, Democrat Vneck Shirt, Democrat Gift Tshirt",https://www.etsy.com/listing/4316231946/gulf-of-mexico-stay-salty-resistance,CyberARTBlocks,https://www.etsy.com/shop/CyberARTBlocks,14.00,45,630,100,395,62,11 Mo.,225,6,7454,Clothing,47,100,5.3,23639,"anti trump vneck tee,democrat vneck tee,resist vneck shirt,democrat gift,political,fdt vneck shirt,resistance vneck tee,stay salty vneck,conversation starter,social justice,democrat resist,anti trump shirt,gulf of mexico",anti trump vneck tee,democrat vneck tee,resist vneck shirt,democrat gift,political,fdt vneck shirt,resistance vneck tee,stay salty vneck,conversation starter,social justice,democrat resist,anti trump shirt,gulf of mexico
"Retro Sunset Gulf Of Mexico Since 1550 Tshirt, Mexico Beach Shirt, Gulf Of Mexico Shirt, Protest Tee, Political Tee, Anti Shirt- TC007",https://www.etsy.com/listing/1879757307/retro-sunset-gulf-of-mexico-since-1550,FashionTalesCo,https://www.etsy.com/shop/FashionTalesCo,15.98,38,607,-100,3130,597,16 Mo.,3539,37,95273,Clothing,43,100,3.29,11494,"florida beach gift,mexico beach trip,texas beach gift,gulf of mexico gift,mexico beach gift,gulf of mexico shirt,mexico beachful,gulf of mexico lover,travel shirt,history shirt,protest shirt,mexico beach shirt",florida beach gift,mexico beach trip,texas beach gift,gulf of mexico gift,mexico beach gift,gulf of mexico shirt,mexico beachful,gulf of mexico lover,travel shirt,history shirt,protest shirt,mexico beach shirt,--
GULF OF MEXICO Unisex t-shirt,https://www.etsy.com/listing/4362287794/gulf-of-mexico-unisex-t-shirt,Aura7Studio,https://www.etsy.com/shop/Aura7Studio,29.99,13,390,0,2,1,8 Mo.,25,0,685,Clothing,8,33,0.29,13,"gulf of mexico,gom",gulf of mexico,gom,--,--,--,--,--,--,--,--,--,--,--
"Gulf Of Mexico Shirt, Retro Sunset Gulf Of Mexico Shirt, Mexico Beach Shirt, Anti Gulf Of America Shirt, Political Shirts, Anti Maga Shirts",https://www.etsy.com/listing/1888700338/gulf-of-mexico-shirt-retro-sunset-gulf,CustomTeeBoutiqueArt,https://www.etsy.com/shop/CustomTeeBoutiqueArt,16.00,24,384,100,1179,245,13 Mo.,403,19,22634,Clothing,32,100,5.21,5627,"gulf of mexico shirt,gulf coast shirt,gulf of mexico,golfo de mexico,mexico beach shirt,resistance shirt,resist shirt,anti trump shirt,democrat shirt,protest shirt,gulf of mexico gifts,anti maga shirt,political shirts",gulf of mexico shirt,gulf coast shirt,gulf of mexico,golfo de mexico,mexico beach shirt,resistance shirt,resist shirt,anti trump shirt,democrat shirt,protest shirt,gulf of mexico gifts,anti maga shirt,political shirts
"Gulf of Mexico Crow Comfort Colors® Shirt, Anti Trump Tee, Political Shirt, Golfo De Mexico Shirt, Gulf Coast Shirt, FDT Anti Maga Shirt",https://www.etsy.com/listing/4340125710/gulf-of-mexico-crow-comfort-colors-shirt,FaburaWear,https://www.etsy.com/shop/FaburaWear,31.80,12,382,0,118,19,10 Mo.,214,2,4649,Clothing,13,100,2.54,3890,"gulf of mexico shirt,golfo de mexico,gulf of mexico crow,gulf coast shirt,mexican beach shirt,fuck donald trump,anti trump shirt,political shirt,mexico beach shirt,fuck trump shirt,comfort colors shirt,anti maga shirt,resist shirt",gulf of mexico shirt,golfo de mexico,gulf of mexico crow,gulf coast shirt,mexican beach shirt,fuck donald trump,anti trump shirt,political shirt,mexico beach shirt,fuck trump shirt,comfort colors shirt,anti maga shirt,resist shirt
"Gulf Of Mexico Shirt, Anti Trump Shirt, Fuck Trump, Resist, Feminist Gifts, Anti Elon Musk, Feminist Shirt, Anti Fascist, Anti Maga, Salty",https://www.etsy.com/listing/1881073815/gulf-of-mexico-shirt-anti-trump-shirt,EverChangingJewelry,https://www.etsy.com/shop/EverChangingJewelry,39.98,9,360,0,8,2,15 Mo.,6,0,84,Clothing,147,0,9.52,63913,"gulf of mexico,anti trump,fuck trump,stay salty,feminist shirt,feminist gifts,gulf of america,feminism,anti maga,anti fascist,pro choice,resist,anti elon musk",gulf of mexico,anti trump,fuck trump,stay salty,feminist shirt,feminist gifts,gulf of america,feminism,anti maga,anti fascist,pro choice,resist,anti elon musk
"Comfort Colors® Gulf of Mexico Shirt, Stay Salty and Resist Shirt, Resist Shirt, Gulf of Mexico, Gulf of Mexico Shirt, Political Shirt, Gift",https://www.etsy.com/listing/1891372176/comfort-colors-gulf-of-mexico-shirt-stay,ApparellaUS,https://www.etsy.com/shop/ApparellaUS,24.98,14,350,0,231,32,13 Mo.,308,2,8427,Clothing,19,100,2.74,14839,"anti trump,anti trump shirt,comfort colors,comfort colors shirt,florida shirt,gulf of mexico,gulf of mexico shirt,gulf of mexico tee,political shirt,protest shirt,resist shirt,stay salty,travel shirt",anti trump,anti trump shirt,comfort colors,comfort colors shirt,florida shirt,gulf of mexico,gulf of mexico shirt,gulf of mexico tee,political shirt,protest shirt,resist shirt,stay salty,travel shirt
"Gulf of Mexico Political Tee: Stay Salty and Resist Shirt, Comfort Colors Graphic Tee",https://www.etsy.com/listing/4396989393/gulf-of-mexico-political-tee-stay-salty,KindlyOutspoken,https://www.etsy.com/shop/KindlyOutspoken,39.99,8,320,-100,29,8,6 Mo.,50,1,557,Clothing,7,36,5.21,1568,"gulf of mexico shirt,stay salty shirt,resist shirt women,comfort colors tee,liberal gift tee,anti trump shirt,funny protest shirt,gulf coast shirt,activist shirt,progressive women,feminist political,political graphic,resist long sleeve",gulf of mexico shirt,stay salty shirt,resist shirt women,comfort colors tee,liberal gift tee,anti trump shirt,funny protest shirt,gulf coast shirt,activist shirt,progressive women,feminist political,political graphic,resist long sleeve
