Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Custom Tank Top - Personalized BELLA+CANVAS Women&#39;s Racerback, Custom Cropped Tank, Unique Birthday Gift for Her, 6682",https://www.etsy.com/listing/1859156616/custom-tank-top-personalized-bellacanvas,MayCustomStudio,https://www.etsy.com/shop/MayCustomStudio,19.99,90,1799,0,633,125,15 Mo.,753,8,23174,Clothing,78,100,2.73,22644,"custom tank top,women racerback,personalized tank,fitness tank,custom text tank,custom cropped tank,personalized shirt,unique tank top,custom workout tank,custom gym wear,custom print tank,ladies workout top,custom apparel gift",custom tank top,women racerback,personalized tank,fitness tank,custom text tank,custom cropped tank,personalized shirt,unique tank top,custom workout tank,custom gym wear,custom print tank,ladies workout top,custom apparel gift
"SIBERIAN SLICE || Hooded Bolero with Face Mask, Thumb Holes & Zip Collar | Warm Crop Hoody",https://www.etsy.com/listing/4306462598/siberian-slice-hooded-bolero-with-face,CatanaClothing,https://www.etsy.com/shop/CatanaClothing,160.92,8,1287,0,9,4,12 Mo.,834,0,8272,Clothing,60,100,0.11,298,"designer bolero,burning man clothing,festival bolero,fire safe clothing,wave gotic treffen,mera luna,flow artist hoodie,face mask jacket,larp crop top,hooded shrug,hooded crop top,warm stretch hoody,crop gym hoody",designer bolero,burning man clothing,festival bolero,fire safe clothing,wave gotic treffen,mera luna,flow artist hoodie,face mask jacket,larp crop top,hooded shrug,hooded crop top,warm stretch hoody,crop gym hoody
GOLDS GYM T-SHIRT | Gold&#39;s Gym SoCal Shirt | Gay Romance Merch |  Crop Top | Vintage 70&#39;s Connor Gym Shirt,https://www.etsy.com/listing/4479077180/golds-gym-t-shirt-golds-gym-socal-shirt,BetxeenChapters,https://www.etsy.com/shop/BetxeenChapters,29.28,16,468,0,12,2,2 Mo.,91,1,1488,Clothing,4,100,0.81,162,"heated rivalry,ilya rozanov,hollander,heated rivalry gift,heated rivalry present,rozanov gift,ice hockey romance,golds gym,golds gym socal,golds gym shirt,crop top",heated rivalry,ilya rozanov,hollander,heated rivalry gift,heated rivalry present,rozanov gift,ice hockey romance,golds gym,golds gym socal,golds gym shirt,crop top,--,--
Hand Printed Fern Tank Top: Cropped Festival Workout Top,https://www.etsy.com/listing/1386572074/hand-printed-fern-tank-top-cropped,nicandthenewfie,https://www.etsy.com/shop/nicandthenewfie,28.00,16,448,100,531,139,40 Mo.,4368,3,53388,Clothing,184,100,0.99,78885,"gym tank,yoga tank,summer tank,tomboy tee,workout tank,running tank,fitness gift,yoga gift,boho top,cropped tank,fern tank,girlfriend gift,gift for mom",gym tank,yoga tank,summer tank,tomboy tee,workout tank,running tank,fitness gift,yoga gift,boho top,cropped tank,fern tank,girlfriend gift,gift for mom
"100% Linen Top, open back yoga pilates gym top, linen crop top sleepwear, pajama lounge wear casual linen top, basic summer beach linen top",https://www.etsy.com/listing/1684904052/100-linen-top-open-back-yoga-pilates-gym,BayBayLINEN,https://www.etsy.com/shop/BayBayLINEN,72.97,6,438,0,6,1,26 Mo.,113,0,1486,Clothing,136,25,0.4,828,"linen crop top,open back linen top,sleeveless top,rounded neck top,casual top,yoga top,linen yoga outfit,basic linen top,home wear linen,street wear linen,middle age linen top,elderly linen top",linen crop top,open back linen top,sleeveless top,rounded neck top,casual top,yoga top,linen yoga outfit,basic linen top,home wear linen,street wear linen,middle age linen top,elderly linen top,--
"Custom women Racerback Crop Tank Top, Bella Canvas Cotton Blend crop racerback shirt, CUSTOM women Racerback crop tank",https://www.etsy.com/listing/4322793923/custom-women-racerback-crop-tank-top,LilysCustomCorner,https://www.etsy.com/shop/LilysCustomCorner,21.99,19,418,0,31,5,11 Mo.,22,0,777,Clothing,31,30,3.99,7656,"women racerback crop,custom racerback cro,personalized racerba,custom racerback,crop racerback tee,crop racerback top,crop racerback tank,athletic crop top,gym crop top workout,casual crop top,trendy crop top,sporty racerback top,fashion crop top",women racerback crop,custom racerback cro,personalized racerba,custom racerback,crop racerback tee,crop racerback top,crop racerback tank,athletic crop top,gym crop top workout,casual crop top,trendy crop top,sporty racerback top,fashion crop top
"Custom Goal Setting Puff Print Cropped Sweatshirt, Wrist Sleeve & Front Text, Personalized Women’s Crop Pullover, Boutique Studio Merch",https://www.etsy.com/listing/4438595325/custom-goal-setting-puff-print-cropped,NobullWomanApparel,https://www.etsy.com/shop/NobullWomanApparel,49.95,8,400,0,15,2,4 Mo.,13,1,144,Clothing,156,0,10.42,87090,"custom sweatshirt,motivational shirt,goal setting gift,custom sleeve print,cropped sweatshirt,inspirational gift,fitness sweatshirt,personalized top,gym motivation,pilates sweatshirt,custom puff print,yoga studio merch,self growth gift",custom sweatshirt,motivational shirt,goal setting gift,custom sleeve print,cropped sweatshirt,inspirational gift,fitness sweatshirt,personalized top,gym motivation,pilates sweatshirt,custom puff print,yoga studio merch,self growth gift
GOLDS GYM T-SHIRT | Gay Romance | Gold&#39;s Gym SoCal Shirt | Oversized Cotton Shirt | Oversize Shirt | Vintage 70&#39;s Connor Gym Shirt,https://www.etsy.com/listing/4478583587/golds-gym-t-shirt-ilya-rozanov-golds-gym,BetxeenChapters,https://www.etsy.com/shop/BetxeenChapters,46.85,8,375,0,7,1,2 Mo.,29,1,422,Clothing,4,57,1.66,162,"ilya rozanov,golds gym socal,oversize tshirt,heated rivalry gift,heated rivalry geschenk,crop top golds gym,shane hollander,hollanov,rozanov,connor storrie,connor shirt,heated rivalry merch,rozanov gift",ilya rozanov,golds gym socal,oversize tshirt,heated rivalry gift,heated rivalry geschenk,crop top golds gym,shane hollander,hollanov,rozanov,connor storrie,connor shirt,heated rivalry merch,rozanov gift
"I Can&#39;t I Have Pilates Crop Top - Relaxed Fit, Soft Cotton",https://www.etsy.com/listing/1538010384/i-cant-i-have-pilates-crop-top-relaxed,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,11,319,200,11,2,33 Mo.,63,0,1351,Clothing,124,0,0.81,28120,"pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,i can't,i have pilates",pilates tank top,pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,i can't,i have pilates
"Feet in Straps Enthusiast - Women&#39;s Workout, Pilates Crop Tee",https://www.etsy.com/listing/1323576375/feet-in-straps-enthusiast-womens-workout,GymWeekendApparel,https://www.etsy.com/shop/GymWeekendApparel,29.00,11,319,200,11,2,43 Mo.,33,0,306,Clothing,124,0,3.59,28120,"pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,feet in straps,enthusiast tee,pilates crop tee",pilates crop top,pilates shirt women,pilates teacher gift,funny pilates shirt,cute pilates shirt,pilates gift for her,gym weekend apparel,pilates reformer,pilates workout,pilates instructor,feet in straps,enthusiast tee,pilates crop tee
