Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Gothic Luminous Black Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399198592/gothic-luminous-black-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,37,1973,100,228,54,6 Mo.,1222,9,22297,Electronics & Accessories,11,100,1.02,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
Handmade Blood Circulation Mobile Phone Case Scary Aesthetic Blood Flow Halloween Mobile Phone Case Scary Mobile Phone Case For Friends,https://www.etsy.com/listing/4389253097/handmade-blood-circulation-mobile-phone,LiFieldGallery,https://www.etsy.com/shop/LiFieldGallery,101.98,16,1632,100,37,9,5 Mo.,246,2,2895,Electronics & Accessories,10,100,1.28,213,"fashion phone case,cross,rose,apple phone case,3d phone case,christmas gifts,gifts for him,halloween gifts,modern phone cases,decorative gifts,birthday gifts,scare spoof,blood phone case",fashion phone case,cross,rose,apple phone case,3d phone case,christmas gifts,gifts for him,halloween gifts,modern phone cases,decorative gifts,birthday gifts,scare spoof,blood phone case
"Vintage Skeletons in Bloom Phone Case, Galaxy S26 S25 S24 S23 S22 S21 S21 Ultra Plus, Wildflower Floral Embroidered Phone Covers",https://www.etsy.com/listing/4296174516/vintage-skeletons-in-bloom-phone-case,PrintedOliveCo,https://www.etsy.com/shop/PrintedOliveCo,22.00,67,1474,-50,249,44,13 Mo.,447,3,11132,Electronics & Accessories,15,100,2.24,7744,"phone case,day of the dead,cute skeletons,cottagecore,halloween,skull,phone cover,academia,goth,embroidery,3d,ebroidered,spooky",phone case,day of the dead,cute skeletons,cottagecore,halloween,skull,phone cover,academia,goth,embroidery,3d,ebroidered,spooky
"Gothic Luminous Purple Heart Cross Phone Case with Hinge Protection, Custom Galaxy Z Flip Motorola Razr Ultra",https://www.etsy.com/listing/4436476367/gothic-luminous-purple-heart-cross-phone,GothicGrip,https://www.etsy.com/shop/GothicGrip,63.98,21,1344,0,92,22,4 Mo.,785,6,18187,Electronics & Accessories,11,100,0.51,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Gothic Luminous Barbie Pink Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4422881252/gothic-luminous-barbie-pink-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,21,1120,-67,152,36,5 Mo.,921,7,17317,Electronics & Accessories,11,100,0.88,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Horror Glowing Cat Eyeballs Hinge Protector Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4392280162/horror-glowing-eyeballs-phone-case-human,LuminousOculus,https://www.etsy.com/shop/LuminousOculus,57.12,16,914,-100,83,24,7 Mo.,529,3,9521,Electronics & Accessories,10,100,0.87,316,"horror phone case,freaking phone case,creepy phone case,decoden phone case,halloween gifts,glowing phone case,gothic phone case,christian phone case,junk phone case,moto razr plus,moto razr ultra,moto flip case,galaxy z flip case",horror phone case,freaking phone case,creepy phone case,decoden phone case,halloween gifts,glowing phone case,gothic phone case,christian phone case,junk phone case,moto razr plus,moto razr ultra,moto flip case,galaxy z flip case
"Gothic Luminous Red Heart Cross Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4399204707/gothic-luminous-red-heart-cross-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,53.32,17,906,100,173,41,6 Mo.,835,7,14912,Electronics & Accessories,11,100,1.16,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case
"Gothic Spiky Rivet Phone Case, Punk Y2K Style, Custom Galaxy Z Flip",https://www.etsy.com/listing/4386077207/gothic-rivet-studded-phone-case-punk-y2k,GothicGrip,https://www.etsy.com/shop/GothicGrip,49.77,16,796,0,92,22,7 Mo.,483,3,8224,Electronics & Accessories,11,100,1.12,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,decoden phone case,christmas phone case,junk phone case,custom phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,decoden phone case,christmas phone case,junk phone case,custom phone case,christian phone case,y2k phone case,z fold 7 case,z flip 7 case
"Gothic Pink Glowing Cat Eyeballs Hinge Protection Phone Case, Custom Galaxy Z Flip Motorola Razr Ultra Plus",https://www.etsy.com/listing/4427363588/gothic-pink-glowing-cat-eyeballs-hinge,GothicGrip,https://www.etsy.com/shop/GothicGrip,71.09,11,782,0,59,14,5 Mo.,203,3,3599,Electronics & Accessories,11,100,1.64,1538,"gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect",gothic phone case,horror phone case,punk phone case,aesthetic phone case,halloween gifts,cross phone case,christmas phone case,junk phone case,decoden phone case,christian phone case,y2k phone case,z flip 7 case,flip7 hinge protect
"Handmade Horror Phone Case with Bloody Glass Eyeballs, 3D Creepy Eye Art for iPhone Samsung Google Pixel, Halloween Gift",https://www.etsy.com/listing/1872698045/handmade-horror-phone-case-with-bloody,DarkPupilCraft,https://www.etsy.com/shop/DarkPupilCraft,64.99,12,780,-50,55,13,15 Mo.,311,1,6709,Electronics & Accessories,23,99,0.82,3987,"demon eye phone case,ghostface phone case,decoden phone case,halloween gift,s24 ultra case,junk iphone case,devil eye phone case,gothic iphone case,scary iphone case,eyeball phone case,iphone horror case,alternative gift,s25 ultra case",demon eye phone case,ghostface phone case,decoden phone case,halloween gift,s24 ultra case,junk iphone case,devil eye phone case,gothic iphone case,scary iphone case,eyeball phone case,iphone horror case,alternative gift,s25 ultra case
