Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Mexican Aztec Art Hoodie, Mexico Clothes Men, Mexico Flag Hoodie, Mexican American Apparel, Mexican Eagle Shirt, Mexican Dad Gifts",https://www.etsy.com/listing/4436327339/mexican-aztec-art-hoodie-mexico-clothes,GritsonSport,https://www.etsy.com/shop/GritsonSport,50.99,26,1326,-100,35,2,5 Mo.,5,0,400,Clothing,9,33,8.75,599,"mexico hoodie,mexican hoodie,mexico aztec shirt,aztec warrior outfit,mexican pride hoodie,mexican mens clothes,mens mexican shirt,mexican flag hoodie,mexican eagle hoodie,mexican coat of arms,mexican dad gift,mexican american,mexican dad gifts",mexico hoodie,mexican hoodie,mexico aztec shirt,aztec warrior outfit,mexican pride hoodie,mexican mens clothes,mens mexican shirt,mexican flag hoodie,mexican eagle hoodie,mexican coat of arms,mexican dad gift,mexican american,mexican dad gifts
"2026 Retro World Cup Shirt Comfort Colors, Soccer Tournament Gift Tee, Usa Canada Mexico Footbaal T-Shirt, World Cup Game Day Shirt",https://www.etsy.com/listing/4469650492/2026-retro-world-cup-shirt-comfort,TrueTeeSupply,https://www.etsy.com/shop/TrueTeeSupply,23.00,34,782,300,53,5,2 Mo.,43,3,6571,Clothing,8,100,0.81,503,"retro world cup tee,world cup tee,2026 world cup,soccer tournament,usa mexico canada,world cup gift,gift for man,vintage world cup,comfort colors,usa football shirt,world cup flag tee,football jersey,soccer jersey",retro world cup tee,world cup tee,2026 world cup,soccer tournament,usa mexico canada,world cup gift,gift for man,vintage world cup,comfort colors,usa football shirt,world cup flag tee,football jersey,soccer jersey
"Grenada Tee Shirt, Grenadian Pride Top, Caribbean Heritage T Shirt",https://www.etsy.com/listing/1877075582/grenada-y2k-jersey-top-soccer-y2k-2000s,ChironnStore,https://www.etsy.com/shop/ChironnStore,40.00,17,680,0,29,2,15 Mo.,45,0,1211,Clothing,26,33,2.39,3805,"africa y2k,ghana tshirt,mexico y2k,brazil baby tee,y2k jersey,y2k crop top,grenada y2k,grenada crop top,grenada jersey,grenada,grenada flag,grenada shirt,kenya tshirt",africa y2k,ghana tshirt,mexico y2k,brazil baby tee,y2k jersey,y2k crop top,grenada y2k,grenada crop top,grenada jersey,grenada,grenada flag,grenada shirt,kenya tshirt
"No Scotland No Party 2026 Shirt, Scotland World Cup T-Shirt, Tartan Army Top",https://www.etsy.com/listing/4426965805/no-scotland-no-party-2026-shirt-scotland,Toptrendexpress,https://www.etsy.com/shop/Toptrendexpress,30.03,10,502,0,30,2,5 Mo.,2,0,1751,Clothing,11,84,1.71,227,"sporting event,canada mexico usa,football soccer fan,vintage football,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,event supporter,flags party tee,no scotland party,party time,retro 2026 design",sporting event,canada mexico usa,football soccer fan,vintage football,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,event supporter,flags party tee,no scotland party,party time,retro 2026 design
"Mexico Y2k Jersey Top,mexico gifts-mexico art-Soccer y2k vintage 2000s ,Mexico Baby Tee,Y2K Crop Top Mexico Tshirt-mexico artisan-soccer mom",https://www.etsy.com/listing/4433551205/mexico-y2k-jersey-topmexico-gifts-mexico,ChironnStore,https://www.etsy.com/shop/ChironnStore,40.00,12,480,-100,13,1,5 Mo.,201,0,2302,Clothing,25,100,0.56,3071,"mexico jersey,mexico shirt,mexico gifts,mexico flag,mexico tshirt,mexico pride,mexico soccer shirt,flag t-shirt,mexicana,mexicana shirt,mexican gifts,mexican dress,mexican clothing",mexico jersey,mexico shirt,mexico gifts,mexico flag,mexico tshirt,mexico pride,mexico soccer shirt,flag t-shirt,mexicana,mexicana shirt,mexican gifts,mexican dress,mexican clothing
"Uruguay Women&#39;s Baby Tee, Uruguay Y2K T-Shirt, Uruguay, Uruguay Crop Tee, Vintage 2000s 90&#39;s Baby Tee, Uruguay Shirt, Uruguay Tank top",https://www.etsy.com/listing/1859819926/uruguay-womens-baby-tee-uruguay-y2k-t,ZeusStorre,https://www.etsy.com/shop/ZeusStorre,39.00,9,351,0,8,1,15 Mo.,25,0,388,Clothing,17,0,2.06,2561,"south american,y2k,south america shirt,el salvador baby tee,mexico y2k,uruguay baby tee,uruguay crop top,uruguay y2k,uruguay t shirt,uruguay flag,uruguay,uruguay tee,uruguay tank top",south american,y2k,south america shirt,el salvador baby tee,mexico y2k,uruguay baby tee,uruguay crop top,uruguay y2k,uruguay t shirt,uruguay flag,uruguay,uruguay tee,uruguay tank top
"Guadalajara Baby Tee, Jalisco T shirt, Mexico Flag Tee",https://www.etsy.com/listing/4458199243/guadalajara-baby-tee-jalisco-t-shirt,ZeusStorre,https://www.etsy.com/shop/ZeusStorre,39.00,9,351,0,8,1,3 Mo.,17,0,166,Clothing,17,25,4.82,2561,"guadalajara baby tee,guadalajara t shirt,guadalajara crop,guadalajara tee,guadalajara top,jalisco baby tee,jalisco t shirt,jalisco crop,mexico tee,mexico tank top,mexico flag tee,mexico pride,mexico gift",guadalajara baby tee,guadalajara t shirt,guadalajara crop,guadalajara tee,guadalajara top,jalisco baby tee,jalisco t shirt,jalisco crop,mexico tee,mexico tank top,mexico flag tee,mexico pride,mexico gift
"2026 World Cup Shirt, Soccer Tournament Gift Tee, Usa Canada Mexico Footbaal T-Shirt, World Cup Game Day Shirt",https://www.etsy.com/listing/4490034282/2026-world-cup-shirt-soccer-tournament,SezeArtisanStudio,https://www.etsy.com/shop/SezeArtisanStudio,18.57,14,260,-100,15,3,2 Mo.,2,2,183,Clothing,23,36,8.2,12707,"soccer jersey,football jersey,2026 world cup,soccer tournament,usa football shirt,vintage world cup,world cup gift,world cup tee,comfort colors,gift for man,retro world cup tee,usa mexico canada,world cup flag tee",soccer jersey,football jersey,2026 world cup,soccer tournament,usa football shirt,vintage world cup,world cup gift,world cup tee,comfort colors,gift for man,retro world cup tee,usa mexico canada,world cup flag tee
New Mexico Sweatshirt | New Mexico Shirt - Zia Shirt - Zia Sweatshirt - New Mexico Flag,https://www.etsy.com/listing/723824966/new-mexico-sweatshirt-new-mexico-shirt,ninety5prints,https://www.etsy.com/shop/ninety5prints,40.00,6,240,0,115,19,80 Mo.,270,0,4377,Clothing,149,25,2.63,40710,"comfy sweatshirt,oversized sweatshirt,sleep shirt,new mexico,new mexico shirt,new mexico sweat,zia shirt,zia sweatshirt,new mexico flag,nm shirt,nm sweatshirt",comfy sweatshirt,oversized sweatshirt,sleep shirt,new mexico,new mexico shirt,new mexico sweat,zia shirt,zia sweatshirt,new mexico flag,nm shirt,nm sweatshirt,--,--
England World Cup 2026 Shirt Soccer Fan Tee England Football Shirt British Flag Game Day Outfit Canada USA Mexico Unisex T-Shirt Gift.,https://www.etsy.com/listing/4487822845/england-world-cup-2026-shirt-soccer-fan,RetroGrindApparel,https://www.etsy.com/shop/RetroGrindApparel,39.25,6,236,100,7,1,1 Mo.,1,1,265,Clothing,9,63,2.64,1361,"england soccer shirt,world cup shirt 2026,england fan tee,football fan shirt,soccer fan gift,game day outfit,england football tee,british flag shirt,world cup fan gear,2026 soccer shirt,sports graphic tee,unisex soccer shirt,england world cup",england soccer shirt,world cup shirt 2026,england fan tee,football fan shirt,soccer fan gift,game day outfit,england football tee,british flag shirt,world cup fan gear,2026 soccer shirt,sports graphic tee,unisex soccer shirt,england world cup
"2026 Retro World Cup Shirt Comfort Colors, Soccer Tournament Gift Tee, Usa Canada Mexico Footbaal T-Shirt, World Cup Game Day Shirt",https://www.etsy.com/listing/4500911773/2026-retro-world-cup-shirt-comfort,MZAAZDESIGN,https://www.etsy.com/shop/MZAAZDESIGN,42.26,5,211,0,5,1,1 Mo.,0,1,19,Clothing,14,0,26.32,133,"soccer jersey,football jersey,2026 world cup,soccer tournament,usa football shirt,vintage world cup,world cup gift,world cup tee,comfort colors,gift for man,retro world cup tee,usa mexico canada,world cup flag tee",soccer jersey,football jersey,2026 world cup,soccer tournament,usa football shirt,vintage world cup,world cup gift,world cup tee,comfort colors,gift for man,retro world cup tee,usa mexico canada,world cup flag tee
"Scotland World Cup Shirt, We&#39;ll Be Coming 2026 T-Shirt, Tartan Army Top",https://www.etsy.com/listing/4428378726/scotland-world-cup-shirt-well-be-coming,Toptrendexpress,https://www.etsy.com/shop/Toptrendexpress,30.03,4,191,0,27,2,5 Mo.,13,0,2541,Clothing,11,100,1.06,227,"sporting event,canada mexico usa,football soccer fan,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,party time,scotland world cup,tartan army top,world cup scotland,scotland party,scotland lion",sporting event,canada mexico usa,football soccer fan,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,party time,scotland world cup,tartan army top,world cup scotland,scotland party,scotland lion
"Scotland World Cup T-Shirt, Road to 2026 Shirt, Tartan Army Top",https://www.etsy.com/listing/4434763218/scotland-world-cup-t-shirt-road-to-2026,Toptrendexpress,https://www.etsy.com/shop/Toptrendexpress,30.03,3,138,100,8,0,4 Mo.,3,0,500,Clothing,11,36,1.6,227,"sporting event,canada mexico usa,football soccer fan,vintage football,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,event supporter,flags party tee,party time,retro 2026 design,road to 2026",sporting event,canada mexico usa,football soccer fan,vintage football,2026 celebration,2026 event tee,country flag shirt,scotland worldcup,event supporter,flags party tee,party time,retro 2026 design,road to 2026
"Mexican Flag Sweatshirt, Mexico Hoodie, Mexico Coat of Arms Sweater, Eagle Sweat, Cinco de Mayo Graphic Top",https://www.etsy.com/listing/1896003951/mexican-flag-sweatshirt-mexico-hoodie,SymbolTee,https://www.etsy.com/shop/SymbolTee,21.80,6,131,0,23,4,14 Mo.,4,0,655,Clothing,20,25,3.51,320,"mexico sweatshirt,mexican flag shirt,latina pride,chicana apparel,mexican heritage,coat of arms shirt,hispanic gift,cinco de mayo shirt,mexico eagle,tricolor graphic,orgullo mexicano,mexican american,cultural pride",mexico sweatshirt,mexican flag shirt,latina pride,chicana apparel,mexican heritage,coat of arms shirt,hispanic gift,cinco de mayo shirt,mexico eagle,tricolor graphic,orgullo mexicano,mexican american,cultural pride
Viva Mexico Ariat Tee | Mexico Flag Rodeo Western Shirt,https://www.etsy.com/listing/4480513828/viva-mexico-ariat-tee-mexico-flag-rodeo,VinoID,https://www.etsy.com/shop/VinoID,25.00,5,125,0,5,1,2 Mo.,1,1,31,Clothing,2,0,16.13,41,"viva mexico tee,mexico pride shirt,patriotic mexico top,ariat style tee,unisex mexico tee,mexican flag shirt,cinco de mayo tee,mexican heritage tee,ranchwear mexico tee,western mexico shirt,mens mexico tee,viva mexico apparel,cultural pride tee",viva mexico tee,mexico pride shirt,patriotic mexico top,ariat style tee,unisex mexico tee,mexican flag shirt,cinco de mayo tee,mexican heritage tee,ranchwear mexico tee,western mexico shirt,mens mexico tee,viva mexico apparel,cultural pride tee
"Custom Country Symbol Stitch Shirt, Custom Embroidered Shirt, Custom Embroidered Vintage Shirt",https://www.etsy.com/listing/1888633042/custom-country-symbol-stitch-shirt,SunnyStore99,https://www.etsy.com/shop/SunnyStore99,24.82,5,124,100,290,60,13 Mo.,156,5,5410,Clothing,20,96,5.36,5755,"puerto rico flag,puerto rico shirt,4th of july fourth,american pride,american flag top,south america gift,mexico flag shirt,comfort colors,retro t shirt,retro shirt,comfort color shirt,comfort color tshirt",puerto rico flag,puerto rico shirt,4th of july fourth,american pride,american flag top,south america gift,mexico flag shirt,comfort colors,retro t shirt,retro shirt,comfort color shirt,comfort color tshirt,--
Personalized Mexico Flag Baseball Crop Top Women Button Up Jersey Custom Name number Sport Shirt,https://www.etsy.com/listing/4466814405/personalized-mexico-flag-baseball-crop,LeskoDesighn,https://www.etsy.com/shop/LeskoDesighn,15.45,8,124,0,7,1,2 Mo.,5,1,172,Clothing,10,30,4.07,642,"mexico crop top,mexico jersey,mexico shirt,baseball crop,button up jersey,women sport top,mexican pride,flag crop top,custom name top,gym crop shirt,summer crop top,latina outfit,sport crop shirt",mexico crop top,mexico jersey,mexico shirt,baseball crop,button up jersey,women sport top,mexican pride,flag crop top,custom name top,gym crop shirt,summer crop top,latina outfit,sport crop shirt
"Personalized Mexico Eagle Polo Shirt, 3D All Over Print",https://www.etsy.com/listing/4445720057/mexico-3d-polo-shirt-personalized-name,SELLTSHOPS,https://www.etsy.com/shop/SELLTSHOPS,28.83,4,115,-100,5,1,4 Mo.,0,0,41,Clothing,13,0,12.2,322,"mexico polo shirt,3d printed polo,personalized polo,mexican flag polo,eagle graphic polo,golf polo unisex,cinco de mayo polo,mexico pride wear,custom name shirt,aztec style polo,mexican gift idea,all over print,mexico fan polo",mexico polo shirt,3d printed polo,personalized polo,mexican flag polo,eagle graphic polo,golf polo unisex,cinco de mayo polo,mexico pride wear,custom name shirt,aztec style polo,mexican gift idea,all over print,mexico fan polo
New Mexico Flag Shirt: Zia Symbol Cotton Tee,https://www.etsy.com/listing/4351069471/new-mexico-flag-shirt-zia-symbol-cotton,GraphiTeesShop,https://www.etsy.com/shop/GraphiTeesShop,15.99,7,112,-100,7,1,10 Mo.,13,0,151,Clothing,17,0,4.64,542,"new mexico flag tee,zia symbol shirt,new mexico shirt,zia sun shirt,state pride t-shirt,new mexico art tee,new mexico souvenir,zia new mexico shirt,western graphic tee,santa fe shirt",new mexico flag tee,zia symbol shirt,new mexico shirt,zia sun shirt,state pride t-shirt,new mexico art tee,new mexico souvenir,zia new mexico shirt,western graphic tee,santa fe shirt,--,--,--
"New Mexico Zia Sun Shirt, Zia Symbol Tee, Southwest State Pride Shirt, New Mexico State Tee, Retro Desert Graphic TShirt, Zia Tribal Sun Tee",https://www.etsy.com/listing/4313919439/new-mexico-zia-sun-shirt-zia-symbol-tee,Onlyqualityseller,https://www.etsy.com/shop/Onlyqualityseller,17.90,6,107,0,18,3,11 Mo.,18,0,505,Clothing,73,25,3.56,111273,"new mexico shirt,new mexico zia shirt,southwestern shirt,new mexico flag tee,zia symbol shirt,zia symbol tee,new mexico state tee,zia tribal sun tee,zia sun shirt,southwest state,southwest pride tee,desert graphic shirt,zia symbol mexico",new mexico shirt,new mexico zia shirt,southwestern shirt,new mexico flag tee,zia symbol shirt,zia symbol tee,new mexico state tee,zia tribal sun tee,zia sun shirt,southwest state,southwest pride tee,desert graphic shirt,zia symbol mexico
San Diego FC Mexican Flag Crest T-Shirt: Soccer Team Apparel,https://www.etsy.com/listing/4311395018/san-diego-fc-mexican-flag-crest-t-shirt,BayanThreads,https://www.etsy.com/shop/BayanThreads,35.00,3,105,0,6,5,12 Mo.,7,0,503,Clothing,12,0,1.19,59,"sdfc,san diego,san diego fc,sdfc shirt,custom sdfc shirt,sdfc soccer shirt,san diego soccer,sdfc mexican flag,sdfc mexican crest,sdfc mexico,sdfc mexico flag,sdfc mexican pride,sdfc mexican",sdfc,san diego,san diego fc,sdfc shirt,custom sdfc shirt,sdfc soccer shirt,san diego soccer,sdfc mexican flag,sdfc mexican crest,sdfc mexico,sdfc mexico flag,sdfc mexican pride,sdfc mexican
"Personalized Mexico Baseball Jersey, Custom Mexico Flag Jersey, Baseball Jerseys Gifts For Mexican Baseball Players, Family Matching Jersey",https://www.etsy.com/listing/4382501088/personalized-mexico-baseball-jersey,86Concept,https://www.etsy.com/shop/86Concept,20.95,5,105,-100,24,3,7 Mo.,10,0,541,Clothing,19,33,4.44,1900,"baseball team,custom jersey color,game day outfit,custom name shirt,baseball lovers,sport team jersey,mexican eagle,mexico baseball,mexican jersey,team mexico shirt,custom mexican shirt,mexican eagle shirt,mexico flag",baseball team,custom jersey color,game day outfit,custom name shirt,baseball lovers,sport team jersey,mexican eagle,mexico baseball,mexican jersey,team mexico shirt,custom mexican shirt,mexican eagle shirt,mexico flag
"Penta Jr. Mexico Flag Lucha Libre T-shirt, Wrestling Hoodie with Iconic, Sweatshirt Perfect for Fans and Collectors of Lucha Culture",https://www.etsy.com/listing/4301846660/penta-jr-mexico-flag-lucha-libre-t-shirt,YvesBStudio,https://www.etsy.com/shop/YvesBStudio,8.07,12,97,100,35,6,12 Mo.,65,1,3362,Clothing,26,72,1.04,2280,"mexican wrestler,lucha libre t-shirt,flag colors tee,graphic shirt,cool mexican design,fiesta apparel,vintage style top,cinco de mayo gift,athletic wear,colorful tee,mexico souvenir,national pride top,hispanic heritage",mexican wrestler,lucha libre t-shirt,flag colors tee,graphic shirt,cool mexican design,fiesta apparel,vintage style top,cinco de mayo gift,athletic wear,colorful tee,mexico souvenir,national pride top,hispanic heritage
Mexico Flag Heart Rhinestone Bling Shirt Cinco de Mayo Sparkle Top Proud Mexican Pride Sweatshirt Family Mexico Cruise Bandera de Mexico Tee,https://www.etsy.com/listing/4334330494/mexico-flag-heart-rhinestone-bling-shirt,BlingBabesBoutique4U,https://www.etsy.com/shop/BlingBabesBoutique4U,22.99,4,92,0,4,1,11 Mo.,2,0,136,Clothing,171,0,2.94,31472,"mexico flag heart,latina birthday tee,viva mexico t-shirt,proud mexican tee,patriotic mexican,rhinestone mexico,mexico cruise shirt,family mexican vcay,mexican teacher gift,mexican nurse gift,cinco de mayo party,mèxicana flag gift,latina mexico shirt",mexico flag heart,latina birthday tee,viva mexico t-shirt,proud mexican tee,patriotic mexican,rhinestone mexico,mexico cruise shirt,family mexican vcay,mexican teacher gift,mexican nurse gift,cinco de mayo party,mèxicana flag gift,latina mexico shirt
"Hip Hop Mexican Bear Clipart, 3D Boy Teddy Bear PNG, Mexican Clipart, Mexico Flag PNG, Cool Pickup Truck, Mexican Pickup Truck,#03",https://www.etsy.com/listing/1853030934/hip-hop-mexican-bear-clipart-3d-boy,StudioCHdigiArt,https://www.etsy.com/shop/StudioCHdigiArt,6.99,13,91,0,65,5,16 Mo.,53,0,1511,Craft Supplies & Tools,28,36,4.3,1260,"cool pick up truck,gangster bear png,hip hop teddy bear,hip hop boy bear,3d teddy bear,mexican bear clipart,mexican clipart,mexico flag png,mexican png,bear with truck,mexican truck,mexican pick up,bear shirt",cool pick up truck,gangster bear png,hip hop teddy bear,hip hop boy bear,3d teddy bear,mexican bear clipart,mexican clipart,mexico flag png,mexican png,bear with truck,mexican truck,mexican pick up,bear shirt
