Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"WIFi Password Sign, Internet Sign For Home, Airbnb, Rental, Small Business, Salon, Restaurant Hotel, Dry erase Wifi Sign, housewarming gift",https://www.etsy.com/listing/1749918734/wifi-password-sign-internet-sign-for,RusticBarnDecorCo,https://www.etsy.com/shop/RusticBarnDecorCo,24.00,6,144,0,17,5,22 Mo.,40,0,687,Home & Living,68,0,2.47,13135,"wifi sign dry erase,guest wifi sign,wifi whiteboard,real estate agent,realtor homeowner,hotel accessories,airbnb accessories,wifi sign for home,dry erase wifi sign,wifi password sign,farmhouse decor,new homeowner gift,guests bedroom sign",wifi sign dry erase,guest wifi sign,wifi whiteboard,real estate agent,realtor homeowner,hotel accessories,airbnb accessories,wifi sign for home,dry erase wifi sign,wifi password sign,farmhouse decor,new homeowner gift,guests bedroom sign
"Custom Acrylic Hanging Door Sign, Personalized Sign, Business Name Sign, Wall Hanging Home Decor, Housewarming Gift Idea",https://www.etsy.com/listing/4308315242/custom-acrylic-hanging-door-sign,DestanyDesignDecor,https://www.etsy.com/shop/DestanyDesignDecor,22.00,6,132,0,15,5,12 Mo.,23,0,778,Home & Living,50,30,1.93,1938,"bedroom door sign,office decor sign,custom name sign,personalized acrylic,welcome door hanger,no soliciting sign,wifi air bnb sign,small business hours,do not disturb sign,therapy in session,front door display,password cute sign,housewarming gift",bedroom door sign,office decor sign,custom name sign,personalized acrylic,welcome door hanger,no soliciting sign,wifi air bnb sign,small business hours,do not disturb sign,therapy in session,front door display,password cute sign,housewarming gift
"Rustic Wood Wifi QR Code Sign – Airbnb, Mountain or Cabin Guest Decor",https://www.etsy.com/listing/1901191741/rustic-wood-wifi-qr-code-sign-airbnb,LigninAndLight,https://www.etsy.com/shop/LigninAndLight,25.00,4,100,100,21,6,13 Mo.,85,0,1156,Home & Living,84,33,1.82,4893,"wifi sign,wifi password,wifi qr code,airbnb wifi,rental home sign,vacation wifi sign,wifi scan sign,guest bedroom,internet password,cabin sign,housewarming gift,mountain rustic,vrbo vacation rental",wifi sign,wifi password,wifi qr code,airbnb wifi,rental home sign,vacation wifi sign,wifi scan sign,guest bedroom,internet password,cabin sign,housewarming gift,mountain rustic,vrbo vacation rental
Housewarming Gift First Home BOX ONLY - Home Sweet Home - New Home Gift - Closing Gift - New House  - Moving Gift - New Neighbor Gift,https://www.etsy.com/listing/646929635/housewarming-gift-first-home-box-only,WhiteConfettiBox,https://www.etsy.com/shop/WhiteConfettiBox,14.00,6,84,-100,68,12,92 Mo.,228,0,8849,Paper & Party Supplies,115,36,0.77,249500,"new home,new house,housewarming,new home gift,housewarming gift,new house gift,first home gift,congrats new home,new neighbor,new neighbor gift,house warming,home sweet home,wifi password sign",new home,new house,housewarming,new home gift,housewarming gift,new house gift,first home gift,congrats new home,new neighbor,new neighbor gift,house warming,home sweet home,wifi password sign
Custom Acrylic Wi-Fi Password Sign: House-Shaped Guest Network Display,https://www.etsy.com/listing/1775817480/custom-acrylic-wi-fi-password-sign-house,Island2Mountain,https://www.etsy.com/shop/Island2Mountain,16.00,5,80,0,65,13,20 Mo.,65,1,1711,Weddings,97,33,3.8,8083,"housewarming gift,island 2 mountain,guest room decor,home office sign,internet password,home network sign,personalized gift,custom sign,business wifi,welcome sign,wifi details,office decor,cabin wifi sign",housewarming gift,island 2 mountain,guest room decor,home office sign,internet password,home network sign,personalized gift,custom sign,business wifi,welcome sign,wifi details,office decor,cabin wifi sign
Wifi Password Details Sign With 3D Barcode House Warming Gift Home Internet Sign,https://www.etsy.com/listing/805634500/wifi-password-details-sign-with-3d,LoveThisItem,https://www.etsy.com/shop/LoveThisItem,9.98,6,60,0,37,7,71 Mo.,48,0,1565,Home & Living,147,0,2.36,19845,"internet sign,wi-fi sign,wi-fi details,wi-fi,wifi,be our guest sign,but first wifi,wifi sign template,wifi password",internet sign,wi-fi sign,wi-fi details,wi-fi,wifi,be our guest sign,but first wifi,wifi sign template,wifi password,--,--,--,--
Custom Wi-Fi Password Magnet: QR Code Guest Sign for Home or Airbnb,https://www.etsy.com/listing/1764840286/custom-wi-fi-password-magnet-qr-code,HuntingtonCreationCo,https://www.etsy.com/shop/HuntingtonCreationCo,10.00,4,40,0,12,6,21 Mo.,11,0,208,Home & Living,104,0,5.77,241,"custom wifi magnet,wifi password magnet,guest wifi sign,fridge wifi sign,wifi fidge magnet,guest room decor,housewarming gift,airbnb host gift,wifi sign,personalized wifi,wifi code sign,guest wifi,airbnb wifi magnet",custom wifi magnet,wifi password magnet,guest wifi sign,fridge wifi sign,wifi fidge magnet,guest room decor,housewarming gift,airbnb host gift,wifi sign,personalized wifi,wifi code sign,guest wifi,airbnb wifi magnet
Custom Wi-Fi Password Magnet: Modern Guest Sign for Home or Airbnb,https://www.etsy.com/listing/1858707395/custom-wi-fi-password-magnet-modern,HuntingtonCreationCo,https://www.etsy.com/shop/HuntingtonCreationCo,10.00,4,40,0,2,1,16 Mo.,11,0,164,Home & Living,104,0,1.22,241,"custom wifi magnet,wifi password magnet,guest wifi sign,airbnb wifi magnet,fridge wifi sign,wifi fidge magnet,guest room decor,housewarming gift,airbnb host gift,wifi sign,personalized wifi,wifi code sign,guest wifi",custom wifi magnet,wifi password magnet,guest wifi sign,airbnb wifi magnet,fridge wifi sign,wifi fidge magnet,guest room decor,housewarming gift,airbnb host gift,wifi sign,personalized wifi,wifi code sign,guest wifi
"WiFi password sign, WiFi network sign, Dry erase sign, Tiered tray sign, Farmhouse sign, Farmhouse decor, Tier tray decor",https://www.etsy.com/listing/1245307958/wifi-password-sign-wifi-network-sign-dry,ByHISHandWoodDesigns,https://www.etsy.com/shop/ByHISHandWoodDesigns,12.00,2,24,-100,57,16,47 Mo.,118,0,1725,Home & Living,54,0,3.3,1415,"dry erase,mini sign,wifi,password,network,erasable,internet,air bnb,guest room,stocking stuffer,housewarming,hostess gift,gifts under 20",dry erase,mini sign,wifi,password,network,erasable,internet,air bnb,guest room,stocking stuffer,housewarming,hostess gift,gifts under 20
"Wooden WiFi Password Sign House Shaped Fridge Magnet | Laser Engraved Plywood Network Decor for Airbnb, Home, Guest WiFi Display",https://www.etsy.com/listing/1890483510/wooden-wifi-password-sign-house-shaped,PejsCrafts,https://www.etsy.com/shop/PejsCrafts,6.72,2,13,-100,7,3,13 Mo.,9,0,210,Home & Living,13,0,3.33,153,"wifi password sign,wooden wifi sign,house fridge magnet,guest wifi decor,wifi magnet sign,airbnb wifi sign,laser cut magnet,plywood fridge art,home network sign,housewarming gift,fridge decor wifi,wifi decor wood,network password",wifi password sign,wooden wifi sign,house fridge magnet,guest wifi decor,wifi magnet sign,airbnb wifi sign,laser cut magnet,plywood fridge art,home network sign,housewarming gift,fridge decor wifi,wifi decor wood,network password
