"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"book lover",2749,3296,120,632841,"100","14","10",2900
"book lover gift",16551,17276,104,537834,"76","35","15",18100
"book lover gifts",2655,3126,118,536396,"100","4","16",18100
"book lover shirt",1333,1274,96,198739,"100","15","16",720
"book lover mug",601,683,114,34094,"88","10","14",720
"book lover png",308,302,98,50143,"100","6","14",40
"book lover ornament",233,344,148,18548,"95","0","19","N/A"
"book lover box",131,188,144,4056,"75","0","14",140
"book lover blanket",123,127,103,7201,"88","0","18",260
"book lover bookmarks",112,165,147,65824,"100","0","20","N/A"
"book lover svg",105,97,92,18792,"100","0","14",70
"book lover tote",99,58,59,28236,"100","0","15",480
"book lover poster",93,1,1,18510,"100","0","17",50
"book lover tee",90,22,24,155696,"100","2","14","N/A"
"book lover sweatshirt",79,101,128,80307,"100","0","21",260
"book lover hat",51,64,125,5209,"100","0","14",70
"book lover tshirt",50,64,128,150191,"100","0","17",720
"book lover clipart",47,64,136,14019,"100","1","18",90
"dog book lover",43,64,149,12916,"100","0","14","N/A"
"book lover valentine",43,63,147,20829,"100","1","20","N/A"
"book lover stamp",35,0,0,3454,"100","0","16",10
"book lover clothing",28,39,139,184080,"100","0","19","N/A"
"book lover hoodie",25,33,132,20007,"100","0","17","N/A"
"gift for book lover",888,962,108,538875,"100","6","19",18100
"book lover gift box",780,775,99,5670,"43","0","19",140
"book lover gift set",726,725,100,21250,"73","0","19",110
"book lover gift ideas",509,481,94,44798,"97","0","21",2400
"book lover gift idea",316,308,97,43928,"100","1","20",2400
"book lover gift kindle",310,307,99,30700,"100","0","22","N/A"
"book lover halloween shirt",224,8,4,26447,"100","0","26",0
"gifts for book lover",194,188,97,518010,"100","2","20",18100
"embroidered book lover sweatshirt",126,188,149,7404,"88","0","33","N/A"
"book lover gift basket",111,102,92,1216,"52","0","22",390
"book lover cutting board",103,100,97,0,"","0","24",0
"book lover gifts unique",103,98,95,0,"","0","23",0
"book lover gifts kindle",100,97,97,0,"","0","23","N/A"
"book lover coffee mug",91,51,56,22473,"100","0","21","N/A"
"book lover home decor",90,128,142,85753,"100","0","21","N/A"
"book lover phone case",52,64,123,8724,"100","0","21",90
"book lover baby gift",45,64,142,4238,"99","0","20","N/A"
"phone case book lover",44,0,0,8706,"100","0","21",0
"book lover tumbler pngs",44,57,130,0,"","0","23","N/A"
"book lover must haves",44,0,0,43,"1","0","21",20
"halloween book lover gift",43,63,147,53932,"100","0","25","N/A"
"book lover halloween png",43,64,149,3583,"96","0","24","N/A"
"blanket for book lover",43,63,147,6135,"100","0","22","N/A"
"book lover love png",43,63,147,7016,"100","0","19","N/A"
"towel for book lover",43,0,0,0,"","0","20","N/A"
"book lover ornament xmas",43,63,147,0,"","0","24","N/A"
"book lover gift palestine",36,36,100,30,"1","0","25","N/A"
"book lover epoxy tumblers",36,47,131,0,"","0","25","N/A"
"black woman book lover",35,52,149,0,"","0","22","N/A"
"dog y book lover",35,52,149,0,"","0","16","N/A"
"tote bag book lover",28,13,46,26949,"100","0","19",390
"book lover gifts mug",23,33,143,33666,"100","0","20","N/A"
"book lover crewneck sweatshirt",22,0,0,23437,"100","0","30","N/A"
"book lover gift for women",835,858,103,201807,"100","0","25",0
"book lover bead pen wrap",126,0,0,4,"1","0","24","N/A"
"book lover gifts for women",111,54,49,140472,"100","0","26",10
"bookish gifts for book lover",103,97,94,173919,"100","0","28",0
"book lover gift wall art",100,100,100,29575,"100","0","24","N/A"
"book lover gift for mum",93,0,0,32611,"100","0","23","N/A"
"gifts for the book lover",72,101,140,349231,"100","0","24","N/A"
"personalized gifts for book lover",22,0,0,0,"","0","33","N/A"
"spicy book lover snow globe tumblers",43,65,151,0,"","0","36","N/A"
"book lover marriage proposal gift box",43,0,0,0,"","0","37",0
"fantasy book lover throw woven blanket",43,63,147,0,"","0","38","N/A"
"blind date with a book gift box mystery book surprise for book lover",95,94,99,0,"","0","68","N/A"
"pen wrap bead pattern for book lover",126,0,0,4,"1","0","36","N/A"
"og phone case book lover aelin kingdom",26,39,150,0,"","0","38","N/A"
"animal lover",3,0,0,1017262,"100","1","12","N/A"
"romance lover",2,0,0,49477,"100","1","13",3600
"reading lover",1,0,0,292053,"100","2","13","N/A"
"bookish lover",0,0,0,293892,"","1","13","N/A"
"mahjong lover",0,0,0,5966,"","1","13",20
"novel lover",0,0,0,12442,"","1","11","N/A"
"soda lover",0,0,0,5861,"","1","10","N/A"
"book lover stickers",9,1,11,50874,"100","2","19",210
"book lover decor",9,1,11,146775,"100","1","16",140
"romantasy book lover",0,0,0,18549,"","3","20","N/A"
"book lover cup",0,0,0,24695,"","2","14","N/A"
"christmas book lover",1,0,0,93098,"100","2","20","N/A"
"book lover sticker",8,1,13,51670,"100","1","18",210
"book lover raccoon",0,0,0,0,"","1","18","N/A"
"raccoon book lover",0,0,0,2528,"","1","18","N/A"
"cat book lover",2,0,0,34333,"100","1","14",0
"cat lover book",0,0,0,21774,"","1","14","N/A"
"custom book lover",0,0,0,45437,"","1","17","N/A"
"coquette book lover",1,0,0,10852,"100","1","19","N/A"
"book lover emb",0,0,0,0,"","1","14","N/A"
"book lover design",0,0,0,64243,"","1","17","N/A"
"book lover suncatche",0,0,0,0,"","1","20","N/A"
"book lover art",8,1,13,144180,"100","1","14",110
"book lover print",0,0,0,74101,"","1","16",10
"book lover apparel",0,0,0,27318,"","1","18","N/A"
"book lover pin",6,1,17,1934,"100","1","14","N/A"
"trendy book lover",0,0,0,19931,"","1","17","N/A"
"book cat lover",1,0,0,37446,"100","1","14","N/A"
"book lover sign",0,0,0,6243,"","1","15","N/A"
"spooky book lover",0,0,0,11629,"","1","17","N/A"
"book lover sweater",1,0,0,35513,"100","1","18","N/A"
"spicy book lover",0,0,0,21223,"","1","16","N/A"
"book",15968,21768,136,2642549,"100","2","4",823000
"book lover wall art",10,1,10,84548,"100","2","19",90
"funny book lover tee",0,0,0,41901,"","3","20","N/A"
"book lover gift mug",0,0,0,24093,"","2","19","N/A"
"book lover seamless pattern",0,0,0,1542,"","2","27",0
"book lover funny tee",0,0,0,0,"","1","20","N/A"
"coffee lover shirt",158,184,116,135072,"100","1","18",70
"cat lover shirt",9,1,11,191677,"100","1","15",320
"cat lover mug",6,1,17,48960,"100","1","13",110
"coffee lover mug",6,1,17,417239,"100","1","16",140
"cat lover sticker",2,0,0,24930,"100","1","17","N/A"
"reading lover gift",1,0,0,244561,"100","1","18","N/A"
"coffee lover tee",1,0,0,106652,"100","1","16","N/A"
"diet coke lover",1,0,0,1794,"100","1","15","N/A"
"dog lover sticker",0,0,0,35175,"","1","17","N/A"
"cat lover gift",0,0,0,502790,"","1","14",170
"funny villain lover",0,0,0,0,"","1","19","N/A"
"tea lover mug",0,0,0,128776,"","1","13","N/A"
"wine lover art gift",0,0,0,11039,"","1","19","N/A"
"cat lover coffee mug",0,0,0,34569,"","1","20","N/A"
"book embosser",6408,9014,141,9568,"9","1","13",9900
"book stamp",3383,3480,103,22173,"41","1","10",3600
"book shirt",2038,2435,119,271882,"100","3","10",2900
"book mark",2012,2794,139,28504,"58","1","9",135000
"book merch",1301,1317,101,88360,"92","2","10",1900
"book necklace",1228,1232,100,11557,"49","2","13",1300
"book png",774,767,99,112426,"100","4","8",12100
"book sweatshirt",511,593,116,108037,"100","2","15",1300
"burn book",242,203,84,6184,"70","1","9",33100
"book poster",119,104,87,61802,"100","1","11",2900
"book hoodie",112,36,32,27044,"100","1","11","N/A"
"book stack",34,36,106,34061,"100","1","10","N/A"
"book patches",15,14,93,9127,"100","1","12","N/A"
"book illustration",8,1,13,150138,"100","3","17",3600
"book design",4,0,0,244690,"100","2","11",2400
"wooden book",6,1,17,20317,"100","1","11","N/A"
"book club",0,0,0,194769,"","3","9",40500
"book aesthetic",0,0,0,93562,"","2","14","N/A"
"book accessories",0,0,0,399531,"","1","16",2400
"book fun",0,0,0,63265,"","1","8","N/A"
"book graphic",0,0,0,98104,"","1","12","N/A"
"book embroidery",0,0,0,40900,"","1","15","N/A"
"valentine book",0,0,0,39080,"","1","14","N/A"
"book sublimation",2,0,0,35802,"100","1","16","N/A"
"book accessory",3,0,0,399110,"100","1","14","N/A"
"book headband",3,0,0,1092,"100","1","13",390
"funny book",2,0,0,142248,"100","1","10","N/A"
"book wall art",943,924,98,309296,"100","2","13",880
"book club shirt",744,787,106,72875,"100","11","15",720
"custom book stamp",741,815,110,5871,"45","1","17",1300
"book nook decor",200,192,96,37116,"100","1","15",170
"custom book mark",168,240,143,3230,"64","1","16","N/A"
"book worm shirt",104,98,94,8384,"95","1","15",210
"book cross stitch",103,95,92,22087,"100","1","17",1600
"halloween book png",43,63,147,14650,"100","1","18","N/A"
"book nerd tshirt",43,0,0,22630,"100","1","16",110
"book nerd shirt",38,52,137,29651,"100","1","15","N/A"
"custom book marks",34,36,106,3226,"99","1","17",8100
"coffee book shirt",13,0,0,16863,"100","1","17","N/A"
"book club png",9,1,11,16013,"100","3","13",50
"book reader shirt",9,0,0,105522,"100","1","17","N/A"
"book club gift",8,1,13,151121,"100","6","14",1300
"book quote print",8,1,13,24496,"100","1","16","N/A"
"funny book shirt",6,1,17,66769,"100","1","16",170
"book reader gift",4,0,0,319963,"100","2","16","N/A"
"fantasy book png",3,0,0,15569,"100","1","16","N/A"
"book nerd gifts",3,0,0,47734,"100","1","15","N/A"
"book girl shirt",3,0,0,26782,"100","1","15",0
"book cat shirt",2,0,0,13428,"100","1","14",0
"book quote tee",2,0,0,8495,"100","1","14",0
"book nerd gift",2,0,0,47967,"100","1","14","N/A"
"book stack art",2,0,0,11383,"100","1","14","N/A"
"printable book art",2,0,0,124431,"100","1","18",10
"book lovers blankets",2,0,0,1914,"100","1","20","N/A"
"book reading shirt",2,0,0,138988,"100","1","18","N/A"
"book lovers stickers",2,0,0,13878,"100","1","20","N/A"
"digital book art",1,0,0,295040,"100","2","16","N/A"
"minimalist book art",1,0,0,14674,"100","2","19",30
"reading book gift",1,0,0,215635,"100","1","17","N/A"
"custom book sign",1,0,0,13441,"100","1","16","N/A"
"summer book sticker",1,0,0,0,"","1","19","N/A"
"book aesthetic mug",0,0,0,0,"","3","18","N/A"
"reading my book",0,0,0,0,"","1","15","N/A"
"fiction book reader",0,0,0,9272,"","1","19","N/A"
"book club clipart",0,0,0,3713,"","1","17","N/A"
