"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"coworker gift",581,492,85,355309,"","64","13",14800
"coworker gift ideas",513,583,114,50912,"","4","19","N/A"
"coworker gift idea",222,210,95,47830,"","3","18",12100
"funny coworker gift",207,201,97,150860,"","3","19",1600
"male coworker gift",198,197,99,2990,"","0","18","N/A"
"female coworker gift",98,93,95,4123,"","0","20",1000
"coworker gift baskets",20,11,55,0,"","0","21","N/A"
"coworker gift under 10",201,200,100,1528,"","0","22","N/A"
"coworker gifts",502,496,99,350330,"","2","14",14800
"coworker valentine",110,118,107,9712,"","2","18","N/A"
"funny coworker",4,0,0,155156,"","3","14",260
"coworker stickers",4,0,0,12099,"","1","17",0
"coworker sticker",2,0,0,12777,"","2","16","N/A"
"coworker humor",1,0,0,30035,"","1","14","N/A"
"sarcastic coworker",0,0,0,44722,"","2","18","N/A"
"easter coworker",0,0,0,2836,"","2","15","N/A"
"coworker survival",0,0,0,238,"","1","17","N/A"
"coworker tag",0,0,0,16786,"","1","12","N/A"
"coworker halloween",0,0,0,11992,"","1","18","N/A"
"gift for coworker",325,429,132,354873,"","7","17",12100
"coworker gift box",5,1,20,8618,"","4","17",10
"custom coworker gift",3,0,0,60700,"","1","20","N/A"
"office coworker gift",2,0,0,91417,"","1","20",880
"coworker gift survey",1,0,0,857,"","2","20",0
"coworker gift tag",0,0,0,20422,"","9","17","N/A"
"coworker gift tags",0,0,0,19983,"","7","18","N/A"
"new coworker gift",0,0,0,27979,"","2","17","N/A"
"coworker gift wrap",0,0,0,0,"","1","18","N/A"
"coworker gift him",0,0,0,40083,"","1","17","N/A"
"coworker tea gift",0,0,0,0,"","1","17","N/A"
"coworker gift label",0,0,0,12377,"","1","19","N/A"
"easter coworker gift",0,0,0,2480,"","1","20","N/A"
"coworker gift men",0,0,0,57477,"","1","17","N/A"
"funny coworker gifts",202,199,99,142429,"","1","20","N/A"
"coworker thank you",2,0,0,30308,"","2","18",70
"coworker treat favor",0,0,0,0,"","2","20","N/A"
"coworker easter tag",0,0,0,509,"","1","19","N/A"
"best friend coworker",0,0,0,33406,"","1","20","N/A"
"st patricks coworker",0,0,0,1516,"","1","20","N/A"
"gift",66326,83911,127,33152946,"","1","4",450000
"personalized gift",63547,67269,106,5573446,"","2","17",110000
"graduation gift",7148,7257,102,780587,"","4","15",90500
"teacher gift",6113,5936,97,1484871,"","13","12",22200
"christmas gift",6102,6792,111,7614738,"","6","14",90500
"boyfriend gift",4506,5164,115,371080,"","1","14",9900
"bridesmaid gift",3483,3834,110,573517,"","1","15",14800
"summer gift",3120,3026,97,988475,"","1","11","N/A"
"gift card",2898,2825,97,2065553,"","1","9",246000
"gift basket",2708,3124,115,215045,"","2","11",90500
"gift baskets",2466,2844,115,217392,"","2","12",90500
"gift tags",2316,2144,93,1440112,"","1","9",8100
"gift tag",1703,2249,132,1440365,"","5","8",8100
"funny gift",1708,1901,111,4477547,"","4","10",12100
"nurse gift",1560,1601,103,583626,"","1","10",5400
"gag gift",1328,1467,110,211147,"","3","8",18100
"gift wrap",974,1143,117,678518,"","2","9",14800
"corporate gift",872,528,61,54980,"","3","14",6600
"hostess gift",879,840,96,239134,"","1","12",8100
"christian gift",632,651,103,873608,"","1","14",6600
"husband gift",598,547,91,498668,"","1","12",2400
"college gift",497,471,95,301503,"","2","12",0
"boss gift",418,424,101,146163,"","3","9",6600
"congratulations gift",391,384,98,38444,"","2","20",2400
"friend gift",417,388,93,1076582,"","1","11",2400
"kids gift",230,170,74,6278954,"","1","9","N/A"
"appreciation gift",214,171,80,731390,"","16","17",480
"neighbor gift",200,195,98,35421,"","2","13",2400
"nurses gift",185,94,51,506203,"","1","11",5400
"business gift",224,108,48,178904,"","1","13",880
"office gift",114,106,93,1904984,"","7","11",2900
"engraved gift",144,205,142,574514,"","2","13",2900
"team gift",140,156,111,667372,"","2","9","N/A"
"wellness gift",144,173,120,136022,"","1","13","N/A"
"relaxation gift",158,228,144,117123,"","1","15","N/A"
"stationary gift",46,64,139,71045,"","1","15","N/A"
"pen gift",43,63,147,123907,"","1","8","N/A"
"employee gift",7,1,14,72555,"","19","13","N/A"
"sarcastic gift",5,1,20,458121,"","4","14",140
"employer gift",0,0,0,1795,"","2","13","N/A"
"birthday gift",0,0,0,6286682,"","2","13",49500
"client gift",24,33,138,28687,"","2","11","N/A"
"classroom gift",1,0,0,222073,"","2","14","N/A"
"coffee gift",0,0,0,1644084,"","2","11",6600
"hygge gift",3,0,0,22508,"","2","10","N/A"
"administrative gift",0,0,0,4168,"","1","19","N/A"
"pizza gift",6,1,17,29416,"","1","10","N/A"
"dinner gift",1,0,0,122278,"","1","11","N/A"
"staff gift",1,0,0,125660,"","1","10","N/A"
"gift wrapping",0,0,0,374898,"","1","13",14800
"gift giving",0,0,0,103654,"","1","11","N/A"
"sunshine gift",1,0,0,59590,"","1","13",320
"principal gift",0,0,0,21889,"","1","14",1600
"simple gift",1,0,0,253349,"","1","11","N/A"
"planner gift",0,0,0,299033,"","1","12","N/A"
"entrepreneur gift",2,0,0,21985,"","1","17",320
"pride gift",0,0,0,376172,"","1","10","N/A"
"rainbow gift",3,0,0,712876,"","1","12",720
"holiday gift",0,0,0,3250787,"","1","12","N/A"
"welcome gift",28,39,139,329452,"","1","12","N/A"
"feminist gift",7,1,14,133471,"","1","13",260
"socks gift",2,0,0,87285,"","1","10","N/A"
"teenager gift",5,1,20,45565,"","1","13","N/A"
"fun gift",14,5,36,991200,"","1","8",12100
"volunteer gift",3,0,0,17350,"","1","14",390
"besties gift",3,0,0,45114,"","1","12","N/A"
"lotion gift",6,0,0,12883,"","1","11","N/A"
"ministering gift",0,0,0,7947,"","1","16","N/A"
"promotion gift",0,0,0,41798,"","1","14",320
"work gift",4,0,0,314013,"","1","9",590
"professional gift",2,0,0,68418,"","1","17",260
"comfort gift",3,0,0,1393082,"","1","12",1000
"friendversary gift",0,0,0,93,"","1","18","N/A"
"paramedic gift",7,1,14,11513,"","1","14","N/A"
"student gift",1,0,0,501924,"","1","12","N/A"
"halloween gift",0,0,0,1612284,"","1","14","N/A"
"religious gift",18,11,61,777982,"","1","14",2400
"bible gift",13,7,54,469896,"","1","10",1600
"mentor gift",8,1,13,21770,"","1","11",880
"espresso gift",5,1,20,32353,"","1","13","N/A"
"affordable gift",3,0,0,52068,"","1","15",390
"relaxing gift",4,0,0,72438,"","1","13","N/A"
"productivity gift",2,0,0,5958,"","1","17","N/A"
"succulent gift",0,0,0,76443,"","1","14",1000
"gift for him",23968,24233,101,2176606,"","2","12",27100
"baby shower gift",5915,5945,101,1391561,"","1","16",0
"self care gift",5230,6608,126,182328,"","6","14",4400
"best friend gift",4338,4492,104,430257,"","3","16",1300
"gift for men",4294,4655,108,8800304,"","1","12",14800
"gift card holder",1803,1886,105,122003,"","3","16",8100
"christmas gift tags",1509,1461,97,268363,"","1","19",6600
"white elephant gift",1172,1591,136,84987,"","2","19","N/A"
"thank you gift",1114,1214,109,451014,"","14","14",9900
"birthday gift box",941,965,103,176500,"","1","17",1900
"coffee lover gift",779,969,124,609485,"","1","17",2400
"gift for friend",762,789,104,1075325,"","4","15",1900
"spa gift box",756,772,102,23446,"","3","12",390
"christmas gift wrap",754,964,128,217092,"","2","19","N/A"
"printable gift tags",674,673,100,249836,"","4","19",1600
"spa gift basket",686,682,99,10745,"","1","15",3600
"long distance gift",619,682,110,43349,"","1","18",1900
"best man gift",593,735,124,401843,"","1","13",3600
"christmas gift ideas",547,546,100,672238,"","2","20",60500
"holiday gift tags",333,368,111,146496,"","1","17",590
"christmas gift tag",305,298,98,267798,"","5","18",6600
"retirement gift box",301,295,98,5556,"","1","19",110
"mens birthday gift",284,112,39,1551048,"","1","18",6600
"small gift box",259,341,132,32010,"","3","14",1600
"cozy gift box",257,275,107,11954,"","3","13",90
"gift for daughter",259,273,105,476366,"","1","17",5400
"tea lover gift",231,287,124,181789,"","1","14",4400
"winter gift box",243,313,129,21203,"","1","15","N/A"
"hygge gift box",216,314,145,4939,"","3","14","N/A"
"holiday gift box",213,211,99,75834,"","1","16","N/A"
"work bestie gift",201,194,97,17204,"","5","16",390
"funny friend gift",199,186,93,280955,"","1","17",1300
"funny boss gift",203,200,99,58132,"","1","15",1300
"holiday gift set",190,188,99,148818,"","1","16","N/A"
"corporate gift box",180,259,144,6268,"","5","18",720
"birthday gift wrap",128,189,148,154294,"","1","18","N/A"
