"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"crochet",42018,52270,124,1470718,"77","36","7",246000
"crochet pattern",28468,22918,81,600496,"66","44","15",90500
"crochet patterns",21903,19444,89,600807,"72","5","16",90500
"crochet blanket",15976,10014,63,107641,"41","4","15",27100
"crochet bag",4404,5458,124,104434,"69","2","11",18100
"crochet flowers",4354,5177,119,88618,"65","0","15",33100
"crochet cardigan",3623,3710,102,27739,"44","3","16",12100
"crochet sweater",3336,4042,121,60064,"63","4","15",14800
"crochet keychain",2900,3540,122,36666,"55","2","16",8100
"crochet animals",2863,2917,102,240897,"96","3","15",14800
"crochet hat",2377,3027,127,164008,"92","0","11",18100
"blanket crochet",1893,989,52,107642,"88","0","15",27100
"crochet top",1711,1875,110,64347,"79","3","11",22200
"crochet gifts",1636,2048,125,426807,"100","0","13",6600
"crochet kit",1634,1775,109,493403,"100","0","11",33100
"crochet flower",1596,1770,111,89372,"87","3","14",33100
"crochet bouquet",1555,1709,110,10659,"42","0","15",3600
"crochet doll",1514,1811,120,189545,"100","0","12",5400
"amigurumi crochet",1387,385,28,319078,"100","0","17",5400
"crochet hooks",1381,1574,114,32692,"69","0","13",74000
"crochet beanie",1298,1766,136,61258,"84","2","14",12100
"halloween crochet",1173,1203,103,76573,"91","0","17",1300
"mosaic crochet",1151,1568,136,7757,"41","3","14",6600
"crochet sunflower",1130,1194,106,13970,"55","0","17",2900
"crochet plushie",1058,984,93,98182,"98","1","15",8100
"crochet purse",1033,1146,111,70389,"92","1","13",6600
"crochet bandana",993,1021,103,5792,"38","2","15",6600
"crochet bunny",948,672,71,30203,"75","1","13",6600
"crochet dress",937,1112,119,40774,"82","1","13",18100
"crochet plushies",930,1025,110,162450,"100","0","16",8100
"crochet amigurumi",924,793,86,320265,"100","0","17",6600
"crochet christmas",923,1255,136,230707,"100","0","17",1000
"crochet shorts",910,1192,131,3019,"26","0","14","N/A"
"crochet cat",908,1279,141,41769,"83","0","11","N/A"
"baby crochet",877,175,20,334486,"100","0","12","N/A"
"crochet bear",869,1094,126,29597,"77","0","12",3600
"crochet dolls",865,979,113,188498,"100","0","13",5400
"crochet tools",788,733,93,742997,"100","0","13",3600
"crochet hook",788,1061,135,42793,"87","0","12",74000
"crochet shawl",767,760,99,30472,"80","0","13",6600
"custom crochet",713,922,129,43555,"89","0","14",260
"crochet accessories",712,683,96,219507,"100","0","19",2900
"crochet ring",711,895,126,9677,"57","0","12","N/A"
"crochet turtle",695,689,99,12253,"62","0","14",6600
"pokemon crochet",693,934,135,7829,"53","0","15",1600
"christmas crochet",615,758,123,230418,"100","0","17",1600
"crochet scarf",614,570,93,66876,"100","2","13",12100
"crochet blankets",593,500,84,107471,"100","0","16",27100
"hanjan crochet",586,567,97,87,"1","1","14",880
"crochet pokemon",585,723,124,7968,"57","1","15","N/A"
"crochet tapestry",580,734,127,117652,"100","0","16",12100
"crochet labubu",514,614,119,747,"8","0","14",2900
"crochet plush",511,549,107,109874,"100","1","13",8100
"crochet keychains",503,378,75,36720,"93","0","17","N/A"
"crochet yarn",503,574,114,253280,"100","0","12",27100
"crochet dragon",486,719,148,13554,"72","0","14",5400
"crochet coasters",483,615,127,19896,"81","1","16",18100
"crochet kits",483,461,95,488468,"100","0","12",33100
"crochet earrings",452,571,126,15062,"76","0","16",2900
"crochet bags",449,472,105,104350,"100","0","12",18100
"crochet balaclava",438,505,115,1520,"27","0","17",2900
"crochet horse",430,361,84,5425,"55","0","13",1900
"crochet cow",428,483,113,12707,"74","0","11",4400
"crochet capybara",428,443,104,1364,"25","1","16",1600
"crochet toys",424,571,135,266678,"100","1","12",1300
"crochet beret",422,628,149,4405,"51","0","13","N/A"
"crochet frog",415,519,125,11322,"72","0","12",5400
"anime crochet",409,358,88,6680,"61","0","13",390
"capybara crochet",405,400,99,1398,"27","1","16",1000
"crochet handbag",397,332,84,28112,"93","0","15",2900
"crochet scrunchie",396,161,41,5189,"56","0","17",5400
"crochet clothes",396,121,31,44870,"100","1","15",4400
"crochet basket",394,389,99,19073,"84","1","14",4400
"tapestry crochet",380,231,61,118205,"100","0","16",12100
"labubu crochet",365,230,63,735,"15","0","14","N/A"
"crochet supplies",360,377,105,552158,"100","0","16",4400
"crochet elephant",360,316,88,8061,"68","0","16",2400
"crochet pumpkin",358,258,72,27557,"94","0","15","N/A"
"crochet coaster",352,455,129,19898,"88","0","15",18100
"crochet sweaters",350,515,147,60146,"100","0","16",14800
"crochet plant",337,380,113,18275,"87","0","13",3600
"cat crochet",331,330,100,41868,"100","0","11",1300
"spongebob crochet",316,309,98,199,"1","0","17","N/A"
"bee crochet",308,98,32,12478,"80","0","11","N/A"
"crochet dinosaur",303,296,98,10468,"77","0","16",5400
"crochet dog",294,406,138,27543,"99","0","11",2900
"jolteon crochet",293,439,150,137,"1","0","15","N/A"
"keffiyeh crochet",293,439,150,13,"1","0","16","N/A"
"crochet bat",292,275,94,6628,"68","0","11","N/A"
"crochet pouch",288,195,68,16699,"88","2","13",1600
"dog crochet",285,324,114,27307,"99","0","11",720
"crochet skirt",277,398,144,9601,"77","2","13",6600
"turtle crochet",274,281,103,12358,"83","1","14",6600
"positive crochet",270,210,78,2418,"48","0","16","N/A"
"crochet shark",262,54,21,2384,"48","1","13",1900
"crochet jacket",259,380,147,18041,"92","0","14","N/A"
"luffy crochet",253,377,149,203,"1","0","13","N/A"
"crochet valentine",253,189,75,34435,"100","0","17",1000
"crochet blanket pattern",9209,8448,92,59733,"41","0","23",49500
"crochet pattern amigurumi",5631,1828,32,193527,"77","0","25",12100
"crochet sweater pattern",3672,4183,114,31784,"47","0","23",14800
"amigurumi crochet pattern",3598,2498,69,194303,"87","0","25",12100
"crochet blanket patterns",3095,2507,81,59753,"64","0","24",49500
"crochet flower bouquet",2717,3581,132,9441,"27","0","22",12100
"crochet cardigan pattern",2563,2883,112,19837,"44","0","24",12100
"crochet patterns amigurumi",2472,1359,55,191667,"94","0","26",12100
"crochet baby blanket",2349,2327,99,55274,"69","1","20",0
"crochet bag pattern",2055,2305,112,30239,"58","2","19",14800
"crochet hedgehog pattern",1830,1585,87,1258,"1","0","24",590
"alpine crochet blanket",1632,2447,150,70,"1","0","22","N/A"
"cat crochet pattern",1602,1524,95,19089,"54","0","19",8100
"halloween crochet pattern",1549,1604,104,37061,"69","0","25",90
"dinosaur crochet pattern",1440,1470,102,4820,"26","0","24",5400
"bear crochet pattern",1426,277,19,16401,"53","1","20",2900
"crochet stuffed animals",1397,1398,100,164296,"100","0","23",8100
"crochet hat pattern",1388,1655,119,51172,"78","0","19",18100
"baby blanket crochet",1362,676,50,55177,"80","0","20",0
"crochet top pattern",1358,1487,109,30164,"67","1","19",8100
"crochet bear pattern",1353,427,32,16332,"54","0","20",2900
"capybara crochet pattern",1336,1328,99,803,"1","1","24",1000
"crochet amigurumi pattern",1253,1213,97,191149,"100","0","25",12100
"christmas crochet pattern",1235,1129,91,97377,"95","0","25",140
"bee crochet pattern",1233,1261,102,4627,"29","0","19",2400
"520 crochet pattern",1218,522,43,13,"1","0","19","N/A"
"turtle crochet pattern",1216,1408,116,4572,"29","0","22",4400
"tapestry crochet pattern",1167,592,51,22613,"64","0","24",6600
"crochet pattern blanket",1152,1072,93,54846,"84","0","23",49500
"bluey crochet pattern",1131,1141,101,465,"1","0","21",1000
"crochet bucket hat",1120,514,46,13598,"54","0","18",8100
"crochet dinosaur pattern",1114,1120,101,4821,"32","0","24",5400
"filet crochet pattern",1084,1191,110,6028,"37","0","21",5400
