"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"dance mom",294,287,98,35497,"","25","9",135000
"dance mom sweatshirt",351,378,108,8045,"","12","20",320
"dance mom shirt",328,334,102,20748,"","43","15",1600
"dance mom png",234,248,106,6299,"","15","13",110
"dance mom svg",187,123,66,5371,"","13","13",210
"dance mom files",98,73,74,4845,"","0","15","N/A"
"dance mom shirts",28,1,4,19118,"","2","16",1600
"halloween dance mom",26,0,0,1587,"","0","19","N/A"
"funny dance mom svg",240,267,111,701,"","0","19","N/A"
"dance mom embroidery files",86,0,0,0,"","0","26","N/A"
"dance mom castle png",43,63,147,0,"","0","20","N/A"
"dance mom sweatshirt customizable",23,33,143,0,"","0","33","N/A"
"life of a dance mom",127,189,149,5662,"","0","19","N/A"
"custom trucker hats dance mom",84,0,0,0,"","0","29","N/A"
"dance mom gift mothers day",31,45,145,5680,"","0","26",0
"dance mom iron on patch",22,32,145,0,"","0","23",10
"dance mom sweatshirt with kids name",26,39,150,497,"","0","35","N/A"
"mom",6212,8201,132,4364215,"","2","3",368000
"mom dance",0,0,0,33366,"","1","9","N/A"
"dance",2808,3038,108,469269,"","9","5",246000
"dance mom hoodie",6,1,17,1944,"","2","16",70
"senior dance mom",4,0,0,1042,"","5","16",10
"dance mom gift",3,0,0,25174,"","32","14",140
"funny dance mom",3,0,0,5593,"","3","15","N/A"
"dance mom tumbler",3,0,0,1304,"","2","17",20
"dance mom sweater",3,0,0,2959,"","2","17",70
"dance mom tshirt",2,0,0,12826,"","11","16","N/A"
"dance mom era",2,0,0,4041,"","5","13","N/A"
"dance mom gifts",2,0,0,24822,"","2","15",140
"dance mom tee",1,0,0,12315,"","10","13","N/A"
"dance team mom",1,0,0,7580,"","4","14","N/A"
"dance mom design",1,0,0,3487,"","3","16","N/A"
"dance mom crewneck",1,0,0,2512,"","2","18","N/A"
"dance mom apparel",1,0,0,1105,"","2","17","N/A"
"glitter dance mom",1,0,0,1239,"","1","17",0
"irish dance mom",1,0,0,358,"","1","15","N/A"
