"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"furry",18599,22988,124,73761,"30","48","5",0
"furry head",2804,3538,126,5078,"13","4","10",0
"furry mask",1919,1750,91,5184,"22","1","10",0
"furry paws",1911,2310,121,5047,"21","0","10",0
"furry stickers",1350,1308,97,7016,"36","2","14",0
"furry accessories",1328,1522,115,19191,"58","3","17",0
"furry art",1212,1649,136,26072,"67","17","9",0
"furry sticker",1203,952,79,7015,"38","3","13",0
"furry tail",1201,1336,111,3249,"22","1","10",0
"furry shirt",880,1083,123,5811,"41","4","11",0
"furry adopt",864,1107,128,7616,"47","6","11",0
"furry badge",766,1095,143,3265,"31","3","11","N/A"
"furry collar",717,594,83,1412,"15","0","12",0
"furry commission",688,679,99,3998,"38","4","16",0
"furry pin",564,585,104,2784,"35","0","9",0
"fat furry",402,378,94,353,"1","0","9",0
"furry plush",361,297,82,3083,"47","2","11","N/A"
"furry badges",309,166,54,3316,"52","1","12",0
"furry adoptable",297,296,100,7644,"71","2","15","N/A"
"furry items",296,441,149,200,"1","0","11","N/A"
"furry scrunchy",293,0,0,109,"1","0","14","N/A"
"furry dakimakura",264,391,148,170,"1","0","16","N/A"
"furry patch",258,170,66,2308,"48","0","11",0
"furry figure",255,336,132,420,"11","0","12","N/A"
"furry plushie",255,0,0,651,"20","0","13","N/A"
"furry mold",246,367,149,0,"","0","10","N/A"
"custom furry",231,203,88,9064,"80","1","12","N/A"
"furry suit",228,221,97,927,"30","0","10",0
"furry ears",228,196,86,3541,"60","2","10",0
"furry figurine",226,246,109,1204,"36","0","14","N/A"
"furry keychains",210,314,150,2159,"51","2","15","N/A"
"furry onesie",209,314,150,106,"1","0","12","N/A"
"furry acceosires",184,0,0,0,"","0","16","N/A"
"vore furry",180,0,0,0,"","0","10","N/A"
"telegram furry",173,260,150,205,"4","0","14","N/A"
"furry mousepad",161,33,20,336,"16","0","14",0
"furry feet",155,161,104,370,"19","0","10","N/A"
"furry base",149,108,72,2696,"63","12","10",0
"furry ych",149,161,108,1551,"51","4","9","N/A"
"gay furry",147,214,146,956,"41","0","9","N/A"
"furry harness",143,100,70,131,"1","0","13","N/A"
"dog furry",141,210,149,16714,"100","2","9","N/A"
"furry wolf",135,201,149,5044,"79","0","10",0
"furry pins",135,99,73,2916,"67","0","10",0
"furry pngtuber",133,183,138,479,"28","0","14",0
"sexy furry",130,63,48,1611,"55","0","10","N/A"
"vtuber furry",129,181,140,1609,"55","0","12",0
"furry shirts",128,189,148,5870,"83","0","12","N/A"
"adoptables furry",128,152,119,6932,"87","0","16",0
"furry sex",128,189,148,377,"23","0","9",0
"furry sheath",128,0,0,4,"1","0","12",0
"furry nsfw",128,135,105,1241,"49","0","10",0
"seal furry",127,190,150,0,"","0","10","N/A"
"bunny furry",126,0,0,2019,"60","0","11","N/A"
"furry keychain",125,101,81,2103,"61","4","14","N/A"
"inflation furry",123,183,149,20,"1","0","15","N/A"
"furry fox",123,80,65,4024,"76","0","9","N/A"
"furry adoptables",122,178,146,7016,"88","2","16",0
"pngtuber furry",116,1,1,359,"25","0","14","N/A"
"furry masturbator",111,0,0,1,"1","0","17",0
"furry butt",110,128,116,162,"8","0","10","N/A"
"furry commissions",106,94,89,3665,"77","1","17","N/A"
"furry helmet",105,158,150,173,"11","0","12","N/A"
"furry hats",103,152,148,3468,"76","0","10","N/A"
"knot furry",103,151,147,0,"","0","10",0
"furry body",102,0,0,0,"","0","10","N/A"
"furry png",101,73,72,1943,"64","0","9","N/A"
"furry vtuber",94,107,114,1609,"62","2","12",0
"furry oc",94,0,0,4362,"83","3","8","N/A"
"furry pfp",93,129,139,237,"20","1","9","N/A"
"furry headwear",86,0,0,0,"","0","14","N/A"
"furry stuff",86,122,142,1855,"67","0","11",0
"furry costume",81,54,67,12148,"100","2","13",0
"furry overlays",74,0,0,130,"12","0","14","N/A"
"furry prop",70,76,109,825,"54","1","10",0
