"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"grandma",97,95,98,667986,"","13","7",110000
"grandma gift",3755,3840,102,550158,"","20","12",8100
"grandma gifts",3434,3471,101,549668,"","3","13",8100
"grandma sweatshirt",1885,2274,121,92853,"","6","18",3600
"grandma blanket",1264,1382,109,18257,"","0","15",720
"grandma necklace",1232,1239,101,33319,"","0","16",4400
"grandma bracelet",1208,1197,99,14355,"","0","16",1900
"grandma mug",1114,1041,93,55369,"","3","11",1600
"grandma shirt",1103,1176,107,214139,"","9","13",2900
"grandma jewelry",1035,1048,101,65489,"","0","15",1600
"grandma svg",895,1015,113,30670,"","3","11",320
"grandma ornament",788,720,91,38252,"","1","16","N/A"
"grandma png",630,733,116,43391,"","0","11",720
"new grandma",479,472,99,109207,"","3","11",480
"dog grandma",384,392,102,15023,"","0","11","N/A"
"grandma frame",291,284,98,13701,"","0","13",1600
"for grandma",234,224,96,638563,"","0","11","N/A"
"grandma keychain",208,201,97,5966,"","1","16",170
"grandma journal",208,190,91,7906,"","0","15",170
"great grandma",206,193,94,23014,"","1","13",4400
"grandma apron",204,199,98,5260,"","0","13",390
"sentimental grandma",192,187,97,6301,"","0","19","N/A"
"grandma crewneck",179,132,74,28505,"","1","16",110
"grandma tshirts",170,0,0,128244,"","0","15",10
"personalized grandma",144,147,102,227754,"","5","20","N/A"
"grandma shirts",134,78,58,204472,"","0","14",2900
"best grandma",129,188,146,59209,"","1","12","N/A"
"grandma grandkids",127,189,149,48963,"","0","17","N/A"
"grandma garden",116,165,142,40231,"","0","14",590
"sublimation grandma",112,83,74,27126,"","0","19","N/A"
"grandma tshirt",112,111,99,149104,"","0","14",2900
"grandma book",108,101,94,10906,"","0","12",590
"grandma tumbler",107,98,92,18829,"","0","15",170
"grandma candle",104,101,97,7600,"","1","14",210
"grandma christmas",103,76,74,191869,"","3","17","N/A"
"grandma necklaces",103,96,93,31287,"","0","17",4400
"grandma blankets",103,97,94,17583,"","0","16",720
"grandma ring",102,95,93,10135,"","0","12",1000
"grandma card",101,100,99,48856,"","0","12",590
"grandma gnome",98,94,96,1948,"","0","13","N/A"
"grandma definition",97,95,98,3476,"","0","18","N/A"
"grandma candles",95,93,98,7290,"","0","15","N/A"
"grandma grandkid",93,92,99,48720,"","0","16","N/A"
"sheshe grandma",93,0,0,7,"","0","14","N/A"
"vikings grandma",52,39,75,0,"","0","15","N/A"
"grandma cup",49,64,131,32537,"","0","11",320
"grandma present",49,64,131,39802,"","0","15",320
"grandma again",38,52,137,1603,"","0","13",70
"grandma cookies",28,39,139,5845,"","0","15",40500
"grandma disney",27,20,74,2657,"","0","14","N/A"
"perfect grandma",26,39,150,10053,"","0","15","N/A"
"grandma things",24,20,83,1580,"","1","14",140
"proud grandma",23,19,83,6841,"","0","13","N/A"
"mom grandma great grandma svg",118,0,0,535,"","0","29","N/A"
"gifts for grandma",3146,3230,103,548254,"","4","17",22200
"gift for grandma",1486,1459,98,549864,"","17","16",3600
"new grandma gift",948,978,103,104924,"","10","16",1000
"new grandma gifts",818,816,100,104031,"","0","17",1000
"great grandma gifts",798,858,108,20475,"","0","19",2400
"personalized grandma gifts",693,573,83,208898,"","0","26",4400
"grandma birthday gift",658,650,99,188149,"","0","21",4400
"grandma christmas gift",517,527,102,178441,"","0","22","N/A"
"grandma jewelry gift",502,500,100,49659,"","0","20",480
"great grandma mug",400,397,99,3088,"","0","17",170
"great grandma sweatshirt",345,362,105,4026,"","0","24",320
"great grandma gift",333,247,74,20657,"","3","18",2400
"mothers day grandma",304,303,100,211149,"","1","19",720
"grandma birthstone bracelet",303,296,98,3081,"","0","27",1300
"grandma birthstone necklace",302,295,98,8118,"","0","27",390
"grandma christmas gifts",301,286,95,165873,"","0","23","N/A"
"promoted to grandma",296,381,129,20245,"","6","19",480
"grandma mothers day",277,231,83,239897,"","0","19",390
"grandma charm bracelet",228,334,146,5614,"","0","22",590
"embroidered grandma sweatshirt",213,315,148,8922,"","0","30","N/A"
"groovy grandma shirt",210,315,150,1573,"","0","20",10
"grandma gift ideas",204,199,98,52008,"","0","18",5400
"necklace for grandma",203,184,91,32438,"","0","20",4400
"unique grandma gift",203,200,99,40310,"","0","19",880
"christmas gifts grandma",203,200,99,141390,"","0","23",8100
"personalized grandma gift",202,195,97,216909,"","0","25",4400
"grandma gifts christmas",201,200,100,160746,"","0","23","N/A"
"grandma memory book",201,194,97,1349,"","0","19",320
"grandma cutting board",200,193,97,5276,"","0","21",70
"christmas gift grandma",199,189,95,171741,"","0","22","N/A"
"grandma personalized gifts",198,192,97,208898,"","0","26",4400
"grandma coffee mug",198,193,97,34200,"","0","18",480
"jewelry for grandma",197,193,98,63820,"","0","19",590
"custom grandma gift",196,191,97,201155,"","4","19",480
"grandma tote bag",188,157,84,12033,"","1","16",210
"custom grandma sweatshirt",171,252,147,45810,"","0","25","N/A"
"grandma garden stone",145,174,120,1191,"","1","20",90
"personalized grandma sweatshirt",132,191,145,37588,"","0","31","N/A"
"grandma svg shirt",128,189,148,17226,"","0","17","N/A"
"grandma mug wrap",128,189,148,993,"","0","16","N/A"
"grandma grandkids ornament",126,0,0,2767,"","0","26","N/A"
"custom grandma embroidery",126,188,149,0,"","0","25","N/A"
"grandma claus download",126,188,149,0,"","0","22",0
"first time grandma",118,107,91,12791,"","1","18",390
"grandma svg bundle",109,0,0,3437,"","0","18","N/A"
"bracelet for grandma",108,101,94,13445,"","0","20",1900
"grandma woven blanket",108,101,94,2770,"","0","21",0
"grandma picture frame",108,101,94,5977,"","0","21",1600
"custom grandma gifts",105,100,95,157461,"","0","20",480
"best grandma gifts",105,98,93,55500,"","0","18",880
"football grandma svg",104,100,96,1897,"","0","20","N/A"
"personalized grandma blanket",103,97,94,10137,"","0","28",720
"cute grandma sweatshirts",103,152,148,13691,"","0","24","N/A"
"grandma gift christmas",103,102,99,162136,"","0","22","N/A"
"birthstone bracelet grandma",103,97,94,0,"","0","27",1300
"blanket for grandma",103,88,85,17291,"","0","19",720
"grandma anniversary gift",100,100,100,32076,"","0","24","N/A"
"grandma est 2026",99,94,95,673,"","0","16",90
"custom grandma bracelet",99,98,99,4264,"","0","23","N/A"
"grandma christmas ornament",98,94,96,29479,"","0","26","N/A"
"great grandma ornament",98,95,97,1161,"","0","22",90
"mom grandma gift",98,119,121,272448,"","0","16",320
"grandma gifts personalized",96,10,10,199693,"","0","26","N/A"
"football grandma png",94,93,99,2089,"","0","20",10
"grandma code svg",85,0,0,7,"","0","16",0
"grandma hoodie sweatshirt",85,0,0,20005,"","0","25","N/A"
"grandma core tote",84,0,0,203,"","0","17","N/A"
"1 grandma tumbler",84,0,0,0,"","0","17","N/A"
"rings for grandma",71,103,145,10211,"","0","17","N/A"
"grandma embroidered sweatshirt",58,81,140,8680,"","0","30","N/A"
"grandma blanket personalized",55,57,104,8983,"","0","28",720
"grandma floral shirt",52,72,138,24393,"","0","20","N/A"
"new grandma mug",49,51,104,12610,"","0","15",30
"volleyball grandma svg",47,49,104,278,"","0","22","N/A"
"trump grandma mug",45,63,140,411,"","0","17","N/A"
"grandma garden sweatshirt",45,63,140,2909,"","0","25","N/A"
"grandma christmas sweatshirt",44,63,143,28838,"","0","28","N/A"
"grandma personalized dtf",44,37,84,0,"","0","24","N/A"
"funny grandma svg",43,63,147,5180,"","0","17","N/A"
"fall grandma sweatshirt",43,64,149,2772,"","0","23","N/A"
"geese grandma png",43,63,147,1528,"","0","17","N/A"
"grandma split design",43,63,147,187,"","0","20",0
"grandma jewelry bracelet",43,0,0,13016,"","0","24","N/A"
