"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"halloween",51923,66116,127,4118370,"95","17","9",1000000
"halloween shirt",19865,28054,141,1246507,"90","8","15",18100
"halloween decor",14365,17293,120,1317768,"98","10","15",165000
"halloween png",9498,12341,130,489210,"86","6","13",3600
"halloween costumes",8813,9888,112,432356,"85","1","18",2240000
"halloween sweatshirt",6053,6950,115,403988,"91","2","20",6600
"halloween headpiece",5818,5853,101,13171,"18","0","19","N/A"
"halloween costume",5637,7678,136,431184,"94","3","17",2240000
"halloween earrings",4017,4377,109,127410,"75","1","18",5400
"vintage halloween",3856,3683,96,473639,"100","2","17",8100
"halloween shirts",3627,3735,103,1384128,"100","1","16",18100
"halloween top",3384,3657,108,216537,"90","0","13",880
"halloween decorations",3208,3194,100,233728,"93","0","21",165000
"halloween svg",2853,3376,118,232058,"96","4","13",2400
"halloween wreath",2474,2721,110,58355,"69","0","16","N/A"
"halloween printable",2309,2074,90,308807,"100","7","19",1600
"halloween mug",2306,3331,144,118518,"86","0","13",5400
"halloween fabric",2073,2128,103,111085,"86","0","16",4400
"halloween jewelry",1968,2147,109,343249,"100","0","17",2400
"halloween gift",1873,2316,124,1612284,"100","8","14","N/A"
"halloween sweatshirts",1733,1719,99,481620,"100","0","21",6600
"halloween sweater",1718,2305,134,163830,"99","1","17",8100
"halloween candles",1688,1771,105,58335,"77","0","17",5400
"halloween nails",1639,1691,103,22780,"57","0","15","N/A"
"halloween party",1552,1701,110,1145292,"100","13","15",27100
"disney halloween",1498,1451,97,218825,"100","1","16",18100
"halloween mugs",1497,1446,97,134337,"98","0","14",5400
"halloween art",1482,1531,103,1267485,"100","0","13",8100
"halloween gifts",1434,1504,105,1720190,"100","0","15",3600
"halloween blanket",1423,1993,140,33661,"69","0","17",9900
"halloween tumbler",1312,1752,134,129188,"100","0","17",2900
"halloween stickers",1281,1700,133,183040,"100","0","18",6600
"halloween hoodie",1248,1792,144,118551,"99","0","16","N/A"
"halloween masks",1207,1141,95,45038,"79","0","15",33100
"halloween clipart",1203,1338,111,198797,"100","2","17",40500
"halloween ornament",1182,1754,148,61089,"86","0","18",2400
"halloween crochet",1173,1203,103,76573,"91","1","17",1300
"halloween tshirts",1163,1406,121,950596,"100","0","17",90
"halloween wreaths",1011,1001,99,58564,"88","0","17","N/A"
"halloween flag",1008,1509,150,29066,"73","0","14","N/A"
"halloween overlay",975,1457,149,13015,"56","0","17","N/A"
"shirt halloween",968,697,72,1400004,"100","0","15","N/A"
"tshirt halloween",932,1356,145,954292,"100","0","16",110
"pink halloween",919,1106,120,287450,"100","0","14",3600
"halloween mask",902,1007,112,45206,"85","0","14",33100
"halloween tee",885,1210,137,979785,"100","1","13",720
"halloween keychain",843,738,88,55628,"91","0","18","N/A"
"halloween charms",829,1189,143,82384,"100","0","16",1300
"halloween embroidery",807,997,124,129398,"100","3","20",480
"halloween stream",806,378,47,12862,"60","0","16","N/A"
"halloween basket",806,956,119,32890,"81","1","16",9900
"halloween emotes",803,708,88,12030,"59","0","16",140
"halloween garland",778,808,104,15034,"64","0","17",6600
"halloween bingo",768,988,129,6655,"47","1","15",4400
"halloween poster",702,698,99,96693,"100","2","16",5400
"halloween bookmarks",699,746,107,17522,"70","0","19","N/A"
"halloween bag",693,781,113,215864,"100","1","13","N/A"
"baby halloween",675,847,125,209950,"100","1","14","N/A"
"halloween cards",668,543,81,419884,"100","0","15",4400
"halloween doormat",658,918,140,12785,"64","0","17","N/A"
"halloween necklace",637,629,99,59272,"98","0","18",1000
"halloween cups",598,560,94,112745,"100","0","14","N/A"
"halloween suncatcher",598,894,149,20615,"77","0","20","N/A"
"halloween nurse",597,890,149,85226,"100","0","15",390
"halloween jacket",593,887,150,14627,"70","0","16","N/A"
"halloween bags",583,535,92,218352,"100","0","14",5400
"halloween prints",571,633,111,673704,"100","0","16",1600
"labubu halloween",569,845,149,2839,"35","0","16","N/A"
"halloween birthday",564,647,115,490718,"100","2","18",2900
"halloween invitation",552,606,110,95699,"100","4","20","N/A"
"halloween quilt",548,797,145,78041,"100","0","15",1900
"twitch halloween",503,621,123,20532,"81","0","16","N/A"
"halloween lights",498,452,91,10771,"67","0","16",14800
"halloween sign",488,385,79,145476,"100","0","14",3600
"halloween tote",479,390,81,68326,"100","0","14","N/A"
"halloween disney",478,610,128,224731,"100","1","16",2900
"halloween decoration",474,526,111,235053,"100","1","20",165000
"halloween flyer",472,454,96,12507,"71","0","15","N/A"
"halloween sweaters",459,445,97,193113,"100","0","18",8100
"cute halloween",455,673,148,1076814,"100","1","14",12100
"halloween digital",455,498,109,937553,"100","0","17","N/A"
"teacher halloween",452,673,149,137119,"100","1","17","N/A"
"halloween beads",449,404,90,85941,"100","0","15",880
"halloween ornaments",443,490,111,63588,"100","0","19","N/A"
"halloween bracelet",438,481,110,33260,"94","0","18","N/A"
"halloween bundle",438,650,148,136110,"100","1","16","N/A"
"dachshund halloween",437,651,149,8013,"63","0","19","N/A"
"halloween handprint",432,628,145,4945,"53","0","19",320
"halloween crewneck",430,486,113,160512,"100","2","18",880
