"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"nurse",7346,8275,113,0,"","0","5","N/A"
"nurse shirt",6722,8145,121,0,"","0","11","N/A"
"nurse sweatshirt",3188,3481,109,0,"","0","16","N/A"
"nurse gifts",2444,2524,103,0,"","0","11","N/A"
"nurse png",1945,1950,100,0,"","0","9","N/A"
"nurse jacket",1916,2158,113,0,"","0","12","N/A"
"nurse gift",1560,1601,103,0,"","0","10","N/A"
"nurse shirts",1558,1421,91,0,"","0","12","N/A"
"nurse accessories",1481,1307,88,0,"","0","17","N/A"
"nurse necklace",1290,1251,97,0,"","0","14","N/A"
"nurse sweater",1040,1088,105,0,"","0","13","N/A"
"nurse svg",1032,989,96,0,"","0","9","N/A"
"nurse tshirt",1024,1127,110,0,"","0","12","N/A"
"nurse headbands",997,994,100,0,"","0","15","N/A"
"school nurse",965,932,97,0,"","0","12","N/A"
"nicu nurse",941,1015,108,0,"","0","10","N/A"
"nurse ornament",806,867,108,0,"","0","14","N/A"
"nurse practitioner",799,796,100,0,"","0","18","N/A"
"nurse headband",741,749,101,0,"","0","14","N/A"
"nurse crewneck",730,774,106,0,"","0","14","N/A"
"registered nurse",704,740,105,0,"","0","16","N/A"
"nurse jewelry",679,667,98,0,"","0","13","N/A"
"nurse bag",620,611,99,0,"","0","9","N/A"
"nurse sweatshirts",611,604,99,0,"","0","17","N/A"
"halloween nurse",597,890,149,0,"","0","15","N/A"
"nurse journal",545,544,100,0,"","0","13","N/A"
"nurse retirement",529,540,102,0,"","0","16","N/A"
"nurse mug",497,515,104,0,"","0","9","N/A"
"nurse badge",443,314,71,0,"","0","11","N/A"
"nurse tumbler",433,351,81,0,"","0","13","N/A"
"icu nurse",324,326,101,0,"","0","9","N/A"
"nurse pens",321,324,101,0,"","0","10","N/A"
"nurse graduation",313,302,96,0,"","0","16","N/A"
"nurse candle",283,386,136,0,"","0","12","N/A"
"nurse stickers",279,87,31,0,"","0","14","N/A"
"pediatric nurse",250,306,122,0,"","0","15","N/A"
"flight nurse",218,315,144,0,"","0","12","N/A"
"nurse ring",203,302,149,0,"","0","10","N/A"
"future nurse",200,193,97,0,"","0","12","N/A"
"nurse week",195,192,98,0,"","0","10","N/A"
"funny nurse",179,136,76,0,"","0","11","N/A"
"peds nurse",173,56,32,0,"","0","10","N/A"
"nurse joy",152,207,136,0,"","0","9","N/A"
"nurse dtf",133,189,142,0,"","0","9","N/A"
"nurse christmas",131,137,105,0,"","0","15","N/A"
"nurse tote",126,116,92,0,"","0","10","N/A"
"nurse needs",126,0,0,0,"","0","11","N/A"
"penlight nurse",126,188,149,0,"","0","14","N/A"
"nurse keychain",125,115,92,0,"","0","14","N/A"
"nurse scissors",120,0,0,0,"","0","14","N/A"
"nurse hoodie",118,121,103,0,"","0","12","N/A"
"nurse jackets",114,111,97,0,"","0","13","N/A"
"nurse fleece",108,101,94,0,"","0","12","N/A"
"nurse superlatives",107,101,94,0,"","0","18","N/A"
"nurse clipart",105,96,91,0,"","0","13","N/A"
"nurse card",103,100,97,0,"","0","10","N/A"
"nurse sweaters",100,94,94,0,"","0","14","N/A"
"nurse embroidery",100,93,93,0,"","0","16","N/A"
"christmas nurse",92,131,142,0,"","0","15","N/A"
"student nurse",90,123,137,0,"","0","13","N/A"
"nurse outfit",88,44,50,0,"","0","12","N/A"
"nurse brooch",85,126,148,0,"","0","12","N/A"
"religious nurse",85,0,0,0,"","0","15","N/A"
"nurse jewlery",85,0,0,0,"","0","13","N/A"
"nurse chansey",84,0,0,0,"","0","13","N/A"
"chucky nurse",84,0,0,0,"","0","12","N/A"
"nurse tool",70,103,147,0,"","0","10","N/A"
"nurse halloween",65,77,118,0,"","0","15","N/A"
"nurse brain",58,71,122,0,"","0","11","N/A"
"nurse resume",52,64,123,0,"","0","12","N/A"
"nurse badge reel",4988,5278,106,0,"","0","16","N/A"
"nurse tumbler wrap",1158,1258,109,0,"","0","18","N/A"
"funny nurse shirt",1143,1222,107,0,"","0","17","N/A"
"nicu nurse shirt",1119,1127,101,0,"","0","16","N/A"
"er nurse shirt",1012,857,85,0,"","0","14","N/A"
"nurse practitioner gifts",1008,1022,101,0,"","0","24","N/A"
"nurse retirement gifts",1000,998,100,0,"","0","22","N/A"
"nurse graduation gifts",872,858,98,0,"","0","22","N/A"
"icu nurse shirt",821,831,101,0,"","0","15","N/A"
"nurse badge reels",816,315,39,0,"","0","17","N/A"
"nurse t shirt",789,941,119,0,"","0","13","N/A"
"nurse christmas shirt",783,1120,143,0,"","0","21","N/A"
"school nurse shirt",698,693,99,0,"","0","18","N/A"
"registered nurse shirt",628,656,104,0,"","0","22","N/A"
"nurse graduation gift",628,616,98,0,"","0","21","N/A"
"halloween nurse shirt",607,706,116,0,"","0","21","N/A"
"pediatric nurse shirt",594,521,88,0,"","0","21","N/A"
"christmas nurse shirt",588,783,133,0,"","0","21","N/A"
"nurse halloween shirt",573,809,141,0,"","0","21","N/A"
"embroidered nurse sweatshirt",517,620,120,0,"","0","28","N/A"
"thanksgiving nurse shirt",512,656,128,0,"","0","24","N/A"
"personalized nurse gifts",501,495,99,0,"","0","24","N/A"
"mother baby nurse",494,487,99,0,"","0","17","N/A"
"gift for nurse",492,486,99,0,"","0","14","N/A"
"pediatric nurse sweatshirt",462,586,127,0,"","0","26","N/A"
"badge reel nurse",427,219,51,0,"","0","16","N/A"
"nurse fall shirt",425,634,149,0,"","0","16","N/A"
"nicu nurse sweatshirt",401,390,97,0,"","0","21","N/A"
"funny nurse superlatives",398,391,98,0,"","0","24","N/A"
"funny nurse shirts",306,295,96,0,"","0","18","N/A"
"nurse thanksgiving shirt",304,416,137,0,"","0","24","N/A"
"nurse digital planner",293,439,150,0,"","0","21","N/A"
"nurse accessories women",253,377,149,0,"","0","23","N/A"
"nurse embroidered sweatshirt",246,262,107,0,"","0","28","N/A"
"nurse sweatshirt embroidered",242,348,144,0,"","0","28","N/A"
"nurse tote bag",228,233,102,0,"","0","14","N/A"
"nurse valentine png",219,281,128,0,"","0","19","N/A"
"nurse funny shirt",213,314,147,0,"","0","17","N/A"
"nurse quarter zip",211,204,97,0,"","0","17","N/A"
"nurse practitioner sweatshirt",208,201,97,0,"","0","29","N/A"
