"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"plant lady",6,1,17,42923,"100","18","10",880
"plant lady gift",3,0,0,31401,"100","10","15","N/A"
"plant lady svg",3,0,0,2268,"100","6","14",10
"plant lady gifts",3,0,0,32200,"100","4","16",110
"plant lady shirt",1,0,0,18096,"100","32","16","N/A"
"the plant lady",1,0,0,44821,"100","2","14","N/A"
"plant lady mug",1,0,0,3221,"100","2","14","N/A"
"plant lady sticker",1,0,0,2541,"100","1","18","N/A"
"plant lady decal",1,0,0,1233,"100","1","16",10
"plant lady apparel",1,0,0,1131,"100","1","18","N/A"
"crazy plant lady",0,0,0,9663,"","22","16","N/A"
"plant lady sweater",0,0,0,2240,"","8","18","N/A"
"plant lady png",0,0,0,3283,"","4","14","N/A"
"plant lady tee",0,0,0,15550,"","4","14","N/A"
"plant lady earrings",0,0,0,1226,"","2","19","N/A"
"plant lady tumbler",0,0,0,1726,"","2","18","N/A"
"plant lady cloth",0,0,0,0,"","2","16","N/A"
"plant lady bag",0,0,0,1821,"","1","14","N/A"
"plant lady merch",0,0,0,0,"","1","16","N/A"
"plant lady present",0,0,0,976,"","1","18","N/A"
"christian plant lady",0,0,0,0,"","1","20","N/A"
"botanical plant lady",0,0,0,12231,"","1","20","N/A"
"fall plant lady",0,0,0,0,"","1","15","N/A"
"ghost plant lady",0,0,0,1673,"","1","16","N/A"
"plant lady era",0,0,0,476,"","1","14","N/A"
"plant",6248,8080,129,1904143,"100","2","5",301000
"crazy plant lady mug",1,0,0,1719,"100","3","20","N/A"
"funny plant lady tee",1,0,0,6345,"100","2","20","N/A"
"crazy plant lady tee",0,0,0,3711,"","6","20","N/A"
"crazy plant lady svg",0,0,0,1039,"","2","20","N/A"
"plant lady era shirt",0,0,0,314,"","1","20","N/A"
"plant lady tote bag",0,0,0,1145,"","1","19","N/A"
"plant lady t shirt",0,0,0,15197,"","1","18","N/A"
"retro plant lady tee",0,0,0,975,"","1","20","N/A"
"cat lady shirt",4,0,0,24263,"100","1","14",170
