"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"sourdough",2816,3409,121,0,"","34","9",135000
"sourdough starter",2706,3733,138,0,"","49","17",301000
"sourdough gifts",1483,1647,111,0,"","9","15",1600
"sourdough shirt",1223,1197,98,0,"","13","15",390
"sourdough kit",340,503,148,0,"","7","13","N/A"
"sourdough apron",246,221,90,0,"","0","15",170
"sourdough gift",203,221,109,0,"","11","14",1600
"sourdough tshirt",199,190,95,0,"","5","16",390
"sourdough shirts",199,170,85,0,"","0","16",390
"sourdough accessory",133,14,11,0,"","2","19",1300
"sourdough bread",133,108,81,0,"","24","15",201000
"personalized sourdough",121,177,146,0,"","0","22","N/A"
"sourdough sweatshirt",105,98,93,0,"","4","20",210
"sourdough svg",104,96,92,0,"","0","13",110
"sourdough labels",104,0,0,0,"","0","16",170
"sourdough stickers",78,79,101,0,"","1","18",140
"sourdough set",56,51,91,0,"","0","13","N/A"
"sourdough tools",46,63,137,0,"","0","15","N/A"
"sourdough ornament",45,64,142,0,"","0","18","N/A"
"sourdough bowls",43,64,149,0,"","0","15",8100
"sourdough era",29,34,117,0,"","5","13",140
"sourdough whisk",28,13,46,0,"","1","15","N/A"
"sourdough scorer",23,0,0,0,"","0","16","N/A"
"starter sourdough",22,32,145,0,"","0","17","N/A"
"sourdough party",22,0,0,0,"","0","15","N/A"
"sourdough cover",20,0,0,0,"","0","15","N/A"
"sourdough bread bag",758,827,109,0,"","4","19",1900
"oldest sourdough starter",103,101,98,0,"","0","24",2900
"sourdough cutting board",102,97,95,0,"","0","23",140
"personalized sourdough banneton",93,0,0,0,"","0","31","N/A"
"sourdough bread stamp",87,0,0,0,"","0","21","N/A"
"sourdough starter kit",84,52,62,0,"","0","21","N/A"
"sourdough bread knife",44,0,0,0,"","0","21","N/A"
"sourdough discard crackers",43,0,0,0,"","0","26","N/A"
"sourdough 3d ornament",43,64,149,0,"","0","21","N/A"
"sourdough jar cover",43,0,0,0,"","2","19","N/A"
"sourdough proofing basket",43,63,147,0,"","0","25","N/A"
"sourdough queen sweatshirt",41,0,0,0,"","0","26","N/A"
"dry sourdough starter",39,58,149,0,"","0","21","N/A"
"cute sourdough kit",39,0,0,0,"","0","18","N/A"
"wet sourdough starter",32,44,138,0,"","0","21","N/A"
"sourdough kit personalized",32,46,144,0,"","0","26","N/A"
"personalized sourdough scoring",27,39,144,0,"","0","30","N/A"
"cute sourdough coverings",26,0,0,0,"","0","24","N/A"
"sourdough bread accessories",23,0,0,0,"","0","27","N/A"
"gifts for sourdough bakers",799,823,103,0,"","0","26",1600
"sourdough gifts for women",230,140,61,0,"","0","25","N/A"
"custom sourdough starter jars",127,0,0,0,"","0","29",0
"most delicious sourdough starter",101,0,0,0,"","0","32","N/A"
"in my sourdough era",100,94,94,0,"","2","19",390
"hanukkah wife gift sourdough",73,0,0,0,"","0","28","N/A"
"sourdough starter christmas ornament",43,63,147,0,"","0","36","N/A"
"extremely sour sourdough starter",43,63,147,0,"","0","32","N/A"
"large sourdough starter california",35,52,149,0,"","0","34","N/A"
"active live sourdough starter",30,0,0,0,"","0","29","N/A"
"sourdough bread branding iron",27,0,0,0,"","0","29",10
"beginners guide to sourdough",26,39,150,0,"","0","28",140
"in my sourdough era sweatshirt",132,189,143,0,"","0","30",480
"fresh sourdough starter not dehydrated",73,107,147,0,"","0","38","N/A"
"3d sourdough starter christmas ornament",43,0,0,0,"","0","39",0
"sourdough starter christmas ornament 3d",43,0,0,0,"","0","39","N/A"
"sourdough dealer",7,1,14,0,"","1","16",30
"sourdough png",8,1,13,0,"","1","13",110
"sourdough baking",5,2,40,0,"","8","16","N/A"
