Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"CROCHET PATTERN & VIDEO/ Old Town Tee, Granny Stitch T-Shirt, Top-Down Crochet Pattern, Sizes Xs-5X, Quick crochet project, Women&#39;s Crochet",https://www.etsy.com/listing/4345024679/crochet-pattern-video-old-town-tee,MJsOffTheHookDesigns,https://www.etsy.com/shop/MJsOffTheHookDesigns,16.06,253,4063,-33,1731,141,9 Mo.,1619,16,33094,Craft Supplies & Tools,105,100,5.23,506549,"crochet tee,t-shirt pattern,crochet shirt,summer crochet,crochet top,mjs off the hook,granny stitch,granny shirt pattern,easy crochet,quick crochet,trending crochet,best crochet top,old town tee",crochet tee,t-shirt pattern,crochet shirt,summer crochet,crochet top,mjs off the hook,granny stitch,granny shirt pattern,easy crochet,quick crochet,trending crochet,best crochet top,old town tee
"Coastal Lace Crochet Top Pattern, Summer Crochet Tee, Beginner Beachy Shirt, Lace Crochet Top PDF, XS–5XL, English Only",https://www.etsy.com/listing/4350177827/coastal-lace-crochet-top-pattern,StitchedStone,https://www.etsy.com/shop/StitchedStone,5.45,729,3973,163,2236,175,9 Mo.,7471,19,90549,Craft Supplies & Tools,42,100,2.47,7269,"crochet top,summer tee,lace crochet,beginner pattern,beach shirt,cropped top,crochet pattern,easy crochet,womens tee,shell stitch,digital pdf,cozy summer,lightweight tee",crochet top,summer tee,lace crochet,beginner pattern,beach shirt,cropped top,crochet pattern,easy crochet,womens tee,shell stitch,digital pdf,cozy summer,lightweight tee
Crochet Pattern / Zero-Waste Project Tutorial / Easy Scrappy Crochet Bag / Made From T-shirt Yarn / Upcycled / Remnant Bag Pattern PDF,https://www.etsy.com/listing/4477993954/crochet-pattern-zero-waste-project,MakeAndDoCrew,https://www.etsy.com/shop/MakeAndDoCrew,16.62,163,2709,0,306,26,2 Mo.,444,13,20595,Craft Supplies & Tools,71,100,1.49,133393,"t-shirt yarn pattern,fabric yarn crochet,scrap yarn crochet,rag crochet pattern,crochet around core,zero waste crochet,crochet bag pattern,eco friendly crochet,slow fashion crochet,sustainable crochet,upcycled clothing,stash buster,core crochet",t-shirt yarn pattern,fabric yarn crochet,scrap yarn crochet,rag crochet pattern,crochet around core,zero waste crochet,crochet bag pattern,eco friendly crochet,slow fashion crochet,sustainable crochet,upcycled clothing,stash buster,core crochet
"Custom Baby Crochet Shirt, Pooh and Friends Baby Set, Handmade Crochet Sweater, Personalized Baby Clothing Outfit Gift",https://www.etsy.com/listing/4394129387/custom-baby-crochet-shirt-pooh-and,LoongGift,https://www.etsy.com/shop/LoongGift,70.00,36,2520,0,51,3,7 Mo.,406,0,11781,Art & Collectibles,16,100,0.43,8956,"baby crochet,custom crochet,pooh outfit,piglet outfit,tigger outfit,baby clothing,crochet clothing,babywear outfit,newborn outfit,custom name,cute baby gift,photo prop,baby shower gift",baby crochet,custom crochet,pooh outfit,piglet outfit,tigger outfit,baby clothing,crochet clothing,babywear outfit,newborn outfit,custom name,cute baby gift,photo prop,baby shower gift
Crochet pattern- ALYSSA Crochet top pattern PDF- Women crochet top -2 panels V-neck -Easy crochet shirt short sleeve blouse wearable- XS-3XL,https://www.etsy.com/listing/4377891509/crochet-pattern-alyssa-crochet-top,TheEasyDesign,https://www.etsy.com/shop/TheEasyDesign,9.71,245,2379,-27,1358,103,8 Mo.,3349,13,61442,Craft Supplies & Tools,124,100,2.21,431918,"crochet pattern,crochet patterns,2 rectangles top,crochet blouse pdf,easy crochet shirt,beginner crochet top,crochet top pdf,crochet striped top,crochet tee pattern,crochet top women,short sleeve crochet,top beginner easy,crochet garments",crochet pattern,crochet patterns,2 rectangles top,crochet blouse pdf,easy crochet shirt,beginner crochet top,crochet top pdf,crochet striped top,crochet tee pattern,crochet top women,short sleeve crochet,top beginner easy,crochet garments
The Original Donut Bag (2 SIZES) by bygalk. Beginner-friendly Crochet Bag Pattern with full video tutorial  + step-by-step photo guides,https://www.etsy.com/listing/1845303281/the-donut-bag-2-sizes-by-bygalk-beginner,Bygalk,https://www.etsy.com/shop/Bygalk,14.22,149,2119,-50,2650,170,17 Mo.,2116,10,73517,Craft Supplies & Tools,40,100,3.6,20110,"crochet,crochet bag pattern,easy crochet,trendy crochet bag,crochet ideas,chunky crochet bag,crochet handbag,crochet tutorial,bag crochet video,t-shirt yarn crochet,tutorial for crochet,bag crochet,stylish crochet bag",crochet,crochet bag pattern,easy crochet,trendy crochet bag,crochet ideas,chunky crochet bag,crochet handbag,crochet tutorial,bag crochet video,t-shirt yarn crochet,tutorial for crochet,bag crochet,stylish crochet bag
"Comfort Colors® Sea Life Kawaii Shirt, Jellyfish Octopus Shirt, Beach Shirt, Summer Shirt, Vacation Tee, Print Only — Not a Crochet",https://www.etsy.com/listing/4485279695/comfort-colors-sea-life-kawaii-shirt,FlowerGardenGiftsUS,https://www.etsy.com/shop/FlowerGardenGiftsUS,16.99,118,2005,0,118,41,1 Mo.,61,41,1157,Clothing,59,100,10.2,24686,"cute ocean,sea life shirt,jellyfish shirt,octopus shirt,kawaii shirt,pastel beach,coastal vibes,cute animals,summer vibes,beach vacation,ocean lover,seaside style,vacation shirt",cute ocean,sea life shirt,jellyfish shirt,octopus shirt,kawaii shirt,pastel beach,coastal vibes,cute animals,summer vibes,beach vacation,ocean lover,seaside style,vacation shirt
Lace Blouse Women Puff Sleeve | Crochet Floral Top | Victorian Cottagecore Office Shirt,https://www.etsy.com/listing/4472876343/lace-blouse-women-puff-sleeve-crochet,KnotAndDrape,https://www.etsy.com/shop/KnotAndDrape,63.27,26,1645,0,26,2,2 Mo.,17,1,279,Clothing,2,39,9.32,104,"lace blouse women,puff sleeve blouse,cottagecore top,victorian blouse,crochet lace blouse,women office shirt,dark academia top,pearl button shirt,stand collar blouse,floral lace top,elegant lace shirt,feminine lace top,boho lace blouse",lace blouse women,puff sleeve blouse,cottagecore top,victorian blouse,crochet lace blouse,women office shirt,dark academia top,pearl button shirt,stand collar blouse,floral lace top,elegant lace shirt,feminine lace top,boho lace blouse
"Boho Lace Crochet Top Pattern PDF & VİDEO, Spring/Summer Festival Blouse, V Neck Shirt",https://www.etsy.com/listing/4461490892/boho-lace-crochet-top-pattern-pdf-video,HookedByTugba,https://www.etsy.com/shop/HookedByTugba,7.95,189,1503,-100,318,19,3 Mo.,2300,6,18765,Craft Supplies & Tools,36,100,1.69,1828,"boho crochet top,lace crochet top,summer crochet,festival crochet,crochet blouse,v neck crochet,crochet pattern,bohemian top,beginner crochet,easy lace top,women crochet top,spring crochet,crochet shirt",boho crochet top,lace crochet top,summer crochet,festival crochet,crochet blouse,v neck crochet,crochet pattern,bohemian top,beginner crochet,easy lace top,women crochet top,spring crochet,crochet shirt
Crochet Pattern - Wren Rattan Crochet Top by Lakeside Loops,https://www.etsy.com/listing/4374089372/crochet-pattern-wren-rattan-crochet-top,LakesideLoops,https://www.etsy.com/shop/LakesideLoops,7.34,184,1351,1200,735,50,8 Mo.,4742,6,46062,Craft Supplies & Tools,143,100,1.6,84190,"crochet,top,tshirt,crochet pattern,crochet top,crochet tshirt,crochet cover up,crochet sweater,pattern,crochet pattern top,shirt,ladies,women",crochet,top,tshirt,crochet pattern,crochet top,crochet tshirt,crochet cover up,crochet sweater,pattern,crochet pattern top,shirt,ladies,women
