Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Palm Beach Filet Crochet Men&#39;s Summer Shirt Pattern (PDF),https://www.etsy.com/listing/4441467807/palm-beach-filet-crochet-mens-summer,TheClubMade,https://www.etsy.com/shop/TheClubMade,10.58,72,762,0,75,3,4 Mo.,806,1,5837,Craft Supplies & Tools,5,100,1.28,326,"",--,--,--,--,--,--,--,--,--,--,--,--,--
"PDF File for Crochet Pattern (English), Yolanda Shirt, Pictures and Video Tutorials Included, Crochet Shirt Pattern, Crochet Shirt",https://www.etsy.com/listing/1528975733/pdf-file-for-crochet-pattern-english,COSMAUDI,https://www.etsy.com/shop/COSMAUDI,12.50,18,225,0,2548,148,34 Mo.,8090,4,88729,Craft Supplies & Tools,95,100,2.87,46501,"cosmaudi,sizeinclusivecrochet,crochet shirt,crochet polo,oversized shirt,bode shirt pattern,bode shirt,men's shirt,men's crochet,unisex crochet,collared shirt,filet crochet,fingering weight",cosmaudi,sizeinclusivecrochet,crochet shirt,crochet polo,oversized shirt,bode shirt pattern,bode shirt,men's shirt,men's crochet,unisex crochet,collared shirt,filet crochet,fingering weight
"Bloom & Breeze Lace Crochet Top Pattern M–XXL, Summer Blouse",https://www.etsy.com/listing/1854461694/bloom-breeze-lace-crochet-top-pattern,KnitBlissPatterns,https://www.etsy.com/shop/KnitBlissPatterns,9.40,14,132,0,93,10,15 Mo.,514,1,4389,Craft Supplies & Tools,17,72,2.12,915,"lace crochet blouse,crochet summer top,easy crochet top,filet lace pattern,crochet lace shirt,boho crochet top,m to xxl crochet top,crochet pattern pdf,festival crochet top,lace crochet top,boho knit blouse,filet lace top,summer top pdf",lace crochet blouse,crochet summer top,easy crochet top,filet lace pattern,crochet lace shirt,boho crochet top,m to xxl crochet top,crochet pattern pdf,festival crochet top,lace crochet top,boho knit blouse,filet lace top,summer top pdf
Crochet Summer Top Pattern - Boho Filet Lacy Beach Cover Up Festival Shirt Lightweight PDF,https://www.etsy.com/listing/4301590938/crochet-summer-top-pattern-pdf-boho,WeLove2Retro,https://www.etsy.com/shop/WeLove2Retro,1.50,16,24,0,32,2,12 Mo.,211,0,1658,Craft Supplies & Tools,50,42,1.93,25539,"summer crochet top,crochet sun top,boho crochet top,boho crochet pattern,easy crochet pattern,easy crochet top,lacy crochet top,filet crochet top,beach crochet top,cotton crochet top,crochet tank top,crochet blouse,vintage crochet top",summer crochet top,crochet sun top,boho crochet top,boho crochet pattern,easy crochet pattern,easy crochet top,lacy crochet top,filet crochet top,beach crochet top,cotton crochet top,crochet tank top,crochet blouse,vintage crochet top
Vintage Filet Crochet Pattern Lace Camisole Sun Top Retro Floral Romantic Cami PDF Instant Digital Download Flower Power Summer Blouse,https://www.etsy.com/listing/1887603006/vintage-filet-crochet-pattern-lace,PastPatternPaloozaCo,https://www.etsy.com/shop/PastPatternPaloozaCo,1.90,11,21,0,10,1,13 Mo.,252,0,1382,Craft Supplies & Tools,47,36,0.72,110267,"diy crochet,vintage crochet,filet lace camisole,pdf instant digital,glam girl chic,cotton crochet top,cotton filet crochet,crochet clothing pdf,womens crochet top,floral roses,dressy romantic,ladies feminine top,lacy tank shirt",diy crochet,vintage crochet,filet lace camisole,pdf instant digital,glam girl chic,cotton crochet top,cotton filet crochet,crochet clothing pdf,womens crochet top,floral roses,dressy romantic,ladies feminine top,lacy tank shirt
Crochet Patchwork Sweater Pattern | Boho Granny Square Stripes (PDF Download),https://www.etsy.com/listing/4479105820/crochet-patchwork-sweater-pattern-boho,Vlcrochetpatterns,https://www.etsy.com/shop/Vlcrochetpatterns,4.99,1,11,0,2,0,2 Mo.,2,0,24,Craft Supplies & Tools,3,0,8.33,81,"crochet vest,fall crochet pattern,sweater pattern,schnittmuster,fishnet,crochet beach dress,goth crochet pattern,filet crochet,mesh shirt,patron crochet,crop top pattern,crochet mesh,crochet tote pattern",crochet vest,fall crochet pattern,sweater pattern,schnittmuster,fishnet,crochet beach dress,goth crochet pattern,filet crochet,mesh shirt,patron crochet,crop top pattern,crochet mesh,crochet tote pattern
Boho Filet Crop Top Pattern | Multilingual Diamond Halter Design | DIY Summer Cotton Vest,https://www.etsy.com/listing/4492887774/boho-filet-crop-top-pattern-multilingual,StudioMarry,https://www.etsy.com/shop/StudioMarry,4.54,1,4,0,1,0,1 Mo.,3,0,110,Craft Supplies & Tools,4,39,0.91,4255,"boho filet crop top,geometric bralette,festival fashion,handmade gift idea,hippie style shirt,modern crochet wear,intermediate project,pdf tutorial guide,crochet motif art,customizable sizes,slow fashion piece,resort wear idea,vacation outfit",boho filet crop top,geometric bralette,festival fashion,handmade gift idea,hippie style shirt,modern crochet wear,intermediate project,pdf tutorial guide,crochet motif art,customizable sizes,slow fashion piece,resort wear idea,vacation outfit
"Crochet Sweater Pattern, Mesh Summer Pullover, Easy Women&#39;s Crochet Crop Top Pattern, Size Inclusive Jumper, Beach Cover Up PDF",https://www.etsy.com/listing/4494551683/crochet-sweater-pattern-mesh-summer,KomaldesignsArt,https://www.etsy.com/shop/KomaldesignsArt,6.25,0,0,0,0,0,1 Mo.,0,0,13,Craft Supplies & Tools,5,0,0.0,138,"mesh sweater pattern,summer top crochet,easy jumper pdf,filet shirt tutorial,beach cover up diy,diy pullover make,boho crop garment,open stitch piece,graded pattern pdf,womens casual top,digital pattern top,handmade trendy tee",mesh sweater pattern,summer top crochet,easy jumper pdf,filet shirt tutorial,beach cover up diy,diy pullover make,boho crop garment,open stitch piece,graded pattern pdf,womens casual top,digital pattern top,handmade trendy tee,--
"Vintage Filet Crochet Pattern PDF – Elegant Floral Blouse, Short Sleeve Top with Collar, Experienced Crochet, Lace Crochet Shirt",https://www.etsy.com/listing/1877010941/vintage-filet-crochet-pattern-pdf,VintagePatternHaven,https://www.etsy.com/shop/VintagePatternHaven,1.92,0,0,0,15,1,15 Mo.,226,0,1507,Craft Supplies & Tools,22,36,1.0,9891,"filet crochet shirt,crochet blouse pdf,vintage crochet top,crochet lace blouse,short sleeve crochet,boho crochet top diy,elegant crochet top,floral filet crochet,floral crochet shirt,retro lace crochet,summer crochet top,boho crochet blouse,openwork crochet diy",filet crochet shirt,crochet blouse pdf,vintage crochet top,crochet lace blouse,short sleeve crochet,boho crochet top diy,elegant crochet top,floral filet crochet,floral crochet shirt,retro lace crochet,summer crochet top,boho crochet blouse,openwork crochet diy
crochet png crochet svg crochet png bundle sublimination commercial use crochet eps dxf cricut cut file t shirt design,https://www.etsy.com/listing/1791432120/crochet-png-crochet-svg-crochet-png,CraftyArtCafe,https://www.etsy.com/shop/CraftyArtCafe,2.99,0,0,0,31,3,19 Mo.,50,0,1059,Art & Collectibles,52,25,2.93,233112,"crochet png,crochet svg,crochet eps,crochet dxf,crochet bunde,crochet vector,shirt design,sublimination,cricut,cut file",crochet png,crochet svg,crochet eps,crochet dxf,crochet bunde,crochet vector,shirt design,sublimination,cricut,cut file,--,--,--
