Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Custom Dakimakura Anime Art Commission Dakimakura Body Pillow Cover for Waifu, Husbando, OC, SFW, Vtuber, Furry Art, Couple, Fan Art",https://www.etsy.com/listing/1667678372/custom-dakimakura-anime-art-commission,albannastudios,https://www.etsy.com/shop/albannastudios,111.22,13,1446,-100,280,107,27 Mo.,1343,4,109968,Art & Collectibles,31,100,0.25,5592,"dakimakura,furry art,anime,anime shirt,anime body pillow,body pillow cover,custom pillow,gift,body pillow,gift for her,anime girl,personalized gift,custom dakimakura",dakimakura,furry art,anime,anime shirt,anime body pillow,body pillow cover,custom pillow,gift,body pillow,gift for her,anime girl,personalized gift,custom dakimakura
Valentine&#39;s Day Dog Lover Crewneck 200+ Dog Breeds Sweatshirt Puppy Love Tee,https://www.etsy.com/listing/4434928366/valentines-day-dog-lover-crewneck-200,BebopShirts,https://www.etsy.com/shop/BebopShirts,23.78,17,404,-100,68,11,4 Mo.,31,3,3617,Clothing,20,100,1.88,3976,"valentines day dog,dog lover crewneck,dog breed gift,gift for dog lovers,cozy dog lover top,furry valentine gift,dog lover gift,valentine dog shirt,dog mom gift,dog person tee,valentine outfit,valentine party tee,animal lover shirt",valentines day dog,dog lover crewneck,dog breed gift,gift for dog lovers,cozy dog lover top,furry valentine gift,dog lover gift,valentine dog shirt,dog mom gift,dog person tee,valentine outfit,valentine party tee,animal lover shirt
"Gay Bear T-Shirt, Bear Pride Flag Colours Shirt, Teddy Bear, Gay Furry, Gay Bear Shirt, Woof | Scruff | Furry | Gay Gift for Boyfriend",https://www.etsy.com/listing/1761915497/gay-bear-t-shirt-bear-pride-flag-colours,Qrly,https://www.etsy.com/shop/Qrly,27.27,5,136,0,12,3,22 Mo.,28,0,425,Clothing,62,0,2.82,1109,"gay pride t-shirt,gay furry,gay bear shirt,gay bear pride,gay bear,gay pride,rainbow,lbgtq,woof,scruff,daddy dilf,gift for gay bear,hairy men",gay pride t-shirt,gay furry,gay bear shirt,gay bear pride,gay bear,gay pride,rainbow,lbgtq,woof,scruff,daddy dilf,gift for gay bear,hairy men
"Custom Dog Portrait Shirt, Retro Vintage Pet Tee, Comfort Colors Fabric",https://www.etsy.com/listing/1659241821/custom-comfort-colors-dog-shirt-retro,EmeraldandJadeCo,https://www.etsy.com/shop/EmeraldandJadeCo,32.49,4,130,0,185,47,28 Mo.,243,2,7256,Clothing,60,69,2.55,64690,"dog shirt retro,personalized pet tee,retro worn shirt,unisex dog shirt,gift for dog mom,matching pet tee,comfort colors tee,custom pet portrait,vintage style shirt,furry friend gift,casual retro shirt,men women t shirt,custom dog drawing",dog shirt retro,personalized pet tee,retro worn shirt,unisex dog shirt,gift for dog mom,matching pet tee,comfort colors tee,custom pet portrait,vintage style shirt,furry friend gift,casual retro shirt,men women t shirt,custom dog drawing
Poodle Mom Club Shirt Poodle Mama Sweatshirt Dog Lover Tee Poodle Gifts For Her Dog Mom Era Gift Poodle Owner Dog Dad Pet Lover,https://www.etsy.com/listing/4470049439/poodle-mom-club-shirt-poodle-mama,WanderLuxandCo,https://www.etsy.com/shop/WanderLuxandCo,19.98,5,100,0,3,1,2 Mo.,40,1,442,Clothing,15,54,0.68,574,"dog lover tee gift,poodle gifts for her,dog mom era tshirt,poodle owner present,poodle dad shirt,pet lover gift idea,standard poodle art,toy poodle apparel,cute poodle design,furry friend tshirt,canine companion top,dog parent wearable,animal lover present",dog lover tee gift,poodle gifts for her,dog mom era tshirt,poodle owner present,poodle dad shirt,pet lover gift idea,standard poodle art,toy poodle apparel,cute poodle design,furry friend tshirt,canine companion top,dog parent wearable,animal lover present
"Lovestruck Muscular Werewolf T-Shirt, Furry Shirt, Wolf Fursona Pride Top, Furry Canine Tee, Gift for Furries and Werewolf Fans",https://www.etsy.com/listing/4445985635/lovestruck-muscular-werewolf-t-shirt,BlueBullEmporium,https://www.etsy.com/shop/BlueBullEmporium,23.99,3,72,0,3,1,4 Mo.,24,0,87,Clothing,31,0,3.45,80,"furry art shirt,furry gift,wolf furry shirt,wolf fursona,anthro wolf,gay werewolf tshirt,furry art top,werewolf fursona,furry convention,werewolf pride,gift for furry,furry werewolf art,werewolf lover",furry art shirt,furry gift,wolf furry shirt,wolf fursona,anthro wolf,gay werewolf tshirt,furry art top,werewolf fursona,furry convention,werewolf pride,gift for furry,furry werewolf art,werewolf lover
"Pride Wolf LGBTQ+ T-shirt Pride Unisex Top Mens Adult Tee Shirt For Womens, Furry Gift",https://www.etsy.com/listing/1596692683/pride-wolf-lgbtq-t-shirt-pride-unisex,BlueBullEmporium,https://www.etsy.com/shop/BlueBullEmporium,21.99,3,66,0,6,2,31 Mo.,39,0,256,Clothing,31,0,2.34,80,"gay furry wolf,rainbow lgbt wolf,gifts for furries,furry gay wolf,animal lovers gift,furry wolf shirt,gay rainbow wolf,uwu wolf,owo wolf,awoo furry wolf,lgbt furry wolf,lgbtq gay wolf furry,furry bisexual wolf",gay furry wolf,rainbow lgbt wolf,gifts for furries,furry gay wolf,animal lovers gift,furry wolf shirt,gay rainbow wolf,uwu wolf,owo wolf,awoo furry wolf,lgbt furry wolf,lgbtq gay wolf furry,furry bisexual wolf
"Tiny Furry Overlord cat illustration T-Shirt | Funny Cat Tee , Comfort Color 1717 , Pet T Shirt ,Cat Mom Shirt ,Feline Shirt ,Humorous Shirt",https://www.etsy.com/listing/4475700218/tiny-furry-overlord-cat-illustration-t,NoorTrendTees,https://www.etsy.com/shop/NoorTrendTees,31.00,1,39,0,1,0,2 Mo.,1,0,26,Clothing,4,0,3.85,36,"cat t shirt,funny cat tee,pet lover gift,feline shirt,cat mom tee,cat dad shirt,casual cotton tee,humorous shirt,tiny furry overlord,animal lover top,everyday wardrobe,gift for cat lover,comfort color 1717",cat t shirt,funny cat tee,pet lover gift,feline shirt,cat mom tee,cat dad shirt,casual cotton tee,humorous shirt,tiny furry overlord,animal lover top,everyday wardrobe,gift for cat lover,comfort color 1717
"Crochet PATTERN: CINDY T-shirt Yarn Bag, Fluffy Shoulder Bag, DIY Furry Crossbody Purse, Easy Chunky Handbag Digital Pdf/Video Tutorial",https://www.etsy.com/listing/4452297153/crochet-pattern-cindy-t-shirt-yarn-bag,LanezDesignStore,https://www.etsy.com/shop/LanezDesignStore,3.95,9,36,300,17,1,3 Mo.,30,0,215,Craft Supplies & Tools,44,30,7.91,18276,"crochet bag pattern,t-shirt yarn pdf,eyelash yarn handbag,fluffy crossbody bag,fall purse pattern,bag video tutorial,easy diy wedding,winter prom purse,furry party bag,plush women purse,diy crochet pattern,crochet shoulder bag,gift for her",crochet bag pattern,t-shirt yarn pdf,eyelash yarn handbag,fluffy crossbody bag,fall purse pattern,bag video tutorial,easy diy wedding,winter prom purse,furry party bag,plush women purse,diy crochet pattern,crochet shoulder bag,gift for her
Custom Sydney Dog Bandana or Tank Top | Runner Name & Race Date | Matching Race Day Pet Apparel | 26.2 Dog Outfit | Marathon Dog Gear | Run,https://www.etsy.com/listing/4338878626/custom-sydney-dog-bandana-or-tank-top,BoyhoodThreads,https://www.etsy.com/shop/BoyhoodThreads,24.99,1,27,0,1,1,10 Mo.,1,0,62,Pet Supplies,38,0,1.61,6622,"furry baby apparel,custom dog bandana,race day outfit,dog race day outfit,matching dog shirt,support crew gear,running partner dog,cheer squad dog top,dog support crew,personalized dog top,australia marathon,marathon dog gift,gift for marathoner",furry baby apparel,custom dog bandana,race day outfit,dog race day outfit,matching dog shirt,support crew gear,running partner dog,cheer squad dog top,dog support crew,personalized dog top,australia marathon,marathon dog gift,gift for marathoner
