Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Custom Anime Dakimakura Body Pillow Cover - Waifu Husbando Furry Art VTuber Character Design,https://www.etsy.com/listing/1707137210/custom-anime-dakimakura-body-pillow,PawToon,https://www.etsy.com/shop/PawToon,60.00,11,660,0,95,38,25 Mo.,366,2,19129,Art & Collectibles,62,100,0.5,2596,"body pillow,custom body pillow,anime body pillow,body pillow cover,anime art,furry art,custom pillow,anime stickers,anime shirt,boyfriend girlfriend,personalized bedroom,merchandise portrait,pillowcase culture",body pillow,custom body pillow,anime body pillow,body pillow cover,anime art,furry art,custom pillow,anime stickers,anime shirt,boyfriend girlfriend,personalized bedroom,merchandise portrait,pillowcase culture
Furry Fursuit Soda Can Fan 3D Printed Handheld Cooling Fan Bonus Stickers Streetwear Hand Cool Fan Cola Style Desk Toy Gadget Gift for Him,https://www.etsy.com/listing/4311939376/furry-fursuit-soda-can-fan-3d-printed,FurryBeastPrints,https://www.etsy.com/shop/FurryBeastPrints,105.40,6,632,100,19,7,12 Mo.,633,1,6984,Accessories,14,100,0.27,422,"custom fursuit base,furry costume,furry mask,moveable jaw,padding,cosplay,helmet,fun desk accessory,mini fan gift,hand fan,portable,led fan,cute fan",custom fursuit base,furry costume,furry mask,moveable jaw,padding,cosplay,helmet,fun desk accessory,mini fan gift,hand fan,portable,led fan,cute fan
"Custom Dakimakura Commission, Dakimakura body pillow cover, Anime art, Fanart, OC, furry art",https://www.etsy.com/listing/4467914459/custom-dakimakura-commission-dakimakura,MadakoTako,https://www.etsy.com/shop/MadakoTako,150.00,4,600,0,7,4,2 Mo.,64,2,2042,Art & Collectibles,16,100,0.34,826,"body pillow,anime art,fanart,furry art,waifu,husbando,oc,custom character,custom dakimakura,genshin body pillow,anime dakimakura,personalized gift,anime sticker",body pillow,anime art,fanart,furry art,waifu,husbando,oc,custom character,custom dakimakura,genshin body pillow,anime dakimakura,personalized gift,anime sticker
"Truffula Tree Prop: Dr. Seuss Costume Cosplay, Handheld",https://www.etsy.com/listing/4378802704/truffula-tree-prop-dr-seuss-costume,MauraHoustonDesigns,https://www.etsy.com/shop/MauraHoustonDesigns,73.00,5,365,0,10,2,8 Mo.,43,0,2266,Accessories,203,72,0.44,1472,"suess,dr duess,lorax,unless,truffula tree,costume,halloween,cosplay,furry,stick,truffula,fake fur,handmade",suess,dr duess,lorax,unless,truffula tree,costume,halloween,cosplay,furry,stick,truffula,fake fur,handmade
Digital Canine Furry Emote/Sticker Bases (Pack 7),https://www.etsy.com/listing/4365605458/digital-canine-furry-emotesticker-bases,Kozke,https://www.etsy.com/shop/Kozke,6.85,49,336,0,241,33,8 Mo.,443,4,8482,Art & Collectibles,23,100,2.84,14639,"furry,furry wolf,wolf,fox,furry base,furry art,cute,stickers,emotes,fursuit,fursona,base,anthro",furry,furry wolf,wolf,fox,furry base,furry art,cute,stickers,emotes,fursuit,fursona,base,anthro
Furry Telegram Sticker Pack YCH,https://www.etsy.com/listing/1599005669/furry-telegram-sticker-pack-ych,YukiinzArt,https://www.etsy.com/shop/YukiinzArt,67.61,4,270,0,141,41,31 Mo.,550,1,13279,Art & Collectibles,61,99,1.06,1682,"telegram,telegram sticker,telegram pack,telegram stickers,furry telegram,telegram furry,furry sticker,furry stickers,furry ych,ych,furry commission,fursona commission,fursona sticker",telegram,telegram sticker,telegram pack,telegram stickers,furry telegram,telegram furry,furry sticker,furry stickers,furry ych,ych,furry commission,fursona commission,fursona sticker
Old Version* ULTRA MEGA-PACK! 100 Bases! Digital Furry Canine Wolf Sticker/ Emote Base Telegram Discord Stickers,https://www.etsy.com/listing/4356617588/old-version-ultra-mega-pack-100-bases,Kuropipii,https://www.etsy.com/shop/Kuropipii,29.99,8,240,0,24,3,9 Mo.,44,0,1061,Craft Supplies & Tools,14,39,2.26,605,"furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,kawaii,fursona,furry ych,telegram,cute",furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,kawaii,fursona,furry ych,telegram,cute
BACK-ORDER* Furry: Sticker Hoard Dragon XL Reusable Sticker Book,https://www.etsy.com/listing/1859355618/furry-sticker-hoard-dragon-xl-reusable,JJTheBunBunStore,https://www.etsy.com/shop/JJTheBunBunStore,25.00,9,225,0,60,25,15 Mo.,786,2,5631,"Books, Movies & Music",108,90,1.07,2993,"furry,fursona,dragon,dragon furry,sticker book,stickerbook,sticker notebook,sticker organizer,kandi,scholastic,dragon hoard,stickers,notebook",furry,fursona,dragon,dragon furry,sticker book,stickerbook,sticker notebook,sticker organizer,kandi,scholastic,dragon hoard,stickers,notebook
MEGA-PACK! 50 Bases! Digital Furry Canine Wolf Dog Sticker/ Emote Base Telegram Discord Stickers,https://www.etsy.com/listing/1904830113/mega-pack-50-bases-digital-furry-canine,Kuropipii,https://www.etsy.com/shop/Kuropipii,27.77,8,222,0,32,4,13 Mo.,91,0,1477,Art & Collectibles,14,39,2.17,605,"furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,kawaii,fursona,furry ych,telegram,cute",furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,kawaii,fursona,furry ych,telegram,cute
MEGA-PACK! 50 Bases! Digital Furry Canine Wolf Meme Sticker/ Emote Base Telegram Discord Stickers,https://www.etsy.com/listing/4341080918/mega-pack-50-bases-digital-furry-canine,Kuropipii,https://www.etsy.com/shop/Kuropipii,27.77,8,222,0,32,4,10 Mo.,54,0,861,Art & Collectibles,14,33,3.72,605,"furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,fursona,furry ych,telegram,cute,meme",furry,furry base,emotes,furry art,wolf,discord,stickers,twitch,fursona,furry ych,telegram,cute,meme
"telegram stickers - Custom Stickers Furry for Telegram, furry emotes, digital stickers fursona, Telegram Digital Sticker, Discord Stickers",https://www.etsy.com/listing/1835774848/telegram-stickers-custom-stickers-furry,Athenari,https://www.etsy.com/shop/Athenari,9.17,24,220,0,87,15,17 Mo.,357,1,10159,Art & Collectibles,19,100,0.86,1211,"furry,furry sticker,emotes,furry art,wolf,fursuit,cute,fursona,stickers,fox,dog,furry head,personalised gift",furry,furry sticker,emotes,furry art,wolf,fursuit,cute,fursona,stickers,fox,dog,furry head,personalised gift
