Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Comfort Colors® Cottagecore Shirt, Goose Shirt, Gardening Shirt, Summer Spring Shirt, Gift for Her",https://www.etsy.com/listing/4448285111/comfort-colors-cottagecore-shirt-goose,PrettyNifTeeBoutique,https://www.etsy.com/shop/PrettyNifTeeBoutique,31.71,274,11267,-13,425,45,4 Mo.,1688,11,24259,Clothing,30,100,1.75,11510,"gardening shirt,gardening tee,garden shirt,plant lover shirt,goose shirt,goose tee,silly goose shirt,cottage core shirt,cottagecore shirt,gardening gift,plant lover gift,spring shirt,summer shirt",gardening shirt,gardening tee,garden shirt,plant lover shirt,goose shirt,goose tee,silly goose shirt,cottage core shirt,cottagecore shirt,gardening gift,plant lover gift,spring shirt,summer shirt
"Comfort Colors® Vintage Pressed Flowers Shirt, Boho Cottagecore Tshirt Botanical Floral Tee Wildflowers Sweatshirt,Gift For Gardener,Flowers",https://www.etsy.com/listing/4306832268/comfort-colors-vintage-pressed-flowers,FountainCreation,https://www.etsy.com/shop/FountainCreation,24.50,235,5758,-45,1121,239,12 Mo.,1937,20,66032,Clothing,15,100,1.7,2730,"wildflowers sweater,floral sweatshirt,pressed flowers,boho sweatshirt,comfort colors,cottagecore shirt,flower lover gift,flower sweatshirt,nature sweatshirt,vintage floral shirt,vintage sweatshirt,oversized sweatshirt,vintage sweater",wildflowers sweater,floral sweatshirt,pressed flowers,boho sweatshirt,comfort colors,cottagecore shirt,flower lover gift,flower sweatshirt,nature sweatshirt,vintage floral shirt,vintage sweatshirt,oversized sweatshirt,vintage sweater
"Comfort Colors® Vintage Pressed Flowers Shirt, Boho Cottagecore Shirt, Botanical Floral Tee Wildflowers Shirt Gift for Gardener Floral Shirt",https://www.etsy.com/listing/4322021418/comfort-colors-vintage-pressed-flowers,MEVASHIRTDESIGN,https://www.etsy.com/shop/MEVASHIRTDESIGN,16.20,205,3321,29,2500,422,11 Mo.,5221,38,170034,Clothing,41,100,1.47,39694,"wildflowers shirts,cottagecore shirt,cottage core tshirt,vintage flower shirt,floral t shirt women,minimalist t-shirt,trendy flower tee,boho floral shirt,trendy oversized tee,gardener gifts,cute women shirts,flower gift for mom,pressed flower shirt",wildflowers shirts,cottagecore shirt,cottage core tshirt,vintage flower shirt,floral t shirt women,minimalist t-shirt,trendy flower tee,boho floral shirt,trendy oversized tee,gardener gifts,cute women shirts,flower gift for mom,pressed flower shirt
"Dirt Nerd T-Shirt, Gardening Lover Tee, Gardener Gift, Funny Gardening Shirt, Plant Lover, Garden Tools Shirt, Garden Humor Tee (139)",https://www.etsy.com/listing/4399243016/dirt-nerd-t-shirt-gardening-lover-tee,spiffytouches,https://www.etsy.com/shop/spiffytouches,19.90,151,3005,700,329,59,6 Mo.,1171,10,15789,Clothing,46,100,2.08,51776,"dirt nerd shirt,gardening shirt,gardener gift,plant lover gift,funny gardening,garden humor,gardening tee,garden tools,garden tshirt,plant shirt,farmer tshirt,nature shirt,garden lover",dirt nerd shirt,gardening shirt,gardener gift,plant lover gift,funny gardening,garden humor,gardening tee,garden tools,garden tshirt,plant shirt,farmer tshirt,nature shirt,garden lover
"Vintage Pressed Flowers Shirt Comfort Colors®,  Boho Cottagecore Tshirt, Botanical Floral Tee Wildflowers Shirt, Gift For Gardener",https://www.etsy.com/listing/4369445400/vintage-pressed-flowers-shirt-comfort,TeeIslandCo,https://www.etsy.com/shop/TeeIslandCo,23.40,118,2761,-75,330,68,8 Mo.,504,9,23941,Clothing,52,100,1.38,68000,"pressed flowers,comfort colors,cottagecore shirt,flower lover gift,vintage floral shirt,floral shirt,flower shirt,nature shirt,wildflower shirt,cottagecore tees,spring outfit tee,floral graphic tee,nature inspired tee",pressed flowers,comfort colors,cottagecore shirt,flower lover gift,vintage floral shirt,floral shirt,flower shirt,nature shirt,wildflower shirt,cottagecore tees,spring outfit tee,floral graphic tee,nature inspired tee
Bonsai Tree | Artificial Bonsai | Fake Bonsai Plant | Japanese Decor | Bonsai Pot | Ficus Bonsai | Natural Art Decor | Live Bonsai Style,https://www.etsy.com/listing/4469834020/bonsai-tree-artificial-bonsai-fake,SakuraGardenHome,https://www.etsy.com/shop/SakuraGardenHome,220.95,12,2651,0,12,2,2 Mo.,16,1,650,Home & Living,2,81,1.85,30,"fake bonsai,bonsai tree,artificial plant,bonsai plant,bonsai pot,bonsai,garden,office plant,japanese art shirt,artificial bonsai,live bonsai,natural art,japanese decor",fake bonsai,bonsai tree,artificial plant,bonsai plant,bonsai pot,bonsai,garden,office plant,japanese art shirt,artificial bonsai,live bonsai,natural art,japanese decor
"Comfort Colors® Funny Gardening Shirt, You&#39;re Going In The Compost Tee, Frog Gardener Shirt, Plant Lover Gift Shirt, Garden Humor Tee",https://www.etsy.com/listing/4457943736/comfort-colors-funny-gardening-shirt,VisitMyGarden,https://www.etsy.com/shop/VisitMyGarden,27.00,95,2565,700,166,22,3 Mo.,801,7,7164,Clothing,7,100,2.32,725,"compost frog shirt,garden humor tee,funny gardener gift,plant lover gift,compost lover tshirt,gardening dad tee,plant mom tee gift,real men garden tee,frog tshirt for men,man i love frogs tee,gardening humor tee,garden pun tshirt,farmer lifestyle",compost frog shirt,garden humor tee,funny gardener gift,plant lover gift,compost lover tshirt,gardening dad tee,plant mom tee gift,real men garden tee,frog tshirt for men,man i love frogs tee,gardening humor tee,garden pun tshirt,farmer lifestyle
"Vintage Wildflower Botanical Graphic Tee, Retro Cottagecore Comfort Colors® T-Shirt, Garden Flower Shirt",https://www.etsy.com/listing/4446010291/vintage-wildflower-botanical-graphic-tee,VintageSocietyUS,https://www.etsy.com/shop/VintageSocietyUS,26.50,95,2518,0,225,26,4 Mo.,857,7,11832,Clothing,4,100,1.9,1161,"wildflower shirt,botanical flowers,cottagecore tee,vintage floral art,garden flower tee,flower lover gift,retro nature tee,pressed flower art,roots botanical,comfort colors tee,meadow blooms,plant lover tee,floral graphic tee",wildflower shirt,botanical flowers,cottagecore tee,vintage floral art,garden flower tee,flower lover gift,retro nature tee,pressed flower art,roots botanical,comfort colors tee,meadow blooms,plant lover tee,floral graphic tee
"Easily Distracted By Peckers Shirt, Chicken Farmer Shirt, Hen Lover Shirt, Chicken Lover Gift, Crazy Chicken Lady Shirt, Farmer Humor Shirt",https://www.etsy.com/listing/4432281641/easily-distracted-by-peckers-shirt,Maikuai,https://www.etsy.com/shop/Maikuai,56.79,44,2499,0,44,2,5 Mo.,3,0,64,Clothing,9,0,68.75,667,"distracted by pecker,funny chicken shirt,chicken farmer,retro hen shirt,bird lover shirt,sarcastic saying tee,farm life shirt,crazy chicken lady,vintage rooster tee,humorous animal,garden bird shirt,trendy animal shirt,gift for chicken",distracted by pecker,funny chicken shirt,chicken farmer,retro hen shirt,bird lover shirt,sarcastic saying tee,farm life shirt,crazy chicken lady,vintage rooster tee,humorous animal,garden bird shirt,trendy animal shirt,gift for chicken
"Vintage Pressed Flowers Shirt Comfort Colors®,  Boho Cottagecore Tshirt Botanical Floral Tee Wildflowers Sweatshirt, Gift For Gardener",https://www.etsy.com/listing/1760899877/vintage-pressed-flowers-shirt-comfort,TeeIslandCo,https://www.etsy.com/shop/TeeIslandCo,23.40,106,2480,-50,2578,531,22 Mo.,5633,24,277043,Clothing,52,100,0.93,68000,"wildflowers sweater,floral sweatshirt,pressed flowers,boho sweatshirt,comfort colors,cottagecore shirt,flower lover gift,flower sweatshirt,nature sweatshirt,vintage floral shirt,vintage sweatshirt,oversized sweatshirt,vintage sweater",wildflowers sweater,floral sweatshirt,pressed flowers,boho sweatshirt,comfort colors,cottagecore shirt,flower lover gift,flower sweatshirt,nature sweatshirt,vintage floral shirt,vintage sweatshirt,oversized sweatshirt,vintage sweater
Comfort Colors® Vintage Pressed Flowers Shirt Boho Cottagecore Tshirt Botanical Floral Tee Wildflowers T Shirt Gift for Gardener Floral Tee,https://www.etsy.com/listing/4351268043/comfort-colors-vintage-pressed-flowers,HMDesignShirt,https://www.etsy.com/shop/HMDesignShirt,28.80,48,2335,100,95,11,9 Mo.,151,1,4802,Clothing,42,100,1.98,38747,"boho floral shirt,comfort colors,cottage core tshirt,cottagecore shirt,cute women shirts,floral t shirt women,flower gift for mom,gardener gifts,minimalist t-shirt,trendy flower tee,trendy oversized tee,vintage flower shirt,wildflowers shirts",boho floral shirt,comfort colors,cottage core tshirt,cottagecore shirt,cute women shirts,floral t shirt women,flower gift for mom,gardener gifts,minimalist t-shirt,trendy flower tee,trendy oversized tee,vintage flower shirt,wildflowers shirts
