Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Halloween Nurse T-Shirt: Ghost Flu Prevention Tee,https://www.etsy.com/listing/4343447766/halloween-nurse-t-shirt-ghost-flu,ProfessioNotion,https://www.etsy.com/shop/ProfessioNotion,26.99,12,324,0,11,1,10 Mo.,7,0,113,Clothing,39,0,9.73,5094,"school nurse shirt,say boo to the flu,halloween nurse tee,ghost health shirt,flu prevention tee,bella canvas nurse,fall health shirt,october teacher tee,halloween spirit tee,cute ghost top,nurse halloween tee,flu season shirt",school nurse shirt,say boo to the flu,halloween nurse tee,ghost health shirt,flu prevention tee,bella canvas nurse,fall health shirt,october teacher tee,halloween spirit tee,cute ghost top,nurse halloween tee,flu season shirt,--
"Doctorate Nurse Graduation Gift, Registered Nurse Week 2026 Ideas, Nursing School Grad, Male Nurse Gifts",https://www.etsy.com/listing/4470608735/doctorate-nurse-graduation-gift,YoureLookingGood,https://www.etsy.com/shop/YoureLookingGood,33.32,8,272,0,12,1,2 Mo.,10,1,255,Clothing,69,39,4.71,6511,"icu nurse shirt,registered nurse tee,nursing school grad,graduation party,college graduate,rn t-shirt,coworker gift idea,er nurse tshirt,skeleton halloween,nurse week gift,nursing graduation,nurse grad gifts,male nurse guy",icu nurse shirt,registered nurse tee,nursing school grad,graduation party,college graduate,rn t-shirt,coworker gift idea,er nurse tshirt,skeleton halloween,nurse week gift,nursing graduation,nurse grad gifts,male nurse guy
"Trauma Nurse Embroidered Sweatshirt, Nurse Gift",https://www.etsy.com/listing/4419391885/trauma-nurse-embroidered-sweatshirt,KiminonawaJP,https://www.etsy.com/shop/KiminonawaJP,28.00,8,224,0,8,1,5 Mo.,32,0,426,Clothing,19,33,1.88,9496,"embroidered crewneck,cute nurse gift,cute nurse shirt,future nurse,ghost nurse,ghost nurse shirt,halloween nurse,nurse shirt for work,nurse t-shirt,nursing school tee,registered nurse,rn nurse shirt,trauma nurse",embroidered crewneck,cute nurse gift,cute nurse shirt,future nurse,ghost nurse,ghost nurse shirt,halloween nurse,nurse shirt for work,nurse t-shirt,nursing school tee,registered nurse,rn nurse shirt,trauma nurse
"Rainbow Pediatric Physical Therapy Sweatshirt, Peds Physical Therapist Crewneck",https://www.etsy.com/listing/4396069929/rainbow-pediatric-physical-therapy,PennyRockCo,https://www.etsy.com/shop/PennyRockCo,56.00,3,208,0,4,0,7 Mo.,5,0,76,Clothing,29,0,5.26,4489,"pt halloween shirt,dpt pediatric shirt,pediatric pt shirt,peds pt sweatshirt,pediatric pt tshirt,pediatric therapist,nurse appreciation,pediatric pt t-shirt,fall pumpkin shirt,halloween shirt,long sleeve shirt,physical therapist,physical therapy tee",pt halloween shirt,dpt pediatric shirt,pediatric pt shirt,peds pt sweatshirt,pediatric pt tshirt,pediatric therapist,nurse appreciation,pediatric pt t-shirt,fall pumpkin shirt,halloween shirt,long sleeve shirt,physical therapist,physical therapy tee
"Nurse Tarot Card Shirt, Halloween Nurse TShirt, Registered Nurse Gift, Spooky Nurse T-Shirt, Witchy Celestial Clothing, Nursing Student Grad",https://www.etsy.com/listing/1506914486/nurse-tarot-card-shirt-halloween-nurse,BashVibesUS,https://www.etsy.com/shop/BashVibesUS,20.74,10,207,-100,13,3,34 Mo.,65,0,685,Clothing,50,0,1.9,37967,"nursing school shirt,registered nurse tee,nurse halloween,witchy nursing shirt,icu nurse crew,funny nurse t-shirt,hospital party,gothic tarot card,nicu picu peds micu,nursing student grad,gift for new nurse,er nurse team shirts,spooky nurse outfit",nursing school shirt,registered nurse tee,nurse halloween,witchy nursing shirt,icu nurse crew,funny nurse t-shirt,hospital party,gothic tarot card,nicu picu peds micu,nursing student grad,gift for new nurse,er nurse team shirts,spooky nurse outfit
"The Nurse Tarot Card T-shirt, Funny Skeleton Nurse Shirt,Halloween Nurse Graduate Gift,, Fall Nurse Tshirt, Funny Nursing Shirt,Spooky Nurse",https://www.etsy.com/listing/1760711178/the-nurse-tarot-card-t-shirt-funny,TheTrendingGiftCo,https://www.etsy.com/shop/TheTrendingGiftCo,27.00,6,162,-100,96,15,21 Mo.,314,1,5084,Clothing,26,60,1.89,31700,"cute nurse top,new nurse gift,nurse graduation,nursing school gift,registered nurse tee,rn bsn gift,rrt gift,thank you gift nurse,halloween nurse,nurse tarot card,skeleton tarot shirt,emergency nurse,nurse comfort colors",cute nurse top,new nurse gift,nurse graduation,nursing school gift,registered nurse tee,rn bsn gift,rrt gift,thank you gift nurse,halloween nurse,nurse tarot card,skeleton tarot shirt,emergency nurse,nurse comfort colors
"Surgical Assistant Shirt, Comfort Colors Tarot Card Surgical Assistant T-Shirt, Nurse Appreciation Gift, Gift for Surgical Assistant Tee",https://www.etsy.com/listing/1867432471/surgical-assistant-shirt-comfort-colors,BrittsStudioUS,https://www.etsy.com/shop/BrittsStudioUS,28.99,5,145,0,5,1,16 Mo.,7,0,220,Clothing,38,0,2.27,17363,"surgical assistant,surgical asst tshirt,surgical nurse,nurse tarot card,tarot card shirt,skeleton tarot card,nurse appreciation,gift for surgical,assistant,halloween nurse,spooky nurse,skeleton assistant,surgical gift",surgical assistant,surgical asst tshirt,surgical nurse,nurse tarot card,tarot card shirt,skeleton tarot card,nurse appreciation,gift for surgical,assistant,halloween nurse,spooky nurse,skeleton assistant,surgical gift
"Registered Nurse Shirt, Comfort Colors Registered Nurse Tarot Card T-shirt, Fall RN Tee, Funny Gift for Registered Nurse, Skeleton Nurse",https://www.etsy.com/listing/1781238526/registered-nurse-shirt-comfort-colors,BrittsStudioUS,https://www.etsy.com/shop/BrittsStudioUS,28.99,5,145,0,585,113,20 Mo.,1774,6,39237,Clothing,38,100,1.49,17226,"registered nurse,rn t-shirt,nurse shirt,rn halloween,nurse halloween,rn tarot card,nurse tarot card,skeleton nurse,spooky nurse,nurse gift,gift for rn,comfort colors®,registered nurse tee",registered nurse,rn t-shirt,nurse shirt,rn halloween,nurse halloween,rn tarot card,nurse tarot card,skeleton nurse,spooky nurse,nurse gift,gift for rn,comfort colors®,registered nurse tee
"Nurse Practitioner Shirt, Comfort Colors Nurse Practitioner Tarot Card T-shirt, Halloween Nurse Tee, Gift for Nurse Practitioner",https://www.etsy.com/listing/1867982885/nurse-practitioner-shirt-comfort-colors,BrittsStudioUS,https://www.etsy.com/shop/BrittsStudioUS,28.99,5,145,0,15,3,15 Mo.,27,0,416,Clothing,38,0,3.61,17363,"nurse practitioner,nurse halloween,nurse tarot card,certified nurse,skeleton nurse,spooky nurse,gift for np,np t-shirt,future np,comfort colors®,np tarot card shirt,halloween tee,nurse practitioner t",nurse practitioner,nurse halloween,nurse tarot card,certified nurse,skeleton nurse,spooky nurse,gift for np,np t-shirt,future np,comfort colors®,np tarot card shirt,halloween tee,nurse practitioner t
"AL-BOO-TEROL Unisex Jersey Short Sleeve Tee - Cute Halloween Medication Pun, Pharmacy & Nursing Costume T-Shirt",https://www.etsy.com/listing/4361158920/al-boo-terol-unisex-jersey-short-sleeve,KayAndCaboodle,https://www.etsy.com/shop/KayAndCaboodle,22.00,6,132,-100,13,2,9 Mo.,13,0,268,Clothing,18,0,4.85,330,"nurse shirts,pharmacist gift,pharmacy tech,medical assistant,respiratory therapy,school nurse,funny nurse shirt,halloween tee,pharmacy week gift,cute ghost t-shirt,pediatric nurse,bella and canvas,group costumes",nurse shirts,pharmacist gift,pharmacy tech,medical assistant,respiratory therapy,school nurse,funny nurse shirt,halloween tee,pharmacy week gift,cute ghost t-shirt,pediatric nurse,bella and canvas,group costumes
