Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"50 Vintage Hot Rod Stickers, Custom Classic Car Doodle Decals, Retro Waterproof Vinyl Stickers for Garage, Toolbox, Laptop, Mechanic Gift",https://www.etsy.com/listing/4464424000/50-vintage-hot-rod-stickers-custom,TheGildedLaef,https://www.etsy.com/shop/TheGildedLaef,3.70,39,144,0,39,1,3 Mo.,42,0,754,Paper & Party Supplies,4,63,5.17,39,"vintage car stickers,hot rod stickers,classic car stickers,custom car decals,retro car stickers,mechanic stickers,garage stickers,toolbox stickers,waterproof stickers,lowrider stickers,rat rod stickers,car guy gift,sticker pack",vintage car stickers,hot rod stickers,classic car stickers,custom car decals,retro car stickers,mechanic stickers,garage stickers,toolbox stickers,waterproof stickers,lowrider stickers,rat rod stickers,car guy gift,sticker pack
100 pcs &quot;Hard Hat&quot; Sticker Pack | Powerline | Welding | Stripper | Beard Gifts | Mechanic | Gorilla | Essential Worker | Construction Gifts,https://www.etsy.com/listing/1301311151/100-pcs-hard-hat-sticker-pack-powerline,ToySushi,https://www.etsy.com/shop/ToySushi,13.78,7,96,0,207,33,44 Mo.,363,1,19203,Accessories,56,99,1.08,7117,"gift for electrician,hard hat stickers,beard,stripper,essential worker,construction decals,safety stickers,electrical engineer,funny stickers,lineman,skull sticker,welding,mechanic",gift for electrician,hard hat stickers,beard,stripper,essential worker,construction decals,safety stickers,electrical engineer,funny stickers,lineman,skull sticker,welding,mechanic
"Funny Construction Sticker/Magnet: &quot;Can We Fix It? No, It&#39;s F***ed&quot; - Toolbox Humor",https://www.etsy.com/listing/4326423806/funny-construction-stickermagnet-can-we,MadhouseDecorDesign,https://www.etsy.com/shop/MadhouseDecorDesign,5.73,15,86,0,409,82,11 Mo.,1011,7,9979,Home & Living,11,100,4.1,2530,"tradesman giftlabore,sarcastic sticker,blue collar gift,construction magnet,builder humor decal,mechanic sticker,contractor gift,jobsite decal,gag gift for workers,worksite humor,toolbox sticker,funny construction,laborer humor",tradesman giftlabore,sarcastic sticker,blue collar gift,construction magnet,builder humor decal,mechanic sticker,contractor gift,jobsite decal,gag gift for workers,worksite humor,toolbox sticker,funny construction,laborer humor
Mech Holographic Sticker | Exhaust | Sci-Fi Gaming Decal | 4x5” | Glossy or Matte | 0167,https://www.etsy.com/listing/4360171993/mech-holographic-vinyl-sticker-exhaust,vizerall,https://www.etsy.com/shop/vizerall,9.99,4,40,0,37,9,9 Mo.,259,1,1157,Paper & Party Supplies,43,42,3.2,4969,"gaming sticker,sci-fi sticker,bottle sticker,laptop sticker,gift for boyfriend,gaming decor,cool sticker for men,gamer gear,geek gift,futuristic sticker,dystopian sticker,mech sticker,mechanical sticker",gaming sticker,sci-fi sticker,bottle sticker,laptop sticker,gift for boyfriend,gaming decor,cool sticker for men,gamer gear,geek gift,futuristic sticker,dystopian sticker,mech sticker,mechanical sticker
Mech Holographic Sticker | Jet Intake | Sci-Fi Gaming Decal | 3.7x6” | Glossy or Matte | 0169,https://www.etsy.com/listing/4360171215/mech-holographic-vinyl-sticker-jet,vizerall,https://www.etsy.com/shop/vizerall,9.99,4,40,0,12,3,9 Mo.,69,0,332,Paper & Party Supplies,43,0,3.61,4969,"gaming sticker,sci-fi sticker,bottle sticker,laptop sticker,gift for boyfriend,gaming decor,cool sticker for men,gamer gear,geek gift,futuristic sticker,dystopian sticker,mech sticker,mechanical sticker",gaming sticker,sci-fi sticker,bottle sticker,laptop sticker,gift for boyfriend,gaming decor,cool sticker for men,gamer gear,geek gift,futuristic sticker,dystopian sticker,mech sticker,mechanical sticker
"Ford Mustang 5.0 Coyote Engine Sticker - V8 GT Decal - Mechanic Gift, Laptop & Toolbox Sticker - Waterproof Vinyl for S550 S197",https://www.etsy.com/listing/4436889515/ford-mustang-50-coyote-engine-sticker-v8,EliteStickerPros,https://www.etsy.com/shop/EliteStickerPros,8.99,4,36,0,1,2,4 Mo.,9,1,108,Paper & Party Supplies,9,0,0.93,15,"mustang gt,ford v8,muscle car,coyote engine,mechanic gift,car guy gift,s550 mustang,s197 mustang,toolbox sticker,engine decal,laptop sticker,waterproof vinyl,ford racing",mustang gt,ford v8,muscle car,coyote engine,mechanic gift,car guy gift,s550 mustang,s197 mustang,toolbox sticker,engine decal,laptop sticker,waterproof vinyl,ford racing
Waiting for Parts Stickers or Magnets: Gift for mechanic,https://www.etsy.com/listing/4434677995/waiting-for-parts-stickers-or-magnets,HarkGraphics,https://www.etsy.com/shop/HarkGraphics,3.99,9,36,-100,27,6,5 Mo.,153,1,682,Home & Living,45,45,3.96,5812,"sarcastic stickers,saracastic magnets,funny gifts,funny stickers,funny magnets,gift for friend,birthday gift,gear head,mechanic,mechanic gift,car guy,parts guy",sarcastic stickers,saracastic magnets,funny gifts,funny stickers,funny magnets,gift for friend,birthday gift,gear head,mechanic,mechanic gift,car guy,parts guy,--
"I Can Fix Stupid But It&#39;s Gonna Hurt Sticker, Retro Funny Mechanic Quote Dark Humor Vinyl Die Cute Stickers for Kindle, Laptop, Water Bottle",https://www.etsy.com/listing/4438088576/i-can-fix-stupid-but-its-gonna-hurt,Patstina,https://www.etsy.com/shop/Patstina,3.99,9,36,0,9,1,4 Mo.,9,0,120,Paper & Party Supplies,8,0,7.5,3062,"mechanic sticker,sarcastic sticker,work humor sticker,blue collar sticker,pin up sticker,garage sticker,tool box sticker,laptop sticker,waterproof sticker,vinyl sticker,gift for mechanics,funny mechanic,retro mechanic",mechanic sticker,sarcastic sticker,work humor sticker,blue collar sticker,pin up sticker,garage sticker,tool box sticker,laptop sticker,waterproof sticker,vinyl sticker,gift for mechanics,funny mechanic,retro mechanic
Funny Mechanic Hourly Rate Vinyl Sticker - Toolbox Garage Decal,https://www.etsy.com/listing/4306967544/funny-mechanic-hourly-rate-vinyl-sticker,UpstateDigitalDecor,https://www.etsy.com/shop/UpstateDigitalDecor,4.50,7,32,0,14,2,12 Mo.,10,0,180,Paper & Party Supplies,14,0,7.78,734,"mechanic sticker,mechanic hourly rate,garage sticker,mechanic life,car repair humor,auto tech gifts,gifts for him,toolbox sticker,funny mechanic decal,auto shop humor,gifts for her,funny fathers day,fixer upper humor",mechanic sticker,mechanic hourly rate,garage sticker,mechanic life,car repair humor,auto tech gifts,gifts for him,toolbox sticker,funny mechanic decal,auto shop humor,gifts for her,funny fathers day,fixer upper humor
Toolbox Sticker for men funny gift for husband mechanic,https://www.etsy.com/listing/1842524155/toolbox-sticker-for-men-funny-gift-for,PaddleSmackApparel,https://www.etsy.com/shop/PaddleSmackApparel,6.25,5,31,0,19,4,17 Mo.,131,0,590,Paper & Party Supplies,44,0,3.22,1608,"funnycarsticker,nsfwsticker,men'scarsticker,adulthumorsticker,funnymensticker,carpunsticker,nsfwcardecal,funnydecalformen,carstickerhumor,gift for dad,funny mechanic,mechanic humor,ment funny sticker",funnycarsticker,nsfwsticker,men'scarsticker,adulthumorsticker,funnymensticker,carpunsticker,nsfwcardecal,funnydecalformen,carstickerhumor,gift for dad,funny mechanic,mechanic humor,ment funny sticker
