Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Comfort Colors® Cottagecore Shirt, Goose Shirt, Gardening Shirt, Summer Spring Shirt, Gift for Her",https://www.etsy.com/listing/4448285111/comfort-colors-cottagecore-shirt-goose,PrettyNifTeeBoutique,https://www.etsy.com/shop/PrettyNifTeeBoutique,31.71,274,11267,-13,425,45,4 Mo.,1688,11,24259,Clothing,30,100,1.75,11510,"gardening shirt,gardening tee,garden shirt,plant lover shirt,goose shirt,goose tee,silly goose shirt,cottage core shirt,cottagecore shirt,gardening gift,plant lover gift,spring shirt,summer shirt",gardening shirt,gardening tee,garden shirt,plant lover shirt,goose shirt,goose tee,silly goose shirt,cottage core shirt,cottagecore shirt,gardening gift,plant lover gift,spring shirt,summer shirt
"Comfort Colors® Wildflower Shirt, Floral Cottagecore Shirt, Botanical Shirt, Flower Shirt, Nature Shirt, Wildflower Tshirt,Wild Flower Shirt",https://www.etsy.com/listing/4303043046/comfort-colors-wildflower-shirt-floral,ArtisanChicCasual,https://www.etsy.com/shop/ArtisanChicCasual,28.80,162,4666,40,649,106,12 Mo.,485,9,33663,Clothing,20,100,1.93,8514,"botanical shirt,comfort colors,floral graphic tee,floral shirt,flower shirt,flower t-shirt,flower tee,gift for women,nature shirt,plant lover gift,plant mom shirt,wild flower shirt,wildflower tshirt",botanical shirt,comfort colors,floral graphic tee,floral shirt,flower shirt,flower t-shirt,flower tee,gift for women,nature shirt,plant lover gift,plant mom shirt,wild flower shirt,wildflower tshirt
"Dirt Nerd T-Shirt, Gardening Lover Tee, Gardener Gift, Funny Gardening Shirt, Plant Lover, Garden Tools Shirt, Garden Humor Tee (139)",https://www.etsy.com/listing/4399243016/dirt-nerd-t-shirt-gardening-lover-tee,spiffytouches,https://www.etsy.com/shop/spiffytouches,19.90,151,3005,700,329,59,6 Mo.,1171,10,15789,Clothing,46,100,2.08,51776,"dirt nerd shirt,gardening shirt,gardener gift,plant lover gift,funny gardening,garden humor,gardening tee,garden tools,garden tshirt,plant shirt,farmer tshirt,nature shirt,garden lover",dirt nerd shirt,gardening shirt,gardener gift,plant lover gift,funny gardening,garden humor,gardening tee,garden tools,garden tshirt,plant shirt,farmer tshirt,nature shirt,garden lover
Bonsai Tree | Artificial Bonsai | Fake Bonsai Plant | Japanese Decor | Bonsai Pot | Ficus Bonsai | Natural Art Decor | Live Bonsai Style,https://www.etsy.com/listing/4469834020/bonsai-tree-artificial-bonsai-fake,SakuraGardenHome,https://www.etsy.com/shop/SakuraGardenHome,220.95,12,2651,0,12,2,2 Mo.,16,1,650,Home & Living,2,81,1.85,30,"fake bonsai,bonsai tree,artificial plant,bonsai plant,bonsai pot,bonsai,garden,office plant,japanese art shirt,artificial bonsai,live bonsai,natural art,japanese decor",fake bonsai,bonsai tree,artificial plant,bonsai plant,bonsai pot,bonsai,garden,office plant,japanese art shirt,artificial bonsai,live bonsai,natural art,japanese decor
"Comfort Colors® Funny Gardening Shirt, You&#39;re Going In The Compost Tee, Frog Gardener Shirt, Plant Lover Gift Shirt, Garden Humor Tee",https://www.etsy.com/listing/4457943736/comfort-colors-funny-gardening-shirt,VisitMyGarden,https://www.etsy.com/shop/VisitMyGarden,27.00,95,2565,700,166,22,3 Mo.,801,7,7164,Clothing,7,100,2.32,725,"compost frog shirt,garden humor tee,funny gardener gift,plant lover gift,compost lover tshirt,gardening dad tee,plant mom tee gift,real men garden tee,frog tshirt for men,man i love frogs tee,gardening humor tee,garden pun tshirt,farmer lifestyle",compost frog shirt,garden humor tee,funny gardener gift,plant lover gift,compost lover tshirt,gardening dad tee,plant mom tee gift,real men garden tee,frog tshirt for men,man i love frogs tee,gardening humor tee,garden pun tshirt,farmer lifestyle
"Vintage Wildflower Botanical Graphic Tee, Retro Cottagecore Comfort Colors® T-Shirt, Garden Flower Shirt",https://www.etsy.com/listing/4446010291/vintage-wildflower-botanical-graphic-tee,VintageSocietyUS,https://www.etsy.com/shop/VintageSocietyUS,26.50,95,2518,0,225,26,4 Mo.,857,7,11832,Clothing,4,100,1.9,1161,"wildflower shirt,botanical flowers,cottagecore tee,vintage floral art,garden flower tee,flower lover gift,retro nature tee,pressed flower art,roots botanical,comfort colors tee,meadow blooms,plant lover tee,floral graphic tee",wildflower shirt,botanical flowers,cottagecore tee,vintage floral art,garden flower tee,flower lover gift,retro nature tee,pressed flower art,roots botanical,comfort colors tee,meadow blooms,plant lover tee,floral graphic tee
Carniflora Acid Wash Oversize Unisex Tee (Green),https://www.etsy.com/listing/1766301302/carniflora-acid-wash-oversize-unisex-tee,CritterCoveArt,https://www.etsy.com/shop/CritterCoveArt,40.46,52,2104,-100,90,6,21 Mo.,284,0,2253,Clothing,157,36,3.99,1959,"acid wash,tee,shirt,tops,venus flytrap,oversize,unisex,punk,metal,herbology,plants,cool shirts,grunge",acid wash,tee,shirt,tops,venus flytrap,oversize,unisex,punk,metal,herbology,plants,cool shirts,grunge
"Comfort Colors® Wild Flowers Pocket Shirt, Wildflower Tshirt, Floral Shirt, Botanical Shirt, Flower Shirt, Nature Lover Shirt, Ladies Shirts",https://www.etsy.com/listing/4307914459/comfort-colors-wild-flowers-pocket-shirt,QusheBoutique,https://www.etsy.com/shop/QusheBoutique,25.60,78,1997,100,169,30,12 Mo.,218,3,8000,Clothing,20,100,2.11,15180,"wild flowers shirt,wildflower tshirt,botanical shirt,flower shirt,nature lover shirt,ladies shirts,floral shirt,plant shirt,women shirts,mom flower shirt,pocket flower tee,pocket flower tshirt,pocket wildflower",wild flowers shirt,wildflower tshirt,botanical shirt,flower shirt,nature lover shirt,ladies shirts,floral shirt,plant shirt,women shirts,mom flower shirt,pocket flower tee,pocket flower tshirt,pocket wildflower
"Plants Shirt, 100% Cotton Comfort Colors® Plant Lover T-Shirt, Cottagecore Gardener Tee, Shirts For Gardening Moms, Plant Lover Gift Shirt",https://www.etsy.com/listing/1868824178/plants-shirt-100-cotton-comfort-colors,ArtemOpus,https://www.etsy.com/shop/ArtemOpus,21.99,74,1627,-100,1592,359,15 Mo.,4823,24,56385,Clothing,40,100,2.82,14860,"gardening shirt,plant lover gift,cute plant shirt,plants gift shirt,shirt-for-gardener,floralful gardening,floral gardenshirt,cottagecor gardening,i'll be in my office,mothers day,floral tshirt,plant mom tee,plant lover t-shirt",gardening shirt,plant lover gift,cute plant shirt,plants gift shirt,shirt-for-gardener,floralful gardening,floral gardenshirt,cottagecor gardening,i'll be in my office,mothers day,floral tshirt,plant mom tee,plant lover t-shirt
"Comfort Colors Boho Cat Plants Shirt: Short & Long Sleeve, Nature Trees Wild Flowers Tees, Women Cat Lovers Tee, Mom Gift for Her",https://www.etsy.com/listing/4358600170/comfort-colors-boho-cat-plants-shirt,ShirtyVibesShop,https://www.etsy.com/shop/ShirtyVibesShop,20.30,31,1506,100,394,82,9 Mo.,1226,9,27528,Clothing,13,100,1.43,4770,"cute cat tees,cat owner gift,cool cat shirt,cat silhouette,floral kitten,kitten shirt,cat mom shirt,women cat shirt,cottagecore cat,floral cat shirt,mothers day gift,gift for grandma,cat graphic tees",cute cat tees,cat owner gift,cool cat shirt,cat silhouette,floral kitten,kitten shirt,cat mom shirt,women cat shirt,cottagecore cat,floral cat shirt,mothers day gift,gift for grandma,cat graphic tees
"Comfort Colors® Wild Flowers Pocket Shirt, Wildflower Tshirt, Floral Shirt, Botanical Shirt, Flower Shirt, Nature Lover Shirt, Ladies Shirts",https://www.etsy.com/listing/4400451085/comfort-colors-wild-flowers-pocket-shirt,ALINATOPTEE,https://www.etsy.com/shop/ALINATOPTEE,32.00,45,1440,-50,115,30,6 Mo.,296,5,6801,Clothing,14,100,1.69,920,"botanical shirt,floral shirt,flower shirt,ladies shirts,mom flower shirt,nature lover shirt,plant shirt,pocket flower tee,pocket flower tshirt,pocket wildflower,wild flowers shirt,wildflower tshirt,women shirts",botanical shirt,floral shirt,flower shirt,ladies shirts,mom flower shirt,nature lover shirt,plant shirt,pocket flower tee,pocket flower tshirt,pocket wildflower,wild flowers shirt,wildflower tshirt,women shirts
Boho Daisy Flower Comfort Colors Shirt: Retro Floral Graphic Tee,https://www.etsy.com/listing/4346270760/boho-daisy-flower-comfort-colors-shirt,AllCustomStyles,https://www.etsy.com/shop/AllCustomStyles,25.98,54,1403,150,102,19,9 Mo.,237,2,5467,Clothing,16,100,1.87,11327,"cute boho tshirt,boho daisy shirt,trendy daisies shirt,popular new style,retro large graphic,white drown daisies,faded distressed tee,retro printed daisy,floral retro shirt,botanical boho shirt,summer boho shirt,comfort colors shirt,plant image shirt",cute boho tshirt,boho daisy shirt,trendy daisies shirt,popular new style,retro large graphic,white drown daisies,faded distressed tee,retro printed daisy,floral retro shirt,botanical boho shirt,summer boho shirt,comfort colors shirt,plant image shirt
