Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Comfort Colors© Funny Baking Shirt, Home Baker Shirt, Baking Moms Gift For Bakers Cookie Mom Shirt",https://www.etsy.com/listing/4328912049/comfort-colors-funny-baking-shirt-home,UpTopNorth,https://www.etsy.com/shop/UpTopNorth,31.98,39,1247,100,403,70,10 Mo.,1809,7,20574,Clothing,70,100,1.96,133444,"cookie dealer shirt,cookie mom shirt,gift for sourdough,homemaker shirts,bakery chef shirt,baking mom gift,funny baker shirt,funny baking shirt,sourdough shirt,baker shirts,baking lover gift,baking shirt,gift for bakers",cookie dealer shirt,cookie mom shirt,gift for sourdough,homemaker shirts,bakery chef shirt,baking mom gift,funny baker shirt,funny baking shirt,sourdough shirt,baker shirts,baking lover gift,baking shirt,gift for bakers
"Sourdough Black Metal Shirt | Funny Emo Gothic Baker Tee, Sourdough Gifts",https://www.etsy.com/listing/4447886183/sourdough-black-metal-shirt-funny-emo,Y2KittyCouture,https://www.etsy.com/shop/Y2KittyCouture,39.51,24,948,0,44,6,4 Mo.,54,2,800,Clothing,24,51,5.5,7997,"sourdough shirt,sourdough gifts,sourdough lover,gifts for bakers,funny sourdough tee,emo shirt,punk shirt,gothic shirt,comfort colors shirt,oversized t shirt,heavy metal shirt,black metal shirt,metal sourdough tee",sourdough shirt,sourdough gifts,sourdough lover,gifts for bakers,funny sourdough tee,emo shirt,punk shirt,gothic shirt,comfort colors shirt,oversized t shirt,heavy metal shirt,black metal shirt,metal sourdough tee
"Don&#39;t Get Me Started Sourdough Sweatshirt,Funny Bread Baking tShirt,Sourdough Easter Gift,Bread Lover Homemaker Tee,EAster Hoodie Gift",https://www.etsy.com/listing/4398318978/christmas-dont-get-me-started-sourdough,DapperCustomTees,https://www.etsy.com/shop/DapperCustomTees,17.48,48,839,-67,669,130,6 Mo.,853,22,28716,Clothing,33,0,2.33,107411,"christmas sweatshirt,christmas gift,xmas sweatshirt,womens christmas,merry christmas,christmas squad,funny xmas sweater,christmas hoodies,holiday sweatshirt,easter tshirt,don't get me started,sour dough shirt,easter sweatshirt",christmas sweatshirt,christmas gift,xmas sweatshirt,womens christmas,merry christmas,christmas squad,funny xmas sweater,christmas hoodies,holiday sweatshirt,easter tshirt,don't get me started,sour dough shirt,easter sweatshirt
"In My Sourdough Era Embroidered Sweatshirt, Sourdough Starter, Bread Baker Shirt, Baking Gift, Women&#39;s Sweatshirt Gift, act of sourdough",https://www.etsy.com/listing/1660043810/in-my-sourdough-era-embroidered,BalisEmbroidery,https://www.etsy.com/shop/BalisEmbroidery,46.00,12,674,0,827,149,27 Mo.,1515,6,35460,Clothing,35,100,2.33,25254,"sweatshirt,sourdough,maroon sweatshirt,sourdough shirt,sourdough apparel,sourdough sweatshirt,womens sweatshirt,starter,baking gift,sourdough bread,gift for baker,funny baker shirt,in my sourdough era",sweatshirt,sourdough,maroon sweatshirt,sourdough shirt,sourdough apparel,sourdough sweatshirt,womens sweatshirt,starter,baking gift,sourdough bread,gift for baker,funny baker shirt,in my sourdough era
Comfort Colors Cat Shirt Funny Cat Shirt Sourdough Shirt Cat Meme Shirt Cat T Shirt Biscuit Shirt Bakery Tee Kitty Lover Gift Tee,https://www.etsy.com/listing/4313706552/comfort-colors-cat-shirt-funny-cat-shirt,thesmalltowngiftco,https://www.etsy.com/shop/thesmalltowngiftco,29.98,22,660,-100,975,185,12 Mo.,4722,15,72701,Clothing,21,100,1.34,27139,"comfort colors shirt,comfort colors®,funny silly t-shirt,meme tshirt,animal shirt,cute animal tee,animal lover tshirt,funny animal,cute cat tee,kitten shirt,cat shirt,funny cats t-shirt,cute kitten shirt",comfort colors shirt,comfort colors®,funny silly t-shirt,meme tshirt,animal shirt,cute animal tee,animal lover tshirt,funny animal,cute cat tee,kitten shirt,cat shirt,funny cats t-shirt,cute kitten shirt
"The Life Of Dough Girl Sweatshirt, Loafing Him Was Bread Sweater, Sourdough Bake Shop Shirt",https://www.etsy.com/listing/4427715711/the-life-of-dough-girl-sweatshirt,EmmasTeeWorld,https://www.etsy.com/shop/EmmasTeeWorld,38.73,16,620,0,32,6,5 Mo.,222,1,4317,Clothing,39,100,0.74,11496,"sourdough bake shop,the life of dough,girl sweatshirt,loafing him was,bread sweater,sourdough era,in my sourdough era,sourdough sweater,sourdough bread,gifts for her,life of a dough girl,sourdough shirt,homestead shirt",sourdough bake shop,the life of dough,girl sweatshirt,loafing him was,bread sweater,sourdough era,in my sourdough era,sourdough sweater,sourdough bread,gifts for her,life of a dough girl,sourdough shirt,homestead shirt
"Comfort Colors® Christmas Don&#39;t Get Me Started Sourdough Sweatshirt, Bread Baking Shirt, Sourdough Xmas Gift, Bread Lover Shirt, Xmas Gift",https://www.etsy.com/listing/4413839460/comfort-colors-christmas-dont-get-me,ApparellaUS,https://www.etsy.com/shop/ApparellaUS,24.98,23,575,100,123,17,6 Mo.,252,3,7650,Clothing,19,100,1.61,14839,"christmas shirt,christmas gift,sourdough starter,sourdough shirt,sourdough gifts,baking shirt,gift for baker,baking gift,dont get me started,bread maker gift,baking sweater,baking lover,christmas sourdough",christmas shirt,christmas gift,sourdough starter,sourdough shirt,sourdough gifts,baking shirt,gift for baker,baking gift,dont get me started,bread maker gift,baking sweater,baking lover,christmas sourdough
"Comfort Colors® Baking it&#39;s How I Hug Sweatshirt, Funny Baker Gift, Baking Moms Gift For Bakers Cookie Mom Shirt, Home Baker Sweater",https://www.etsy.com/listing/4435144633/comfort-colors-baking-its-how-i-hug,ComfyMemorableTees,https://www.etsy.com/shop/ComfyMemorableTees,64.40,8,515,0,15,2,4 Mo.,47,1,1108,Clothing,11,72,1.35,6145,"gift for bakers,sourdough sweatshirt,funny baking sweater,baking lover gift,baker gift,cookie dealer shirt,gift for sourdough,funny baking gift,baking mom gift,cookie mom shirt,homemaker shirts,funny baking shirt,bakery sweatshirt",gift for bakers,sourdough sweatshirt,funny baking sweater,baking lover gift,baker gift,cookie dealer shirt,gift for sourdough,funny baking gift,baking mom gift,cookie mom shirt,homemaker shirts,funny baking shirt,bakery sweatshirt
"Funny Sourdough Shirt, Comfort Colors Baker T-Shirt, Sourdough Hoe Tee, Bread Baker Gift",https://www.etsy.com/listing/4432868163/funny-sourdough-shirt-comfort-colors,LittleZLDesigns,https://www.etsy.com/shop/LittleZLDesigns,26.99,18,510,0,49,8,5 Mo.,137,2,1430,Clothing,12,72,3.43,1742,"boho oversized shirt,baker life,bread lover gift,cute baking top,baking humor,bread lover tee,sourdough dealer,home baker gift,sourdough gifts,baking gift,bread maker gift,sourdough baker,homemaker tee",boho oversized shirt,baker life,bread lover gift,cute baking top,baking humor,bread lover tee,sourdough dealer,home baker gift,sourdough gifts,baking gift,bread maker gift,sourdough baker,homemaker tee
"Funny Puppy Bakery Shirt — “Puppy Biscuits” Meme Tee, Sourdough Vibes, Dog Lover Gift",https://www.etsy.com/listing/4462199367/funny-puppy-bakery-shirt-puppy-biscuits,SanovaAtelier,https://www.etsy.com/shop/SanovaAtelier,29.98,17,510,0,8,1,4 Mo.,2,0,74,Clothing,4,0,10.81,409,"puppy shirt,funny dog shirt,dog meme shirt,bakery shirt,biscuit shirt,sourdough shirt,bread lover gift,dog lover gift,puppy lover gift,cute puppy tee,dog mom gift,funny graphic tee,cozy aesthetic",puppy shirt,funny dog shirt,dog meme shirt,bakery shirt,biscuit shirt,sourdough shirt,bread lover gift,dog lover gift,puppy lover gift,cute puppy tee,dog mom gift,funny graphic tee,cozy aesthetic
