Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Custom Ceramic Mug, Personalized Coffee Cup, Unique Tea & Espresso Gift 11oz, 15oz",https://www.etsy.com/listing/4385436268/personalized-ceramic-coffee-mug-tea-cup,VisionCustomTee,https://www.etsy.com/shop/VisionCustomTee,18.00,191,3438,-17,1057,182,7 Mo.,286,26,32213,Home & Living,63,100,3.28,31889,"personalized mug,custom ceramic mug,custom coffee mug,mug gift,mug gift for her,mug gift for him,mug gift for friend,mug gift for kid,ceramic custom mug,ceramic mug,tea cup,espresso cups,unique drinkware mug",personalized mug,custom ceramic mug,custom coffee mug,mug gift,mug gift for her,mug gift for him,mug gift for friend,mug gift for kid,ceramic custom mug,ceramic mug,tea cup,espresso cups,unique drinkware mug
"Personalized Rustic Pottery Mug, Handcrafted Ceramic Coffee or Tea Cup with Custom Name, Unique Christmas Gift for Him, Her, Family Friends",https://www.etsy.com/listing/4375775738/personalized-rustic-pottery-mug,NKAYLADesign,https://www.etsy.com/shop/NKAYLADesign,31.00,108,3348,0,127,19,8 Mo.,23,2,1638,Home & Living,9,57,7.75,557,"ceramic espresso mug,handmade ceramic mug,house warming gift,ceramic tumbler,gift for her,christmas gift,handmade ceramic cup,artisan tea cup,unique handmade mug,family gift mug,rustic pottery,handmade gift,ceramic coffee mug",ceramic espresso mug,handmade ceramic mug,house warming gift,ceramic tumbler,gift for her,christmas gift,handmade ceramic cup,artisan tea cup,unique handmade mug,family gift mug,rustic pottery,handmade gift,ceramic coffee mug
"Personalized Striped Ceramic Mug, Custom Name Coffee Cup, Birthday Gift",https://www.etsy.com/listing/4429283811/personalized-name-mug-gift-for-her-or,VelvetCraftUS,https://www.etsy.com/shop/VelvetCraftUS,31.90,82,3162,-33,298,17,5 Mo.,310,3,9771,Home & Living,11,100,3.05,1039,"personalized mug,custom name mug,name coffee mug,cute striped,mug gift for her,mug gift for him mug,birthday mug gift,custom cup gift,everyday coffee mug,cozy drinkware,custom tea mug,unique name mug,personalized cup",personalized mug,custom name mug,name coffee mug,cute striped,mug gift for her,mug gift for him mug,birthday mug gift,custom cup gift,everyday coffee mug,cozy drinkware,custom tea mug,unique name mug,personalized cup
"Personalised Two-Tone Flecked Ceramic Mug - Engraved Tea & Coffee Cup - Gift for Him, Her, Mum or Dad",https://www.etsy.com/listing/4398561912/personalised-two-tone-flecked-ceramic,KidsCultureDesign,https://www.etsy.com/shop/KidsCultureDesign,15.98,111,1774,0,2871,377,6 Mo.,1739,63,88936,Home & Living,59,100,3.23,33905,"personalised mug,engraved mug,laser engraved cup,tea and coffee mug,custom gift mug,two tone ceramic mug,personalised gift,mug for him,mug for her,gift for mum,gift for dad,home office mug,unique tea cup",personalised mug,engraved mug,laser engraved cup,tea and coffee mug,custom gift mug,two tone ceramic mug,personalised gift,mug for him,mug for her,gift for mum,gift for dad,home office mug,unique tea cup
"3D Creative Mug Stainless Steel Coffee Tea Cup 10.14oz Home Bar Gift, Gift for Him",https://www.etsy.com/listing/4426276916/3d-creative-mug-stainless-steel-coffee,MorningMugshine,https://www.etsy.com/shop/MorningMugshine,79.98,13,1040,0,13,1,5 Mo.,2,0,61,Home & Living,5,0,21.31,13,"3d sculpted mug,bar mug,novelty coffee cup,bar owner gift,tarvel souvenir,unique beer mug,st patricks day,green pub decor,kitchen novelty,pub scene,bartender gift",3d sculpted mug,bar mug,novelty coffee cup,bar owner gift,tarvel souvenir,unique beer mug,st patricks day,green pub decor,kitchen novelty,pub scene,bartender gift,--,--
Handmade Japanese Ceramic Tea Cup – Wabi-Sabi Kintsugi Style Pottery Bowl with Red Floral Design,https://www.etsy.com/listing/4460252227/handmade-japanese-ceramic-tea-cup-wabi,SoftGlazeStudio,https://www.etsy.com/shop/SoftGlazeStudio,61.94,16,991,-100,12,2,3 Mo.,7,1,130,Home & Living,3,0,9.23,112,"gift for him,gift for her,chinese tea ceremony,for mother,wedding gifts,drinkware,tea set,teaware,hand grasp,tea accessory,teapot,ceramic mug,tea cup",gift for him,gift for her,chinese tea ceremony,for mother,wedding gifts,drinkware,tea set,teaware,hand grasp,tea accessory,teapot,ceramic mug,tea cup
"Liber-Tea Mug, Morning Cup Of Liber-Tea, Taste Democracy, Black Mug (11oz, 15oz), Gift for Gamers, Gift for him, Gamer Gift for Boyfriend",https://www.etsy.com/listing/1698220064/liber-tea-mug-morning-cup-of-liber-tea,DitoTediashvili,https://www.etsy.com/shop/DitoTediashvili,31.50,27,963,0,1664,215,25 Mo.,1747,9,46455,Home & Living,77,100,3.58,25521,"helldivers 2 mug,helldivers 2,helldivers 2 game,gamer gift ideas,video game mug,helldivers,helldivers mug,helldivers merch,liberty,democracy,gaming mug,video game gifts,liber tea mug",helldivers 2 mug,helldivers 2,helldivers 2 game,gamer gift ideas,video game mug,helldivers,helldivers mug,helldivers merch,liberty,democracy,gaming mug,video game gifts,liber tea mug
Unimpressed Frog Ceramic Mug 15oz Matsumoto Hoji,https://www.etsy.com/listing/1685358667/unimpressed-frog-ceramic-mug-15oz,MonumentalMisc,https://www.etsy.com/shop/MonumentalMisc,32.99,26,858,0,2249,558,27 Mo.,14258,21,121046,Home & Living,56,100,1.86,3709,"ceramic coffee mug,two tone glaze,matsumoto hoji tea,meme frog japanese,18th century art,weeb anime kaeru,historical matcha,gift for her him art,trendy nerd unique,funny birthday gift,unique gift for dad,silly cup gift,fast shipping friend",ceramic coffee mug,two tone glaze,matsumoto hoji tea,meme frog japanese,18th century art,weeb anime kaeru,historical matcha,gift for her him art,trendy nerd unique,funny birthday gift,unique gift for dad,silly cup gift,fast shipping friend
Handmade Hammered Copper Mug with Lid,https://www.etsy.com/listing/4443294388/handmade-hammered-copper-mug-with-lid,TinyLykke,https://www.etsy.com/shop/TinyLykke,46.16,18,831,0,17,2,3 Mo.,47,1,742,Home & Living,5,60,2.29,35,"coffee,copper mug,handmade mug,copper cup,hammered copper,artisan mug,copper tea mug,metal mug,handcrafted cup,rustic decor,gift for him,artisan gift,handmade gift",coffee,copper mug,handmade mug,copper cup,hammered copper,artisan mug,copper tea mug,metal mug,handcrafted cup,rustic decor,gift for him,artisan gift,handmade gift
Handmade Wooden Tea Cup Urushi Lacquer Carved Tumbler Eco Friendly Coffee Mug Rustic Whiskey Cup Natural Wood Drinkware Gift for Him Her,https://www.etsy.com/listing/4339973731/handmade-wooden-tea-cup-urushi-lacquer,JoineryTalesShop,https://www.etsy.com/shop/JoineryTalesShop,56.90,14,797,100,159,53,10 Mo.,998,5,18210,Home & Living,13,100,0.87,577,"wooden tea cup,urushi lacquer,eco friendly mug,handmade tumbler,natural wood cup,rustic drinkware,wood whiskey cup,coffee cup gift,gift for him,gift for her,wabi sabi mug,japanese style cup,artisan wood cup",wooden tea cup,urushi lacquer,eco friendly mug,handmade tumbler,natural wood cup,rustic drinkware,wood whiskey cup,coffee cup gift,gift for him,gift for her,wabi sabi mug,japanese style cup,artisan wood cup
"Han Duo Yixing Zisha Teapot Set: 250ml Purple Clay Tea Set with 4 Cups & Fairness Pitcher, Chinese Gongfu Gift Box",https://www.etsy.com/listing/4465334982/han-duo-yixing-zisha-teapot-set-250ml,AsiantiqueDistrict,https://www.etsy.com/shop/AsiantiqueDistrict,240.06,3,720,0,2,1,2 Mo.,10,1,188,Home & Living,22,33,1.06,283,"yixing teapot set,zisha tea set,purple clay teapot,gongfu tea ceremony,complete tea set,tea gift box,business tea gift,fairness cup,tea lover gift,asian teaware,premium teapot set,chinese teaware gift,gift for him",yixing teapot set,zisha tea set,purple clay teapot,gongfu tea ceremony,complete tea set,tea gift box,business tea gift,fairness cup,tea lover gift,asian teaware,premium teapot set,chinese teaware gift,gift for him
Personalised Insulated Tea/Coffee Cup - Stainless Steel - Leak-proof - Travel Mug - Gift For Her/Him - Tumbler - Thermal - 380ml or 510ml,https://www.etsy.com/listing/1897475417/personalised-insulated-teacoffee-cup,KidsCultureDesign,https://www.etsy.com/shop/KidsCultureDesign,17.31,40,692,-100,2170,285,13 Mo.,652,22,41488,Home & Living,59,100,5.23,33905,"travel mug,insulated mug,coffee mug,tea mug,personalised mug,metal mug,travel cup,travel tea,travel coffee,engraved cup,thermal mug,thermal tumbler",travel mug,insulated mug,coffee mug,tea mug,personalised mug,metal mug,travel cup,travel tea,travel coffee,engraved cup,thermal mug,thermal tumbler,--
