Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Large Concrete Truck Lorry / Transportation Cargo Ornament Sculpture Stone Garden Lawn Patio Sculpture Frost Protected,https://www.etsy.com/listing/4340798393/large-concrete-truck-lorry,Exclusivehomegarden,https://www.etsy.com/shop/Exclusivehomegarden,31.95,4,128,-100,48,11,10 Mo.,33,1,4761,Home & Living,75,100,1.01,13144,"garden,gift,ornament,concrete,statue,sculpture,vehicle,lorry,truck,scania,large,trucker,stone",garden,gift,ornament,concrete,statue,sculpture,vehicle,lorry,truck,scania,large,trucker,stone
"Personalized Truck Driver Christmas Ornament | Custom Trucker Acrylic Tree Decor | Holiday Gift for Dad, Grandpa, Husband with Name",https://www.etsy.com/listing/4393957609/personalized-truck-driver-christmas,DreamyWhisper,https://www.etsy.com/shop/DreamyWhisper,14.97,0,0,0,0,0,1 Mo.,2,0,14,Home & Living,8,0,0.0,272,"acrylic tree decor,christmas tree decor,christmas ornament,2025 ornament,christmas keepsake,christmas gift,xmas gift,acrylic ornament,trucker ornament,truck driver gift,xmas truck decor,custom truck gift,semi truck ornament",acrylic tree decor,christmas tree decor,christmas ornament,2025 ornament,christmas keepsake,christmas gift,xmas gift,acrylic ornament,trucker ornament,truck driver gift,xmas truck decor,custom truck gift,semi truck ornament
"Personalized Semi Truck Christmas Ornament Acrylic,Custom Name Trucker Gift, Holiday Tree Decoration for Driver, Transport & Logistics Lover",https://www.etsy.com/listing/4370523156/personalized-semi-truck-christmas,MarcBogieTee,https://www.etsy.com/shop/MarcBogieTee,23.88,0,0,0,0,0,1 Mo.,0,0,1,Home & Living,3,0,0.0,326,"semi truck ornament,custom truck gift,trucker christmas,driver ornament,holiday ornament,personalized gift,custom acrylic,truck lover gift,transport gift,unique ornament,tree decoration,custom name gift,logistics gift",semi truck ornament,custom truck gift,trucker christmas,driver ornament,holiday ornament,personalized gift,custom acrylic,truck lover gift,transport gift,unique ornament,tree decoration,custom name gift,logistics gift
"Custom 2D Flat Dump Trucker Ornament, Construction Trucker Holiday Decor, Unique Christmas Gift for Truckers and Heavy Equipment Operators",https://www.etsy.com/listing/4371044826/custom-2d-flat-dump-trucker-ornament,AoDaiPhuongDinh,https://www.etsy.com/shop/AoDaiPhuongDinh,22.88,0,0,0,0,0,1 Mo.,0,0,0,Home & Living,44,0,0.0,18887,"dump truck gift,dump trucker,xmas dump truck,truck driver xmas,worker xmas decor,trucker ornament,dump truck  decor,lover truck lover,trucker stocking,construction truck",dump truck gift,dump trucker,xmas dump truck,truck driver xmas,worker xmas decor,trucker ornament,dump truck  decor,lover truck lover,trucker stocking,construction truck,--,--,--
"Personalized Truck Ornament, Heavy Truck Ornament, Custom Truck Acrylic Ornament, Christmas Gift For Truck Driver, Gift For Trucker Ornament",https://www.etsy.com/listing/4389064720/personalized-truck-ornament-heavy-truck,KirbRennie,https://www.etsy.com/shop/KirbRennie,9.53,0,0,0,0,0,1 Mo.,0,0,6,Home & Living,30,0,0.0,3933,"christmas ornament,personalized gift,christmas tree decor,christmas gift,personalize ornament,custom ornament,christmas decor,gift for trucker,truck ornament,trucker gift,trucker ornament,hanging ornament,christmas truck",christmas ornament,personalized gift,christmas tree decor,christmas gift,personalize ornament,custom ornament,christmas decor,gift for trucker,truck ornament,trucker gift,trucker ornament,hanging ornament,christmas truck
semi truck car freshie | trucker | air freshener | semi truck | car ornament | car charm | car accessories |,https://www.etsy.com/listing/4347348171/semi-truck-car-freshie-trucker-air,DesignsLittleGoods,https://www.etsy.com/shop/DesignsLittleGoods,14.00,0,0,0,0,0,9 Mo.,6,0,105,Electronics & Accessories,26,0,0.0,351,"semi truck,trucker,car freshie,car charm,car air freshener,air freshener",semi truck,trucker,car freshie,car charm,car air freshener,air freshener,--,--,--,--,--,--,--
Personalized Semi Truck Christmas Ornament: Truck Lover Gift,https://www.etsy.com/listing/1294714184/personalized-semi-truck-christmas,OrnamentTreasuresCo,https://www.etsy.com/shop/OrnamentTreasuresCo,18.99,0,0,0,7,2,44 Mo.,2,0,62,Home & Living,47,0,11.29,9531,"moving truck,christmas truck,truck driver gifts,semi truck ornament,hot wheel ornament,car ornaments,christmas ornament,trucker ornament,kids truck ornament,trucker decor,trucker wife life,personalize ornament,red truck christmas",moving truck,christmas truck,truck driver gifts,semi truck ornament,hot wheel ornament,car ornaments,christmas ornament,trucker ornament,kids truck ornament,trucker decor,trucker wife life,personalize ornament,red truck christmas
"White & Black Skulls on Chain / Halloween, Horror, Ghosts, Monsters, Zombies, Spooky, Scary, Boo, Car Charms, Trick or Treat, The Undead",https://www.etsy.com/listing/1529807478/white-black-skulls-on-chain-halloween,YourFantasyLand,https://www.etsy.com/shop/YourFantasyLand,13.99,0,0,0,0,0,33 Mo.,7,0,38,Electronics & Accessories,75,0,0.0,5753,"rear view mirror,made in usa,trucker,mirror hangers,skull,skull hangers,gothic,bad boy,bad girl,car ornaments,skull figurines,white skull,halloween",rear view mirror,made in usa,trucker,mirror hangers,skull,skull hangers,gothic,bad boy,bad girl,car ornaments,skull figurines,white skull,halloween
Custom Name of your choice Car or Truck  Wooden Christmas Ornament,https://www.etsy.com/listing/559714374/custom-name-of-your-choice-car-or-truck,Puzzimals,https://www.etsy.com/shop/Puzzimals,33.99,0,0,0,0,0,102 Mo.,14,0,320,Paper & Party Supplies,226,0,0.0,26415,"automobile,christmas ornament,ornament,wood,scroll saw,truck,semi,big rig,trucker,custom,personalized",automobile,christmas ornament,ornament,wood,scroll saw,truck,semi,big rig,trucker,custom,personalized,--,--
Softball Mom Monogram | Softball SVG | Softball PNG | Softball Shirt | Softball Hat | Softball Mom | Softball Mom SVG | Softball Mom Shirt,https://www.etsy.com/listing/1379678384/softball-mom-monogram-softball-svg,CassandraLeeGray,https://www.etsy.com/shop/CassandraLeeGray,3.33,0,0,0,0,0,26 Mo.,0,0,1,Craft Supplies & Tools,37,0,0.0,828,"softball png,softball coach,softball hat,softball cut file,softball vector,softball design,softball cap,softball trucker cap,softball ornament,softball print,custom softball hat,softball font,softball helmet",softball png,softball coach,softball hat,softball cut file,softball vector,softball design,softball cap,softball trucker cap,softball ornament,softball print,custom softball hat,softball font,softball helmet
