Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Custom 3D Sculpted Dog Figurine Ring Dish, Handpainted Ceramic Jewelry Tray",https://www.etsy.com/listing/4469509038/custom-3d-sculpted-dog-figurine-ring,PersonalNestStudio,https://www.etsy.com/shop/PersonalNestStudio,77.96,Please upgrade,Please upgrade,Please upgrade,Please upgrade,44,3 Mo.,4537,15,47336,Jewelry,6,Please upgrade,Please upgrade,2175,"custom dog mug,pet memorial gift,handpainted ceramic,3d dog figurine,jewelry holder,anniversary gift,pet loss sympathy,dog mom gift,personalized tray,miniature pet,custom clay dog,trinket dish,puppy keepsake",custom dog mug,pet memorial gift,handpainted ceramic,3d dog figurine,jewelry holder,anniversary gift,pet loss sympathy,dog mom gift,personalized tray,miniature pet,custom clay dog,trinket dish,puppy keepsake
"Custom 3D Pet Ring Dish, Daisy Ceramic Jewelry Tray, Hand-sculpted Dog Portrait Trinket Bowl",https://www.etsy.com/listing/4468979892/custom-3d-pet-ring-dish-daisy-ceramic,PersonalNestStudio,https://www.etsy.com/shop/PersonalNestStudio,77.96,Please upgrade,Please upgrade,Please upgrade,Please upgrade,45,3 Mo.,2981,15,26826,Jewelry,6,Please upgrade,Please upgrade,2175,"engaged ring dish,pet ring dish,custom jewelry dish,pet jewelry dish,name ring holder,wedding trinket dish,portrait ring holder,ceramic ring dish,dog memorial gift,trinket tray,birthday gift,dog mom gift,mothers day gift",engaged ring dish,pet ring dish,custom jewelry dish,pet jewelry dish,name ring holder,wedding trinket dish,portrait ring holder,ceramic ring dish,dog memorial gift,trinket tray,birthday gift,dog mom gift,mothers day gift
"Personalized Pet Photo Bracelet, Custom Name Engraving & Pet Memorial Charm Jewelry, Cat Loss Gift, Remembering Pet",https://www.etsy.com/listing/4349882870/personalized-pet-photo-bracelet-custom,NorthJewelryCreation,https://www.etsy.com/shop/NorthJewelryCreation,42.99,Please upgrade,Please upgrade,Please upgrade,Please upgrade,447,9 Mo.,8834,50,121148,Jewelry,14,Please upgrade,Please upgrade,8266,"pet memorial jewelry,pet photo charm,pet name engraving,pet tribute bracelet,custom pet memorial,dog memorial gift,memorial pet jewelry,remembrance bracelet,custom pet keepsake,pet loss jewelry,dog lover bracelet,custom dog bracelet,gift for her",pet memorial jewelry,pet photo charm,pet name engraving,pet tribute bracelet,custom pet memorial,dog memorial gift,memorial pet jewelry,remembrance bracelet,custom pet keepsake,pet loss jewelry,dog lover bracelet,custom dog bracelet,gift for her
"Personalized Dog Portrait Stained Glass Suncatcher, Custom Pet Memorial Stained Glass Photo Suncatcher, Dog Loss Keepsake, Pet Loss Gift",https://www.etsy.com/listing/4366142512/personalized-dog-portrait-stained-glass,ANIMALSLOVEArt,https://www.etsy.com/shop/ANIMALSLOVEArt,27.11,Please upgrade,Please upgrade,Please upgrade,Please upgrade,1320,8 Mo.,6212,165,191889,Art & Collectibles,69,Please upgrade,Please upgrade,35227,"photo stained glass,pet memorial gift,dog stained glass,pet loss gift,dog memorial gift,custom pet portrait,portrait from photo,stained glass art,stained glass,glass suncatcher,dog loss gift,dog remembrance gift,custom dog keepsake",photo stained glass,pet memorial gift,dog stained glass,pet loss gift,dog memorial gift,custom pet portrait,portrait from photo,stained glass art,stained glass,glass suncatcher,dog loss gift,dog remembrance gift,custom dog keepsake
Personalized pet mug custom pet mug ceramic peekaboo mug/hidden animal coffee mug/Custom Cat and Dog Ceramic Mug/Gift For Dog Owner/dog mug,https://www.etsy.com/listing/1868377770/personalized-pet-mug-custom-pet-mug,Galaxstars,https://www.etsy.com/shop/Galaxstars,73.80,Please upgrade,Please upgrade,Please upgrade,Please upgrade,744,14 Mo.,25877,53,437542,Home & Living,24,Please upgrade,Please upgrade,4268,"custom pet mug,pet mug,personalized mug,personalized gift,personalized gifts,personalized dog,personalized dog mug,personalize pet mug,personalized pet,pet portrait,pet memorial,custom pet gifts,pet loss gifts",custom pet mug,pet mug,personalized mug,personalized gift,personalized gifts,personalized dog,personalized dog mug,personalize pet mug,personalized pet,pet portrait,pet memorial,custom pet gifts,pet loss gifts
"Personalized Dog Loss Sympathy Gift, Custom Dog Memorial Suncatcher, Pet Memorial Gift, Loss of Dog Gift, Dog Remembrance Gift",https://www.etsy.com/listing/1756215454/personalized-dog-loss-sympathy-gift,Bilumie,https://www.etsy.com/shop/Bilumie,39.98,Please upgrade,Please upgrade,Please upgrade,Please upgrade,1762,22 Mo.,4909,80,206494,Art & Collectibles,39,Please upgrade,Please upgrade,48955,"window hangings,suncatcher,sun catcher,pet sympathy gift,pet memorial,memorial gift,memorial suncatcher,dog suncatcher,dog memorial,dog loss gift,pet memorial gift,dog sympathy gift,dog paw",window hangings,suncatcher,sun catcher,pet sympathy gift,pet memorial,memorial gift,memorial suncatcher,dog suncatcher,dog memorial,dog loss gift,pet memorial gift,dog sympathy gift,dog paw
"Custom Hand-Painted Pet Memorial Portrait– Dog or Cat Remembrance Gift,Pet Loss Keepsake with Ornate Mini Frame,Pet Memorial,Christmas gifts",https://www.etsy.com/listing/4394136770/custom-hand-painted-pet-memorial,EverPawMemorial,https://www.etsy.com/shop/EverPawMemorial,32.22,Please upgrade,Please upgrade,Please upgrade,Please upgrade,1003,7 Mo.,14370,143,202693,Pet Supplies,28,Please upgrade,Please upgrade,3217,"pet memorial,pet portrait,dog loss gift,cat memorial gift,sympathy gift,pet remembrance,custom pet portrait,hand painted pet,dog remembrance gift,cat portrait,pet loss gift,pet keepsake,pet lover gift",pet memorial,pet portrait,dog loss gift,cat memorial gift,sympathy gift,pet remembrance,custom pet portrait,hand painted pet,dog remembrance gift,cat portrait,pet loss gift,pet keepsake,pet lover gift
"Personalized Pet Toy Basket – Custom Woven Storage Basket with Name, Dog or Cat Toy Organizer, Pet Gift Basket",https://www.etsy.com/listing/4387379233/personalized-pet-toy-basket-custom-woven,SonaMade,https://www.etsy.com/shop/SonaMade,27.00,Please upgrade,Please upgrade,Please upgrade,Please upgrade,260,7 Mo.,1668,37,49511,Pet Supplies,11,Please upgrade,Please upgrade,50139,"basket,pets basket,gifts for dogs,dog gifts,baby shower,baby shower gift,gift for baby,gift with name,birth gift name,handmade gift,baby girl gift,baby boy gift,baby gift",basket,pets basket,gifts for dogs,dog gifts,baby shower,baby shower gift,gift for baby,gift with name,birth gift name,handmade gift,baby girl gift,baby boy gift,baby gift
"Webbing dog collar personalized, dog collar boy, dog collar girl, dog collar engraved, tribal dog collar, pattern dog collar, 1&quot; width",https://www.etsy.com/listing/1590734455/webbing-dog-collar-personalized-dog,SoGoodSoWood,https://www.etsy.com/shop/SoGoodSoWood,17.50,Please upgrade,Please upgrade,Please upgrade,Please upgrade,3819,31 Mo.,43671,123,1382696,Pet Supplies,128,Please upgrade,Please upgrade,514189,"dog collar,dog collar girl,dog collar engraved,dog,collar,collar personalized,personalized dog,engraved,pup collar,webbing dog collar,dog collar boy,pattern,tribal",dog collar,dog collar girl,dog collar engraved,dog,collar,collar personalized,personalized dog,engraved,pup collar,webbing dog collar,dog collar boy,pattern,tribal
"Personalized Dog Portrait Stained Glass Suncatcher, Custom Pet Memorial Stained Glass Photo Suncatcher, Dog Loss Keepsake, Pet Loss Gift",https://www.etsy.com/listing/4412994401/personalized-dog-portrait-stained-glass,ChubbyGift,https://www.etsy.com/shop/ChubbyGift,29.90,Please upgrade,Please upgrade,Please upgrade,Please upgrade,499,6 Mo.,1647,83,61812,Art & Collectibles,37,Please upgrade,Please upgrade,7396,"photo stained glass,pet memorial gift,dog stained glass,pet loss gift,dog memorial gift,custom pet portrait,portrait from photo,stained glass art,stained glass,glass suncatcher,dog loss gift,dog remembrance gift,custom dog keepsake",photo stained glass,pet memorial gift,dog stained glass,pet loss gift,dog memorial gift,custom pet portrait,portrait from photo,stained glass art,stained glass,glass suncatcher,dog loss gift,dog remembrance gift,custom dog keepsake
